
Wavelength,MNAT_00220.spu,MNAT_00221.spu,MNAT_00222.spu,MNAT_00223.spu,MNAT_00228.spu,MNAT_00229.spu,MNAT_00230.spu,MNAT_00231.spu,MNAT_00236.spu,MNAT_00237.spu,MNAT_00238.spu,MNAT_00239.spu,MNAT_00244.spu,MNAT_00245.spu,MNAT_00246.spu,MNAT_00247.spu
  (nm),8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 
  time  ,41:41 PM,42:27 PM,42:36 PM,42:46 PM,45:53 PM,46:02 PM,46:12 PM,46:24 PM,07:12 PM,07:23 PM,07:34 PM,07:43 PM,09:28 PM,09:38 PM,09:49 PM,09:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 310 , 0.02497 , 0.03685 , 0.05948 , 0.05273 , 0.05043 , 0.06303 , 0.11488 , 0.1431 , 0.08135 , 0.0597 , 0.10122 , 0.10194 , 0.12606 , 0.13861 , 0.09539 , 0.08171 
 311 , 0.0041 , 0.03663 , 0.07935 , 0.02869 , 0.04699 , 0.05933 , 0.12397 , 0.14859 , 0.08489 , 0.05956 , 0.09693 , 0.1088 , 0.12246 , 0.14706 , 0.09833 , 0.08589 
 312 , 0.02172 , 0.05685 , 0.09334 , 0.03988 , 0.04328 , 0.06142 , 0.12304 , 0.15037 , 0.08877 , 0.06317 , 0.10252 , 0.10594 , 0.12236 , 0.14403 , 0.09777 , 0.08526 
 313 , 0.04543 , 0.07958 , 0.10619 , 0.05674 , 0.03959 , 0.06443 , 0.12038 , 0.15141 , 0.09272 , 0.06745 , 0.10965 , 0.10163 , 0.1228 , 0.13939 , 0.09673 , 0.08406 
 314 , 0.06898 , 0.10137 , 0.11877 , 0.07347 , 0.03595 , 0.06741 , 0.1177 , 0.15245 , 0.0967 , 0.07181 , 0.11677 , 0.09738 , 0.12325 , 0.13482 , 0.0957 , 0.08288 
 315 , 0.0767 , 0.0965 , 0.11008 , 0.0829 , 0.03545 , 0.06353 , 0.11316 , 0.14766 , 0.09259 , 0.06947 , 0.1155 , 0.09434 , 0.12052 , 0.13296 , 0.09284 , 0.08023 
 316 , 0.0681 , 0.06358 , 0.07942 , 0.08466 , 0.03827 , 0.05271 , 0.10721 , 0.13748 , 0.08038 , 0.06054 , 0.10586 , 0.09272 , 0.11482 , 0.13412 , 0.08811 , 0.07598 
 317 , 0.06 , 0.03109 , 0.04977 , 0.08634 , 0.04103 , 0.04231 , 0.10154 , 0.12777 , 0.06867 , 0.05209 , 0.09667 , 0.09116 , 0.10933 , 0.13525 , 0.08351 , 0.07182 
 318 , 0.05293 , 0.00472 , 0.02686 , 0.08596 , 0.04321 , 0.0344 , 0.09747 , 0.11959 , 0.05888 , 0.046 , 0.0888 , 0.09036 , 0.10465 , 0.1353 , 0.08008 , 0.06789 
 319 , 0.05132 , 0.02875 , 0.0558 , 0.06833 , 0.04162 , 0.0453 , 0.10613 , 0.1221 , 0.06277 , 0.05701 , 0.08944 , 0.09677 , 0.10711 , 0.1277 , 0.08692 , 0.06612 
 320 , 0.04981 , 0.05104 , 0.083 , 0.05157 , 0.04014 , 0.05567 , 0.11422 , 0.12445 , 0.06636 , 0.06735 , 0.09005 , 0.10274 , 0.10938 , 0.12057 , 0.0933 , 0.06445 
 321 , 0.04839 , 0.07177 , 0.10861 , 0.03561 , 0.03877 , 0.06555 , 0.12181 , 0.12667 , 0.06969 , 0.07706 , 0.09063 , 0.10832 , 0.11148 , 0.11388 , 0.09925 , 0.06286 
 322 , 0.06207 , 0.07749 , 0.11143 , 0.04968 , 0.04033 , 0.07001 , 0.13633 , 0.13977 , 0.07663 , 0.0816 , 0.0984 , 0.11858 , 0.11849 , 0.1242 , 0.10199 , 0.07251 
 323 , 0.08143 , 0.07755 , 0.10562 , 0.07457 , 0.04292 , 0.07236 , 0.1534 , 0.15689 , 0.08478 , 0.08412 , 0.10866 , 0.13053 , 0.12714 , 0.14063 , 0.10342 , 0.08612 
 324 , 0.10067 , 0.07762 , 0.09988 , 0.09876 , 0.04548 , 0.07466 , 0.17047 , 0.174 , 0.09279 , 0.08659 , 0.11868 , 0.14255 , 0.13574 , 0.15676 , 0.1048 , 0.09933 
 325 , 0.11006 , 0.07857 , 0.09818 , 0.11613 , 0.05148 , 0.07734 , 0.18835 , 0.18747 , 0.10281 , 0.09234 , 0.12713 , 0.15261 , 0.14872 , 0.17233 , 0.11074 , 0.11163 
 326 , 0.10139 , 0.08146 , 0.10429 , 0.12144 , 0.06401 , 0.08089 , 0.20782 , 0.19453 , 0.11674 , 0.10434 , 0.13293 , 0.15925 , 0.16999 , 0.18718 , 0.12529 , 0.12256 
