INSTRUMENT,DATE,VEGETATION ,LOCATION,REPLICATE,FILENUM,FILEPREFIX,FILENAME,NOTES
Unispec-DC,2019-06-26,"Tussock, Shrub, Heath",ALL-DARK,1,0,COMP,2019-06-26_COMP_00000.spu,
Unispec-DC,2019-06-26,"Tussock, Shrub, Heath",ALL-REF,1,1,COMP,2019-06-26_COMP_00001.spu,
Unispec-DC,2019-06-26,"Tussock, Shrub, Heath",ALL-REF,2,2,COMP,2019-06-26_COMP_00002.spu,
Unispec-DC,2019-06-26,"Tussock, Shrub, Heath",ALL-REF,3,3,COMP,2019-06-26_COMP_00003.spu,
Unispec-DC,2019-06-26,"Tussock, Shrub, Heath",ALL-REF,4,4,COMP,2019-06-26_COMP_00004.spu,
Unispec-DC,2019-06-26,"Tussock, Shrub, Heath",ALL-REF,5,5,COMP,2019-06-26_COMP_00005.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_plot,1,6,COMP,2019-06-26_COMP_00006.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_plot,2,7,COMP,2019-06-26_COMP_00007.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_plot,3,8,COMP,2019-06-26_COMP_00008.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_plot,4,9,COMP,2019-06-26_COMP_00009.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_plot,5,10,COMP,2019-06-26_COMP_00010.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_plot,6,11,COMP,2019-06-26_COMP_00011.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_plot,7,12,COMP,2019-06-26_COMP_00012.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-1,1,13,COMP,2019-06-26_COMP_00013.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-1,2,14,COMP,2019-06-26_COMP_00014.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-1,3,15,COMP,2019-06-26_COMP_00015.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-1,4,16,COMP,2019-06-26_COMP_00016.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-1,5,17,COMP,2019-06-26_COMP_00017.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-1,6,18,COMP,2019-06-26_COMP_00018.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-1,7,19,COMP,2019-06-26_COMP_00019.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-1,8,20,COMP,2019-06-26_COMP_00020.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-1,9,21,COMP,2019-06-26_COMP_00021.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-1,10,22,COMP,2019-06-26_COMP_00022.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-2,1,23,COMP,2019-06-26_COMP_00023.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-2,2,24,COMP,2019-06-26_COMP_00024.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-2,3,25,COMP,2019-06-26_COMP_00025.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-2,4,26,COMP,2019-06-26_COMP_00026.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-2,5,27,COMP,2019-06-26_COMP_00027.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-2,6,28,COMP,2019-06-26_COMP_00028.spu,
Unispec-DC,2019-06-26,Tussock ,LMAT_B2_CT_EDC_2-2,7,29,COMP,2019-06-26_COMP_00029.spu,
