WSG23_00004_ref.spu,WSG23_00003_ref.spu,WSG23_00002_ref.spu,WSG23_00001_ref.spu,
Wavelength,WSG1_00005_B1_P.spu,WSG1_00006_B1_P.spu,WSG1_00007_B1_P.spu,WSG1_00008_B1_P.spu,WSG1_00009_B1_P.spu,WSG1_00010_B1_CT1.spu,WSG1_00011_B1_CT1.spu,WSG1_00012_B1_CT1.spu,WSG1_00013_B1_CT1.spu,WSG1_00014_B1_CT1.spu,WSG1_00015_B1_NP.spu,WSG1_00016_B1_NP.spu,WSG1_00017_B1_NP.spu,WSG1_00018_B1_NP.spu,WSG1_00019_B1_NP.spu,WSG1_00020_B1_N.spu,WSG1_00021_B1_N.spu,WSG1_00022_B1_N.spu,WSG1_00023_B1_N.spu,WSG1_00024_B1_N.spu,WSG1_00025_B1_CT2.spu,WSG1_00026_B1_CT2.spu,WSG1_00027_B1_CT2.spu,WSG1_00028_B1_CT2.spu,WSG1_00029_B1_CT2.spu
  (nm),6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 
  time  ,:46:36 A,:47:21 A,:47:42 A,:48:05 A,:48:23 A,:48:59 A,:49:19 A,:49:38 A,:50:01 A,:50:27 A,:52:51 A,:53:12 A,:53:30 A,:53:47 A,:54:07 A,:55:48 A,:56:06 A,:56:18 A,:56:32 A,:56:48 A,:02:00 P,:02:33 P,:03:00 P,:03:40 P,:03:56 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.107911 , 0.114558 , 0.108154 , 0.136157 , 0.131853 , 0.101195 , 0.106931 , 0.107545 , 0.107183 , 0.130353 , 0.141427 , 0.137851 , 0.134206 , 0.148197 , 0.15792 , 0.143111 , 0.137262 , 0.134944 , 0.108367 , 0.14746 , 0.145404 , 0.128357 , 0.141363 , 0.140937 , 0.131095 
 311 , 0.093566 , 0.094836 , 0.094542 , 0.118017 , 0.115224 , 0.085131 , 0.092589 , 0.093542 , 0.091257 , 0.114133 , 0.125517 , 0.119932 , 0.114001 , 0.127997 , 0.139675 , 0.123716 , 0.114484 , 0.117405 , 0.091522 , 0.130354 , 0.12739 , 0.111241 , 0.121468 , 0.123488 , 0.111801 
 312 , 0.089562 , 0.090301 , 0.09305 , 0.112387 , 0.107797 , 0.081624 , 0.087573 , 0.091408 , 0.090492 , 0.108579 , 0.118115 , 0.112917 , 0.109795 , 0.121424 , 0.129775 , 0.116639 , 0.111063 , 0.109096 , 0.090817 , 0.122193 , 0.121581 , 0.106073 , 0.114645 , 0.115353 , 0.107046 
 313 , 0.087601 , 0.088537 , 0.093464 , 0.109234 , 0.102865 , 0.080387 , 0.084584 , 0.091244 , 0.091921 , 0.105384 , 0.113048 , 0.108513 , 0.108445 , 0.117715 , 0.122709 , 0.112351 , 0.110717 , 0.103391 , 0.092371 , 0.116555 , 0.118353 , 0.103348 , 0.110669 , 0.109812 , 0.104966 
 314 , 0.086054 , 0.08706 , 0.093778 , 0.106483 , 0.098579 , 0.079322 , 0.082045 , 0.091158 , 0.093033 , 0.102702 , 0.108708 , 0.104758 , 0.107275 , 0.114427 , 0.116723 , 0.108745 , 0.110437 , 0.098542 , 0.093697 , 0.111745 , 0.115529 , 0.100996 , 0.107201 , 0.105072 , 0.103259 
 315 , 0.081461 , 0.085706 , 0.090611 , 0.100832 , 0.093576 , 0.076923 , 0.079181 , 0.086252 , 0.089695 , 0.098117 , 0.103736 , 0.099238 , 0.102725 , 0.108931 , 0.111717 , 0.104453 , 0.107098 , 0.093801 , 0.089604 , 0.105841 , 0.10947 , 0.097042 , 0.102991 , 0.099498 , 0.099276 
 316 , 0.074679 , 0.084515 , 0.084716 , 0.093065 , 0.088144 , 0.073556 , 0.076184 , 0.077744 , 0.082937 , 0.092232 , 0.098392 , 0.092531 , 0.095651 , 0.101799 , 0.107678 , 0.099809 , 0.10139 , 0.089286 , 0.081319 , 0.099219 , 0.101017 , 0.091933 , 0.098294 , 0.09345 , 0.093624 
 317 , 0.069147 , 0.083545 , 0.079947 , 0.086734 , 0.08369 , 0.070793 , 0.073697 , 0.070824 , 0.077415 , 0.087405 , 0.094091 , 0.087055 , 0.089879 , 0.096011 , 0.104458 , 0.096006 , 0.096791 , 0.085658 , 0.074572 , 0.09387 , 0.094138 , 0.087799 , 0.094499 , 0.088514 , 0.089029 
 318 , 0.063979 , 0.081578 , 0.075122 , 0.081016 , 0.079321 , 0.067644 , 0.070697 , 0.064755 , 0.072079 , 0.082328 , 0.089503 , 0.081773 , 0.084223 , 0.090158 , 0.100271 , 0.091724 , 0.091981 , 0.081732 , 0.068404 , 0.088504 , 0.087859 , 0.083581 , 0.090124 , 0.083371 , 0.084223 
 319 , 0.054999 , 0.070597 , 0.064781 , 0.072636 , 0.070206 , 0.057996 , 0.060898 , 0.056919 , 0.061586 , 0.070003 , 0.077805 , 0.071741 , 0.072772 , 0.07773 , 0.085252 , 0.079618 , 0.080456 , 0.071989 , 0.058816 , 0.07699 , 0.078397 , 0.073758 , 0.077259 , 0.071135 , 0.072857 
 320 , 0.047981 , 0.062022 , 0.056741 , 0.066107 , 0.063098 , 0.050432 , 0.05325 , 0.050809 , 0.053379 , 0.060408 , 0.068689 , 0.063923 , 0.063835 , 0.068074 , 0.073585 , 0.07019 , 0.071478 , 0.064407 , 0.051332 , 0.068017 , 0.071023 , 0.066099 , 0.067258 , 0.061607 , 0.064011 
