SHB2_00004_SHB2_REF.spu,SHB2_00003_SHB2_REF.spu,SHB2_00002_SHB2_REF.spu,
Wavelength,SHB2_00005_B2_NP.spu,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_CT1.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_N.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_P.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu
  (nm),6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 
  time  ,52:04 PM,52:45 PM,53:04 PM,53:28 PM,53:43 PM,54:25 PM,54:41 PM,54:56 PM,55:11 PM,55:31 PM,56:42 PM,56:56 PM,57:10 PM,57:26 PM,57:42 PM,58:29 PM,58:41 PM,58:52 PM,59:02 PM,59:15 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.059379 , 0.041851 , 0.057907 , 0.040035 , 0.090446 , 0.030461 , 0.043335 , 0.025695 , 0.033298 , 0.051147 , 0.049028 , 0.035797 , 0.041685 , 0.038783 , 0.031257 , 0.054933 , 0.099759 , 0.092624 , 0.07956 , 0.089834 
 311 , 0.057183 , 0.035884 , 0.051287 , 0.036488 , 0.088889 , 0.029343 , 0.037732 , 0.022583 , 0.02966 , 0.051072 , 0.044894 , 0.03031 , 0.03165 , 0.030926 , 0.030106 , 0.052729 , 0.101156 , 0.088086 , 0.069449 , 0.083208 
 312 , 0.039633 , 0.034662 , 0.048742 , 0.035548 , 0.082142 , 0.027031 , 0.034102 , 0.020682 , 0.029057 , 0.040599 , 0.037723 , 0.02407 , 0.024672 , 0.026276 , 0.029828 , 0.051887 , 0.088327 , 0.084591 , 0.070833 , 0.075334 
 313 , 0.022512 , 0.034237 , 0.047082 , 0.035115 , 0.075649 , 0.0249 , 0.031291 , 0.019191 , 0.028947 , 0.030215 , 0.031113 , 0.018549 , 0.018974 , 0.022561 , 0.029712 , 0.05135 , 0.075126 , 0.08164 , 0.073631 , 0.068237 
 314 , 0.007881 , 0.033917 , 0.045674 , 0.034785 , 0.070091 , 0.023076 , 0.028891 , 0.017915 , 0.028886 , 0.021345 , 0.025438 , 0.01378 , 0.014026 , 0.019321 , 0.029648 , 0.050858 , 0.063686 , 0.079206 , 0.076212 , 0.062117 
 315 , 0.006652 , 0.033404 , 0.042606 , 0.033412 , 0.065976 , 0.022448 , 0.029216 , 0.0179 , 0.0282 , 0.017013 , 0.023056 , 0.01255 , 0.014128 , 0.017501 , 0.027964 , 0.052499 , 0.05823 , 0.075684 , 0.073181 , 0.058234 
 316 , 0.016599 , 0.032773 , 0.038346 , 0.031275 , 0.063253 , 0.022835 , 0.031763 , 0.018935 , 0.027032 , 0.016638 , 0.02353 , 0.01438 , 0.018452 , 0.017028 , 0.025058 , 0.055834 , 0.058143 , 0.071595 , 0.065714 , 0.056478 
 317 , 0.02482 , 0.032257 , 0.034874 , 0.029532 , 0.061029 , 0.023131 , 0.03386 , 0.019775 , 0.026107 , 0.016344 , 0.023906 , 0.015938 , 0.021995 , 0.01663 , 0.022694 , 0.05864 , 0.058128 , 0.068225 , 0.059634 , 0.055044 
 318 , 0.030771 , 0.031837 , 0.032299 , 0.028143 , 0.059148 , 0.023396 , 0.035283 , 0.020924 , 0.025351 , 0.016574 , 0.024189 , 0.017105 , 0.024865 , 0.016313 , 0.02097 , 0.059785 , 0.058191 , 0.065644 , 0.055253 , 0.053923 
 319 , 0.028024 , 0.031699 , 0.032932 , 0.027602 , 0.057629 , 0.023776 , 0.033912 , 0.02548 , 0.025026 , 0.020487 , 0.024238 , 0.016821 , 0.026675 , 0.016289 , 0.021537 , 0.051657 , 0.058972 , 0.06559 , 0.057269 , 0.054009 
 320 , 0.025848 , 0.03152 , 0.033294 , 0.027121 , 0.056334 , 0.024115 , 0.032795 , 0.028974 , 0.024669 , 0.023455 , 0.024243 , 0.016518 , 0.027916 , 0.016233 , 0.021941 , 0.045295 , 0.059392 , 0.065398 , 0.058576 , 0.053873 
 321 , 0.024081 , 0.031318 , 0.033466 , 0.026687 , 0.055195 , 0.024424 , 0.031862 , 0.031717 , 0.02429 , 0.025755 , 0.024213 , 0.016206 , 0.028765 , 0.016154 , 0.022233 , 0.040186 , 0.059555 , 0.065112 , 0.059395 , 0.053584 
