SHB1_00004_SHB1_REF.spu,SHB1_00003_SHB1_REF.spu,SHB1_00002_SHB1_REF.spu,
Wavelength,SHB1_00005_B1_NP.spu,SHB1_00006_B1_NP.spu,SHB1_00007_B1_NP.spu,SHB1_00008_B1_NP.spu,SHB1_00009_B1_NP.spu,SHB1_00010_B1_NP-tall.spu,SHB1_00011_B1_NP-tall.spu,SHB1_00012_B1_NP-tall.spu,SHB1_00013_B1_NP-tall.spu,SHB1_00014_B1_NP-tall.spu,SHB1_00015_B1_P.spu,SHB1_00016_B1_P.spu,SHB1_00017_B1_P.spu,SHB1_00018_B1_P.spu,SHB1_00019_B1_P.spu,SHB1_00020_B1_N.spu,SHB1_00021_B1_N.spu,SHB1_00022_B1_N.spu,SHB1_00023_B1_N.spu,SHB1_00024_B1_N.spu,SHB1_00026_B1_CT2.spu,SHB1_00027_B1_CT2.spu,SHB1_00028_B1_CT2.spu,SHB1_00029_B1_CT2.spu,SHB1_00030_B1_CT2.spu
  (nm),6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 
  time  ,15:08 AM,15:48 AM,16:08 AM,16:27 AM,16:50 AM,17:32 AM,17:50 AM,18:06 AM,18:20 AM,18:36 AM,19:53 AM,20:15 AM,20:32 AM,20:46 AM,21:03 AM,21:40 AM,22:06 AM,22:15 AM,22:29 AM,22:43 AM,24:50 AM,25:07 AM,25:19 AM,25:29 AM,25:41 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.01082 , 0.019758 , 0.020688 , 0.057256 , 0.025305 , 0.014419 , 0.044073 , 0.043335 , 0.021645 , 0.018254 , 0.027942 , 0.029391 , 0.048258 , 0.02961 , 0.044401 , 0.042842 , 0.014764 , 0.033341 , 0.034183 , 0.031705 , 0.039533 , 0.042481 , 0.0413 , 0.036398 , 0.031114 
 311 , 0.001272 , 0.002345 , 0.002411 , 0.045991 , 0.015696 , 0.001701 , 0.030609 , 0.018024 , 0.013549 , 0.002175 , 0.023926 , 0.022087 , 0.043706 , 0.0225 , 0.031033 , 0.030472 , 0.009447 , 0.027824 , 0.033417 , 0.024642 , 0.031854 , 0.034215 , 0.035179 , 0.028165 , 0.024295 
 312 , 0.009911 , 0 , 0.003351 , 0.036416 , 0.012909 , 0.006397 , 0.022308 , 0.015883 , 0.01127 , 0.006 , 0.023193 , 0.016492 , 0.038543 , 0.018962 , 0.021694 , 0.029923 , 0.011681 , 0.029628 , 0.025576 , 0.022269 , 0.029575 , 0.036919 , 0.030218 , 0.0237 , 0.022047 
 313 , 0.018799 , 0 , 0.006408 , 0.028968 , 0.011505 , 0.012328 , 0.01631 , 0.016971 , 0.010165 , 0.011382 , 0.02301 , 0.012226 , 0.034413 , 0.016632 , 0.014647 , 0.030991 , 0.014401 , 0.031949 , 0.018629 , 0.021008 , 0.028459 , 0.040651 , 0.026504 , 0.020682 , 0.020885 
 314 , 0.025672 , 0 , 0.008821 , 0.022998 , 0.010384 , 0.017104 , 0.011507 , 0.017853 , 0.009292 , 0.015548 , 0.02281 , 0.008795 , 0.031122 , 0.014772 , 0.008994 , 0.031925 , 0.01655 , 0.033676 , 0.013171 , 0.019962 , 0.027503 , 0.043864 , 0.02354 , 0.018279 , 0.019925 
 315 , 0.035526 , 0.013294 , 0.021546 , 0.031793 , 0.018062 , 0.026478 , 0.01701 , 0.025071 , 0.017423 , 0.024938 , 0.030867 , 0.015285 , 0.03234 , 0.020272 , 0.016149 , 0.036739 , 0.021662 , 0.037716 , 0.017218 , 0.022803 , 0.029122 , 0.044161 , 0.027537 , 0.022711 , 0.023985 
 316 , 0.04691 , 0.03469 , 0.04024 , 0.050741 , 0.031624 , 0.038527 , 0.029483 , 0.036355 , 0.031561 , 0.037417 , 0.044598 , 0.029073 , 0.036875 , 0.030987 , 0.032655 , 0.044119 , 0.028767 , 0.043428 , 0.028486 , 0.028549 , 0.032731 , 0.042211 , 0.036859 , 0.032034 , 0.031747 
 317 , 0.055552 , 0.05029 , 0.053784 , 0.065053 , 0.041909 , 0.047706 , 0.038737 , 0.044886 , 0.042285 , 0.046781 , 0.055259 , 0.040071 , 0.040446 , 0.039388 , 0.04567 , 0.049856 , 0.03441 , 0.048144 , 0.037729 , 0.033274 , 0.035835 , 0.040754 , 0.044632 , 0.039364 , 0.038037 
 318 , 0.059481 , 0.059005 , 0.061263 , 0.072798 , 0.047358 , 0.052293 , 0.043828 , 0.04924 , 0.047926 , 0.051459 , 0.061016 , 0.046704 , 0.041913 , 0.04372 , 0.053308 , 0.052055 , 0.037328 , 0.050401 , 0.043471 , 0.035756 , 0.037128 , 0.038477 , 0.048724 , 0.043526 , 0.041282 
 319 , 0.039031 , 0.040152 , 0.044461 , 0.051527 , 0.030832 , 0.035213 , 0.031577 , 0.033785 , 0.029881 , 0.033706 , 0.043871 , 0.03366 , 0.032103 , 0.028042 , 0.035739 , 0.035211 , 0.026245 , 0.039242 , 0.032585 , 0.026368 , 0.027703 , 0.027612 , 0.033389 , 0.032885 , 0.028706 
