MAT_00009.ref_MAT_DARK.spu,MAT_00008.ref_MAT_DARK.spu,MAT_00007.ref_MAT_DARK.spu,MAT_00006.ref_MAT_DARK.spu,MAT_00005.ref_MAT_DARK.spu,
Wavelength,MAT_00010_B2_P.spu,MAT_00011_B2_P.spu,MAT_00012_B2_P.spu,MAT_00013_B2_P.spu,MAT_00014_B2_P.spu,MAT_00015_B2_CT2.spu,MAT_00016_B2_CT2.spu,MAT_00017_B2_CT2.spu,MAT_00018_B2_CT2.spu,MAT_00019_B2_CT2.spu,MAT_00020_B2_CT1.spu,MAT_00021_B2_CT1.spu,MAT_00022_B2_CT1.spu,MAT_00023_B2_CT1.spu,MAT_00024_B2_CT1.spu,MAT_00025_B2_N.spu,MAT_00026_B2_N.spu,MAT_00027_B2_N.spu,MAT_00028_B2_N.spu,MAT_00029_B2_N.spu,MAT_00030_B2_NP.spu,MAT_00031_B2_NP.spu,MAT_00032_B2_NP.spu,MAT_00033_B2_NP.spu,MAT_00034_B2_NP.spu,MAT_00040_B4_CT2.spu,MAT_00041_B4_CT2.spu,MAT_00042_B4_CT2.spu,MAT_00043_B4_CT2.spu,MAT_00044_B4_CT2.spu,MAT_00045_B4_CT1.spu,MAT_00046_B4_CT1.spu,MAT_00047_B4_CT1.spu,MAT_00048_B4_CT1.spu,MAT_00049_B4_CT1.spu,MAT_00050_B4_N.spu,MAT_00051_B4_N.spu,MAT_00052_B4_N.spu,MAT_00053_B4_N.spu,MAT_00054_B4_N.spu,MAT_00055_B4_P.spu,MAT_00056_B4_P.spu,MAT_00057_B4_P.spu,MAT_00058_B4_P.spu,MAT_00059_B4_P.spu,MAT_00060_B4_NP.spu,MAT_00061_B4_NP.spu,MAT_00062_B4_NP.spu,MAT_00063_B4_NP.spu,MAT_00064_B4_NP.spu,MAT_00065_B3_N.spu,MAT_00066_B3_N.spu,MAT_00067_B3_N.spu,MAT_00068_B3_N.spu,MAT_00069_B3_N.spu,MAT_00070_B3_CT2.spu,MAT_00071_B3_CT2.spu,MAT_00072_B3_CT2.spu,MAT_00073_B3_CT2.spu,MAT_00074_B3_CT2.spu,MAT_00075_B3_CT1.spu,MAT_00076_B3_CT1.spu,MAT_00077_B3_CT1.spu,MAT_00078_B3_CT1.spu,MAT_00079_B3_CT1.spu,MAT_00080_B3_NP.spu,MAT_00081_B3_NP.spu,MAT_00082_B3_NP.spu,MAT_00083_B3_NP.spu,MAT_00084_B3_NP.spu,MAT_00085_B3_P.spu,MAT_00086_B3_P.spu,MAT_00087_B3_P.spu,MAT_00088_B3_P.spu,MAT_00089_B3_P.spu,MAT_00090_B1_CT2.spu,MAT_00091_B1_CT2.spu,MAT_00092_B1_CT2.spu,MAT_00093_B1_CT2.spu,MAT_00094_B1_CT2.spu,MAT_00095_B1_NP.spu,MAT_00096_B1_NP.spu,MAT_00097_B1_NP.spu,MAT_00098_B1_NP.spu,MAT_00099_B1_NP.spu,MAT_00100_B1_N.spu,MAT_00101_B1_N.spu,MAT_00102_B1_N.spu,MAT_00103_B1_N.spu,MAT_00104_B1_N.spu,MAT_00105_B1_P.spu,MAT_00106_B1_P.spu,MAT_00107_B1_P.spu,MAT_00108_B1_P.spu,MAT_00109_B1_P.spu,MAT_00110_B1_CT1.spu,MAT_00111_B1_CT1.spu,MAT_00112_B1_CT1.spu,MAT_00113_B1_CT1.spu,MAT_00114_B1_CT1.spu
  (nm),7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9,7/4/2017 9
  time  ,2:26 PM",2:41 PM",2:50 PM",2:59 PM",3:18 PM",3:35 PM",3:50 PM",4:00 PM",4:11 PM",4:19 PM",4:57 PM",5:07 PM",5:19 PM",5:26 PM",5:34 PM",7:22 PM",7:36 PM",7:49 PM",8:01 PM",8:14 PM",9:01 PM",9:11 PM",9:23 PM",9:33 PM",0:37 PM",4:43 PM",4:53 PM",5:03 PM",5:11 PM",5:21 PM",6:10 PM",6:25 PM",6:35 PM",6:47 PM",6:56 PM",3:26 PM",3:37 PM",3:48 PM",4:00 PM",4:01 PM",4:26 PM",4:39 PM",4:48 PM",5:00 PM",5:38 PM",7:23 PM",7:32 PM",7:43 PM",7:58 PM",8:12 PM",0:04 PM",0:18 PM",0:27 PM",0:37 PM",0:50 PM",2:13 PM",2:24 PM",2:37 PM",2:48 PM",2:57 PM",4:08 PM",4:22 PM",4:30 PM",4:41 PM",4:49 PM",5:33 PM",5:45 PM",5:54 PM",6:04 PM",6:15 PM",6:47 PM",6:56 PM",7:06 PM",7:22 PM",7:32 PM",8:48 PM",8:59 PM",9:16 PM",9:30 PM",9:39 PM",0:28 PM",0:40 PM",0:51 PM",1:06 PM",1:17 PM",1:57 PM",2:08 PM",2:17 PM",2:26 PM",2:35 PM",2:58 PM",3:06 PM",3:14 PM",3:54 PM",4:02 PM",4:44 PM",4:58 PM",5:14 PM",5:25 PM",5:34 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.055119 , 0.046126 , 0.054172 , 0.068522 , 0.046102 , 0.044083 , 0.039949 , 0.063434 , 0.039342 , 0.078525 , 0.074794 , 0.062606 , 0.030451 , 0.060136 , 0.07152 , 0.07948 , 0.064246 , 0.073926 , 0.074076 , 0.06558 , 0.048619 , 0.018136 , 0.076253 , 0.030372 , 0.04656 , 0.029922 , 0.031129 , 0.061288 , 0.021213 , 0.021284 , 0.047988 , 0.014957 , 0.009735 , 0.038805 , 0.042363 , 0.079851 , 0.051364 , 0.057628 , 0.059127 , 0.050331 , 0.093569 , 0.020629 , 0.090587 , 0.050354 , 0.081878 , 0.042323 , 0.05037 , 0.030025 , 0.04032 , 0.053313 , 0.085775 , 0.059419 , 0.040249 , 0.081704 , 0.045676 , 0.062803 , 0.087219 , 0.101624 , 0.048437 , 0.075283 , 0.114924 , 0.093301 , 0.059466 , 0.097332 , 0.028802 , 0.036407 , 0.0772 , 0.106744 , 0.091384 , 0.058314 , 0.096023 , 0.099147 , 0.063323 , 0.074155 , 0.069761 , 0.083393 , 0.102633 , 0.10474 , 0.073729 , 0.083046 , 0.083669 , 0.10915 , 0.080411 , 0.074486 , 0.098618 , 0.082888 , 0.036983 , 0.107556 , 0.08049 , 0.072672 , 0.085073 , 0.09439 , 0.088142 , 0.089451 , 0.094579 , 0.068144 , 0.063592 , 0.072404 , 0.088994 , 0.075086 
 311 , 0.047307 , 0.038922 , 0.041142 , 0.057227 , 0.038472 , 0.031108 , 0.021807 , 0.049047 , 0.029605 , 0.075402 , 0.057974 , 0.048986 , 0.020937 , 0.049223 , 0.057593 , 0.073098 , 0.041043 , 0.057936 , 0.065177 , 0.055395 , 0.034107 , 0.011438 , 0.06636 , 0.022128 , 0.037899 , 0.0283 , 0.029933 , 0.058707 , 0.015604 , 0.002526 , 0.033191 , 0.014154 , 0.001152 , 0.029384 , 0.0198 , 0.062743 , 0.053015 , 0.043851 , 0.056563 , 0.032497 , 0.081964 , 0.003411 , 0.099613 , 0.044713 , 0.074402 , 0.019442 , 0.035244 , 0.033977 , 0.033199 , 0.036808 , 0.072411 , 0.040356 , 0.022212 , 0.061439 , 0.038029 , 0.05007 , 0.058562 , 0.086305 , 0.051351 , 0.055945 , 0.110966 , 0.093196 , 0.030384 , 0.092219 , 0.016565 , 0.034252 , 0.069908 , 0.098979 , 0.075486 , 0.040852 , 0.074059 , 0.076417 , 0.070145 , 0.066909 , 0.03883 , 0.070725 , 0.090792 , 0.0832 , 0.063667 , 0.070686 , 0.069878 , 0.095042 , 0.054381 , 0.062682 , 0.07966 , 0.076806 , 0.027431 , 0.084322 , 0.057608 , 0.054236 , 0.0699 , 0.094851 , 0.068168 , 0.071396 , 0.079942 , 0.056136 , 0.045629 , 0.06591 , 0.07837 , 0.05905 
 312 , 0.041133 , 0.037406 , 0.036146 , 0.052367 , 0.03063 , 0.029671 , 0.022617 , 0.046192 , 0.026502 , 0.059049 , 0.054198 , 0.050378 , 0.020363 , 0.039524 , 0.053848 , 0.070082 , 0.037027 , 0.056008 , 0.055407 , 0.046321 , 0.030136 , 0.007384 , 0.060616 , 0.014381 , 0.031546 , 0.019561 , 0.023976 , 0.041033 , 0.017322 , 0 , 0.028491 , 0.009781 , 0 , 0.019361 , 0.01841 , 0.052753 , 0.042994 , 0.042121 , 0.049125 , 0.030494 , 0.064322 , 0.00347 , 0.075634 , 0.035918 , 0.060995 , 0.015075 , 0.023339 , 0.027525 , 0.026573 , 0.024069 , 0.048997 , 0.026845 , 0.022495 , 0.049426 , 0.030458 , 0.050127 , 0.046042 , 0.070547 , 0.04001 , 0.054134 , 0.106322 , 0.075777 , 0.039788 , 0.085945 , 0.025779 , 0.044983 , 0.072443 , 0.085687 , 0.057218 , 0.033528 , 0.072164 , 0.059829 , 0.066712 , 0.052131 , 0.031811 , 0.06981 , 0.086159 , 0.075241 , 0.060394 , 0.066762 , 0.066061 , 0.08681 , 0.050099 , 0.066218 , 0.06785 , 0.064594 , 0.030516 , 0.074461 , 0.047043 , 0.042328 , 0.062498 , 0.080564 , 0.064029 , 0.067585 , 0.081659 , 0.053089 , 0.040032 , 0.055908 , 0.075226 , 0.053612 
 313 , 0.035927 , 0.036866 , 0.032946 , 0.048889 , 0.023696 , 0.029952 , 0.025931 , 0.045177 , 0.024629 , 0.043042 , 0.052621 , 0.053622 , 0.021065 , 0.031369 , 0.051916 , 0.067866 , 0.036101 , 0.056246 , 0.046748 , 0.03837 , 0.027999 , 0.004162 , 0.056166 , 0.007887 , 0.02628 , 0.010949 , 0.018265 , 0.023219 , 0.019742 , 0 , 0.025764 , 0.005478 , 0 , 0.010727 , 0.020044 , 0.045137 , 0.032832 , 0.042237 , 0.041995 , 0.030879 , 0.048124 , 0.005813 , 0.050393 , 0.027751 , 0.048124 , 0.013754 , 0.013204 , 0.020776 , 0.020702 , 0.013446 , 0.027355 , 0.015298 , 0.025153 , 0.040149 , 0.023736 , 0.051963 , 0.037457 , 0.056736 , 0.028247 , 0.05485 , 0.102242 , 0.057736 , 0.053554 , 0.080231 , 0.036403 , 0.056119 , 0.075948 , 0.07335 , 0.040807 , 0.028241 , 0.073156 , 0.046157 , 0.062328 , 0.037806 , 0.028925 , 0.070618 , 0.083017 , 0.069987 , 0.058414 , 0.064422 , 0.064033 , 0.080439 , 0.049191 , 0.07141 , 0.05869 , 0.053299 , 0.034859 , 0.067806 , 0.039572 , 0.032631 , 0.057132 , 0.066651 , 0.062456 , 0.06608 , 0.085474 , 0.051661 , 0.03684 , 0.046607 , 0.073451 , 0.050225 
 314 , 0.031395 , 0.036369 , 0.030186 , 0.045861 , 0.01765 , 0.030218 , 0.02892 , 0.044305 , 0.022991 , 0.029174 , 0.051247 , 0.056455 , 0.021662 , 0.024402 , 0.050221 , 0.065966 , 0.035287 , 0.056417 , 0.039242 , 0.031483 , 0.026142 , 0.001335 , 0.052304 , 0.002468 , 0.021681 , 0.003493 , 0.01341 , 0.007486 , 0.021801 , 0 , 0.023421 , 0.001747 , 0 , 0.003392 , 0.021345 , 0.038615 , 0.024155 , 0.04233 , 0.035812 , 0.031123 , 0.034135 , 0.007834 , 0.02861 , 0.020649 , 0.036704 , 0.0126 , 0.004259 , 0.015112 , 0.015536 , 0.004284 , 0.008708 , 0.004968 , 0.027484 , 0.03223 , 0.017808 , 0.053765 , 0.03011 , 0.044798 , 0.018099 , 0.055537 , 0.098684 , 0.04171 , 0.065935 , 0.075256 , 0.045273 , 0.065802 , 0.07899 , 0.062638 , 0.026547 , 0.023503 , 0.074054 , 0.034363 , 0.058512 , 0.025079 , 0.026421 , 0.07144 , 0.080287 , 0.065416 , 0.056664 , 0.062397 , 0.062271 , 0.074896 , 0.04838 , 0.076079 , 0.050861 , 0.043551 , 0.038565 , 0.062081 , 0.033173 , 0.024155 , 0.0525 , 0.054898 , 0.061081 , 0.064808 , 0.089077 , 0.050405 , 0.034065 , 0.03847 , 0.071959 , 0.047279 
 315 , 0.028759 , 0.034306 , 0.032101 , 0.043737 , 0.015928 , 0.029593 , 0.028631 , 0.043387 , 0.021002 , 0.026105 , 0.048822 , 0.055617 , 0.018681 , 0.021101 , 0.045807 , 0.059472 , 0.034201 , 0.05448 , 0.034743 , 0.028718 , 0.023866 , 0.00326 , 0.048752 , 0.008142 , 0.021142 , 0.002974 , 0.012073 , 0.006194 , 0.024741 , 0.005873 , 0.022845 , 0.001476 , 0.004153 , 0.005599 , 0.022373 , 0.036213 , 0.020477 , 0.038476 , 0.034107 , 0.03255 , 0.028351 , 0.010673 , 0.020716 , 0.017596 , 0.031885 , 0.012936 , 0.006684 , 0.013636 , 0.012283 , 0.003441 , 0.005354 , 0.009897 , 0.027231 , 0.034638 , 0.018197 , 0.056778 , 0.033711 , 0.04075 , 0.016278 , 0.054707 , 0.093282 , 0.034895 , 0.06114 , 0.065124 , 0.05378 , 0.061158 , 0.077494 , 0.050928 , 0.018716 , 0.029401 , 0.073977 , 0.03584 , 0.055839 , 0.023802 , 0.028211 , 0.067334 , 0.076654 , 0.059758 , 0.054095 , 0.059361 , 0.060691 , 0.067976 , 0.045795 , 0.072927 , 0.047411 , 0.042372 , 0.036889 , 0.056299 , 0.031401 , 0.022997 , 0.052153 , 0.049709 , 0.0604 , 0.065135 , 0.084265 , 0.051657 , 0.032072 , 0.038318 , 0.069381 , 0.045673 
