DHT_00004_DHT_REF.spu,DHT_00003_DHT_REF.spu,DHT_00002_DHT_REF.spu,
Wavelength,DHT_00005_B1_NP.spu,DHT_00006_B1_NP.spu,DHT_00007_B1_NP.spu,DHT_00008_B1_NP.spu,DHT_00009_B1_NP.spu,DHT_00010_B1_P.spu,DHT_00011_B1_P.spu,DHT_00012_B1_P.spu,DHT_00013_B1_P.spu,DHT_00014_B1_P.spu,DHT_00015_B1_CT2.spu,DHT_00016_B1_CT2.spu,DHT_00017_B1_CT2.spu,DHT_00018_B1_CT2.spu,DHT_00019_B1_CT2.spu,DHT_00020_B1_CT1.spu,DHT_00021_B1_CT1.spu,DHT_00022_B1_CT1.spu,DHT_00023_B1_CT1.spu,DHT_00024_B1_CT1.spu,DHT_00025_B1_EXNP-SF.spu,DHT_00026_B1_EXNP-SF.spu,DHT_00027_B1_EXNP-SF.spu,DHT_00028_B1_EXNP-SF.spu,DHT_00029_B1_EXNP-SF.spu,DHT_00030_B1_EXNP-LF.spu,DHT_00031_B1_EXNP-LF.spu,DHT_00032_B1_EXNP-LF.spu,DHT_00033_B1_EXNP-LF.spu,DHT_00034_B1_EXNP-LF.spu,DHT_00035_B1_N.spu,DHT_00036_B1_N.spu,DHT_00037_B1_N.spu,DHT_00038_B1_N.spu,DHT_00039_B1_N.spu,DHT_00040_B1_EXCT-SF.spu,DHT_00041_B1_EXCT-SF.spu,DHT_00042_B1_EXCT-SF.spu,DHT_00043_B1_EXCT-SF.spu,DHT_00044_B1_EXCT-SF.spu,DHT_00045_B1_EXCT-LF.spu,DHT_00046_B1_EXCT-LF.spu,DHT_00047_B1_EXCT-LF.spu,DHT_00048_B1_EXCT-LF.spu,DHT_00049_B1_EXCT-LF.spu,DHT_00050_B2_NP.spu,DHT_00051_B2_NP.spu,DHT_00052_B2_NP.spu,DHT_00053_B2_NP.spu,DHT_00054_B2_NP.spu,DHT_00055_B2_CT2.spu,DHT_00056_B2_CT2.spu,DHT_00057_B2_CT2.spu,DHT_00058_B2_CT2.spu,DHT_00059_B2_CT2.spu,DHT_00060_B2_EXCT-SF.spu,DHT_00061_B2_EXCT-SF.spu,DHT_00062_B2_EXCT-SF.spu,DHT_00063_B2_EXCT-SF.spu,DHT_00064_B2_EXCT-SF.spu,DHT_00065_B2_EXCT-LF.spu,DHT_00066_B2_EXCT-LF.spu,DHT_00067_B2_EXCT-LF.spu,DHT_00068_B2_EXCT-LF.spu,DHT_00069_B2_EXCT-LF.spu,DHT_00070_B2_CT1.spu,DHT_00071_B2_CT1.spu,DHT_00072_B2_CT1.spu,DHT_00073_B2_CT1.spu,DHT_00074_B2_CT1.spu,DHT_00075_B2_N.spu,DHT_00076_B2_N.spu,DHT_00077_B2_N.spu,DHT_00078_B2_N.spu,DHT_00079_B2_N.spu,DHT_00080_B2_P.spu,DHT_00081_B2_P.spu,DHT_00082_B2_P.spu,DHT_00083_B2_P.spu,DHT_00084_B2_P.spu,DHT_00085_B2_EXNP-LF.spu,DHT_00086_B2_EXNP-LF.spu,DHT_00087_B2_EXNP-LF.spu,DHT_00088_B2_EXNP-LF.spu,DHT_00089_B2_EXNP-LF.spu,DHT_00090_B2_EXNP-SF.spu,DHT_00091_B2_EXNP-SF.spu,DHT_00092_B2_EXNP-SF.spu,DHT_00093_B2_EXNP-SF.spu,DHT_00094_B2_EXNP-SF.spu,DHT_00095_B3_NP.spu,DHT_00096_B3_NP.spu,DHT_00097_B3_NP.spu,DHT_00098_B3_NP.spu,DHT_00099_B3_NP.spu,DHT_00100_B3_CT2.spu,DHT_00101_B3_CT2.spu,DHT_00102_B3_CT2.spu,DHT_00103_B3_CT2.spu,DHT_00104_B3_CT2.spu,DHT_00105_B3_EXCT-LF.spu,DHT_00106_B3_EXCT-LF.spu,DHT_00107_B3_EXCT-LF.spu,DHT_00108_B3_EXCT-LF.spu,DHT_00109_B3_EXCT-LF.spu,DHT_00110_B3_EXCT-SF.spu,DHT_00111_B3_EXCT-SF.spu,DHT_00112_B3_EXCT-SF.spu,DHT_00113_B3_EXCT-SF.spu,DHT_00114_B3_EXCT-SF.spu,DHT_00115_B3_CT1.spu,DHT_00116_B3_CT1.spu,DHT_00117_B3_CT1.spu,DHT_00118_B3_CT1.spu,DHT_00119_B3_CT1.spu,DHT_00120_B3_N.spu,DHT_00121_B3_N.spu,DHT_00122_B3_N.spu,DHT_00123_B3_N.spu,DHT_00124_B3_N.spu,DHT_00125_B3_EXNP-LF.spu,DHT_00126_B3_EXNP-LF.spu,DHT_00127_B3_EXNP-LF.spu,DHT_00128_B3_EXNP-LF.spu,DHT_00129_B3_EXNP-LF.spu,DHT_00130_B3_EXNP-SF.spu,DHT_00131_B3_EXNP-SF.spu,DHT_00132_B3_EXNP-SF.spu,DHT_00133_B3_EXNP-SF.spu,DHT_00134_B3_EXNP-SF.spu,DHT_00135_B3_P.spu,DHT_00136_B3_P.spu,DHT_00137_B3_P.spu,DHT_00138_B3_P.spu,DHT_00139_B3_P.spu
  (nm),7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 ,7/13/2017 
  time  ,10:47 PM,11:17 PM,11:34 PM,11:49 PM,11:57 PM,12:59 PM,13:14 PM,13:30 PM,13:44 PM,13:57 PM,14:35 PM,14:54 PM,15:06 PM,15:19 PM,15:27 PM,16:10 PM,16:21 PM,16:35 PM,16:50 PM,16:59 PM,17:48 PM,17:57 PM,18:11 PM,18:21 PM,18:38 PM,18:50 PM,19:01 PM,19:09 PM,19:19 PM,19:31 PM,20:08 PM,20:22 PM,20:35 PM,20:49 PM,20:56 PM,22:26 PM,22:38 PM,23:04 PM,23:14 PM,23:22 PM,23:34 PM,23:42 PM,23:52 PM,24:00 PM,24:09 PM,25:09 PM,25:21 PM,25:34 PM,25:45 PM,25:55 PM,26:33 PM,26:49 PM,27:00 PM,27:11 PM,27:23 PM,27:51 PM,28:03 PM,28:18 PM,28:30 PM,28:41 PM,29:02 PM,29:10 PM,29:19 PM,29:28 PM,29:36 PM,30:09 PM,30:34 PM,30:44 PM,30:56 PM,31:05 PM,31:38 PM,31:49 PM,32:01 PM,32:11 PM,32:23 PM,33:22 PM,33:31 PM,33:43 PM,33:53 PM,34:03 PM,34:58 PM,35:11 PM,35:19 PM,35:31 PM,35:46 PM,36:00 PM,36:08 PM,36:19 PM,36:26 PM,36:35 PM,37:45 PM,37:56 PM,38:06 PM,38:19 PM,38:30 PM,39:12 PM,39:23 PM,39:32 PM,39:43 PM,39:51 PM,40:14 PM,40:25 PM,40:34 PM,40:44 PM,40:56 PM,41:08 PM,41:20 PM,41:35 PM,42:02 PM,42:11 PM,43:08 PM,43:23 PM,43:31 PM,43:39 PM,43:48 PM,44:29 PM,44:37 PM,44:46 PM,44:55 PM,45:03 PM,45:34 PM,45:42 PM,45:53 PM,46:02 PM,46:12 PM,46:26 PM,46:37 PM,46:46 PM,46:57 PM,47:07 PM,47:35 PM,47:45 PM,47:53 PM,48:00 PM,48:08 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0.016191 , 0 , 0.006237 , 0.002241 , 0 , 0 , 0 , 0 , 0.00637 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0.017066 , 0 , 0.005915 , 0.000254 , 0 , 0 , 0 , 0 , 0.005998 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0.008939 , 0.02427 , 0.012986 , 0.015666 , 0.010649 , 0.010548 , 0.011945 , 0.004047 , 0.009332 , 0.015921 , 0.011878 , 0.007973 , 0.006802 , 0.008608 , 0.005331 , 0.005414 , 0.004076 , 0.004189 , 0.004093 , 0.004093 , 0 , 0.004068 , 0.003993 , 0.008199 , 0.00411 , 0.005506 , 0.001442 , 0.009871 , 0.002805 , 0.001455 , 0.006898 , 0.011088 , 0 , 0.001434 , 0.007036 , 0.002927 , 0 , 0.002889 , 0.010005 , 0.004193 , 0.002893 , 0.004235 , 0.004139 , 0.004235 , 0.007062 , 0.004235 , 0.007379 , 0.004235 , 0.001488 , 0 , 0.005653 , 0 , 0 , 0 , 0.005699 , 0 , 0.004365 , 0.001493 , 0 , 0 , 0.001442 , 0.002922 , 0.001497 , 0.004265 , 0 , 0 , 0.001472 , 0 , 0.001463 , 0.001459 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001488 , 0.001455 , 0 , 0.002973 , 0.004402 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003014 , 0 , 0 , 0 , 0 , 0 , 0.002994 , 0.012367 , 0.002939 , 0 , 0.005857 , 0 , 0.001501 , 0.00148 , 0.001518 , 0.001518 , 0 , 0.001472 , 0 , 0 , 0 , 0.007542 , 0.004386 , 0.00452 , 0 , 0.010444 , 0 , 0 , 0.001488 , 0 , 0 , 0 , 0 , 0.001509 , 0 , 0.001518 , 0.001522 , 0.001547 , 0.005778 , 0.005941 , 0 , 0.007467 , 0.001501 , 0 , 0.001497 , 0.003048 
 313 , 0.017327 , 0.030752 , 0.025432 , 0.024699 , 0.02039 , 0.020284 , 0.023046 , 0.007721 , 0.017943 , 0.025185 , 0.023084 , 0.015731 , 0.013068 , 0.016453 , 0.010362 , 0.0104 , 0.007831 , 0.00804 , 0.007892 , 0.007892 , 0 , 0.007904 , 0.007816 , 0.015994 , 0.007949 , 0.010613 , 0.002774 , 0.019022 , 0.005453 , 0.002816 , 0.013455 , 0.021545 , 0 , 0.002804 , 0.013611 , 0.00562 , 0 , 0.005544 , 0.019277 , 0.008181 , 0.005643 , 0.008227 , 0.008071 , 0.008227 , 0.013714 , 0.008227 , 0.014151 , 0.008227 , 0.002869 , 0 , 0.010894 , 0 , 0 , 0 , 0.011065 , 0 , 0.008375 , 0.002842 , 0 , 0 , 0.002846 , 0.005673 , 0.002892 , 0.008211 , 0 , 0 , 0.002831 , 0 , 0.002888 , 0.002838 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002899 , 0.002816 , 0 , 0.005799 , 0.008508 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005878 , 0 , 0 , 0 , 0 , 0 , 0.005787 , 0.02389 , 0.005662 , 0 , 0.011373 , 0 , 0.002914 , 0.002876 , 0.002933 , 0.002933 , 0 , 0.00288 , 0 , 0 , 0 , 0.01458 , 0.008439 , 0.008842 , 0 , 0.020447 , 0 , 0 , 0.002899 , 0 , 0 , 0 , 0 , 0.002941 , 0 , 0.002933 , 0.002956 , 0.002998 , 0.011217 , 0.011533 , 0 , 0.014493 , 0.002914 , 0 , 0.002892 , 0.005916 
 314 , 0.024117 , 0.035831 , 0.035776 , 0.031872 , 0.028062 , 0.028017 , 0.031942 , 0.010581 , 0.024783 , 0.032604 , 0.032231 , 0.022289 , 0.01804 , 0.022603 , 0.014464 , 0.014356 , 0.010811 , 0.01109 , 0.01093 , 0.01093 , 0 , 0.011031 , 0.010993 , 0.022407 , 0.011052 , 0.014697 , 0.003824 , 0.026342 , 0.007609 , 0.003911 , 0.018852 , 0.030061 , 0 , 0.003942 , 0.018919 , 0.007748 , 0 , 0.00765 , 0.026688 , 0.011457 , 0.007902 , 0.011477 , 0.011303 , 0.011477 , 0.019135 , 0.011477 , 0.019498 , 0.011477 , 0.003974 , 0 , 0.015085 , 0 , 0 , 0 , 0.015434 , 0 , 0.01154 , 0.00389 , 0 , 0 , 0.004036 , 0.007916 , 0.004019 , 0.011366 , 0 , 0 , 0.003918 , 0 , 0.004092 , 0.003956 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004057 , 0.003911 , 0 , 0.008118 , 0.011816 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00823 , 0 , 0 , 0 , 0 , 0 , 0.008038 , 0.033149 , 0.007839 , 0 , 0.015859 , 0 , 0.004068 , 0.004012 , 0.004075 , 0.004075 , 0 , 0.00405 , 0 , 0 , 0 , 0.020241 , 0.011676 , 0.01243 , 0 , 0.028743 , 0 , 0 , 0.004057 , 0 , 0 , 0 , 0 , 0.004117 , 0 , 0.004075 , 0.004124 , 0.004183 , 0.015643 , 0.016079 , 0 , 0.020202 , 0.004068 , 0 , 0.004019 , 0.008247 
 315 , 0.024776 , 0.036398 , 0.035671 , 0.033384 , 0.029474 , 0.030621 , 0.034197 , 0.009637 , 0.024979 , 0.034817 , 0.035245 , 0.024084 , 0.019348 , 0.024084 , 0.015129 , 0.015409 , 0.010508 , 0.010733 , 0.010619 , 0.011146 , 0 , 0.011267 , 0.011244 , 0.024662 , 0.013573 , 0.014656 , 0.00351 , 0.025322 , 0.008707 , 0.005355 , 0.020358 , 0.033537 , 0.001718 , 0.003627 , 0.021355 , 0.00999 , 0.001175 , 0.007001 , 0.028642 , 0.012264 , 0.009631 , 0.011044 , 0.010924 , 0.011114 , 0.020453 , 0.013516 , 0.022111 , 0.012861 , 0.003627 , 0 , 0.015037 , 0 , 0 , 0.000588 , 0.01707 , 0 , 0.01114 , 0.003539 , 0 , 0 , 0.00371 , 0.007268 , 0.003666 , 0.011588 , 0 , 0 , 0.003586 , 0 , 0.003745 , 0.003634 , 0 , 0 , 0 , 0.001204 , 0.001188 , 0 , 0 , 0.003726 , 0.004171 , 0 , 0.007401 , 0.0133 , 0 , 0 , 0 , 0 , 0.001201 , 0 , 0 , 0.007522 , 0 , 0 , 0 , 0 , 0 , 0.007957 , 0.030433 , 0.007188 , 0 , 0.017143 , 0 , 0.003742 , 0.003666 , 0.00371 , 0.003726 , 0 , 0.00371 , 0 , 0 , 0 , 0.021536 , 0.012563 , 0.011969 , 0 , 0.028264 , 0 , 0 , 0.003716 , 0.001229 , 0 , 0 , 0 , 0.005006 , 0 , 0.003716 , 0.005651 , 0.005063 , 0.018061 , 0.017775 , 0 , 0.020869 , 0.003742 , 0.000623 , 0.004291 , 0.009472 
