SHB1_00005_SHB1_REF.spu,SHB1_00004_SHB1_REF.spu,SHB1_00003_SHB1_REF.spu,SHB1_00002_SHB1_REF.spu,
Wavelength,SHB1_00006_B1_NP.spu,SHB1_00007_B1_NP.spu,SHB1_00008_B1_NP.spu,SHB1_00009_B1_NP.spu,SHB1_00010_B1_NP.spu,SHB1_00011_B1_P.spu,SHB1_00012_B1_P.spu,SHB1_00013_B1_P.spu,SHB1_00014_B1_P.spu,SHB1_00015_B1_P.spu,SHB1_00016_B1_N.spu,SHB1_00017_B1_N.spu,SHB1_00018_B1_N.spu,SHB1_00019_B1_N.spu,SHB1_00020_B1_N.spu,SHB1_00021_B1_CT2.spu,SHB1_00022_B1_CT2.spu,SHB1_00023_B1_CT2.spu,SHB1_00024_B1_CT2.spu,SHB1_00025_B1_CT2.spu
  (nm),7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 
  time  ,:38:25 A,:39:05 A,:39:28 A,:40:20 A,:40:41 A,:41:37 A,:41:56 A,:42:14 A,:42:39 A,:42:58 A,:44:37 A,:45:15 A,:45:35 A,:45:52 A,:46:06 A,:46:57 A,:47:15 A,:47:29 A,:47:50 A,:48:06 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.003686 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0.005032 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0.007134 , 0 , 0 , 0.002453 , 0 , 0 , 0.001205 , 0 , 0.001209 , 0 , 0 , 0.00124 , 0 , 0.00355 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0.008982 , 0 , 0 , 0.004777 , 0 , 0 , 0.002368 , 0 , 0.002348 , 0 , 0 , 0.002448 , 0 , 0.006981 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0.010499 , 0 , 0 , 0.006679 , 0 , 0 , 0.00333 , 0 , 0.003274 , 0 , 0 , 0.003468 , 0 , 0.009853 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.009112 , 0 , 0 , 0.006127 , 0 , 0 , 0.00306 , 0 , 0.003006 , 0 , 0 , 0.003175 , 0 , 0.009061 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0.005396 , 0 , 0 , 0.003617 , 0 , 0 , 0.001801 , 0 , 0.001779 , 0 , 0 , 0.001853 , 0 , 0.005332 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0.002336 , 0 , 0 , 0.001562 , 0 , 0 , 0.000774 , 0 , 0.000771 , 0 , 0 , 0.000788 , 0 , 0.002294 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0.000158 , 0.000076 , 0 , 0.000079 , 0 , 0.000076 , 0.000234 , 0.000079 , 0.000155 , 0.000229 , 0 , 0.000308 , 0 , 0.000161 , 0.000161 , 0.000161 , 0 , 0.000079 , 0 , 0 
 319 , 0.001512 , 0.000733 , 0 , 0.000758 , 0 , 0.000747 , 0.002251 , 0.000767 , 0.001507 , 0.002245 , 0 , 0.002957 , 0 , 0.001543 , 0.001543 , 0.001548 , 0 , 0.000769 , 0 , 0 
