LMAT_00004.spu,LMAT_00003.spu,LMAT_00002.spu,
Wavelength,LMAT_00005.spu,LMAT_00006.spu,LMAT_00007.spu,LMAT_00008.spu,LMAT_00009.spu,LMAT_00010.spu,LMAT_00011.spu,LMAT_00012.spu,LMAT_00013.spu,LMAT_00014.spu,LMAT_00015.spu,LMAT_00016.spu,LMAT_00017.spu,LMAT_00018.spu,LMAT_00019.spu,LMAT_00020.spu,LMAT_00021.spu,LMAT_00022.spu,LMAT_00023.spu,LMAT_00024.spu,LMAT_00025.spu,LMAT_00026.spu,LMAT_00027.spu,LMAT_00028.spu,LMAT_00029.spu,LMAT_00030.spu,LMAT_00031.spu,LMAT_00032.spu,LMAT_00033.spu,LMAT_00034.spu,LMAT_00035.spu,LMAT_00036.spu,LMAT_00037.spu,LMAT_00038.spu,LMAT_00039.spu,LMAT_00040.spu,LMAT_00041.spu,LMAT_00042.spu,LMAT_00043.spu,LMAT_00044.spu,LMAT_00045.spu,LMAT_00046.spu,LMAT_00047.spu,LMAT_00048.spu,LMAT_00049.spu,LMAT_00050.spu,LMAT_00051.spu,LMAT_00052.spu,LMAT_00053.spu,LMAT_00054.spu,LMAT_00055.spu,LMAT_00056.spu,LMAT_00057.spu,LMAT_00058.spu,LMAT_00059.spu,LMAT_00060.spu,LMAT_00061.spu,LMAT_00062.spu,LMAT_00063.spu,LMAT_00064.spu,LMAT_00065.spu,LMAT_00066.spu,LMAT_00067.spu,LMAT_00068.spu,LMAT_00069.spu,LMAT_00070.spu,LMAT_00071.spu,LMAT_00072.spu,LMAT_00073.spu,LMAT_00074.spu,LMAT_00075.spu,LMAT_00076.spu,LMAT_00077.spu,LMAT_00078.spu,LMAT_00079.spu,LMAT_00080.spu,LMAT_00081.spu,LMAT_00082.spu,LMAT_00083.spu,LMAT_00084.spu,LMAT_00085.spu,LMAT_00086.spu,LMAT_00087.spu,LMAT_00088.spu,LMAT_00089.spu,LMAT_00090.spu,LMAT_00091.spu,LMAT_00092.spu,LMAT_00093.spu,LMAT_00094.spu,LMAT_00095.spu,LMAT_00096.spu,LMAT_00097.spu,LMAT_00098.spu,LMAT_00099.spu,LMAT_00100.spu,LMAT_00101.spu,LMAT_00102.spu,LMAT_00103.spu,LMAT_00104.spu,LMAT_00105.spu,LMAT_00106.spu,LMAT_00107.spu,LMAT_00108.spu,LMAT_00109.spu,LMAT_00110.spu,LMAT_00111.spu,LMAT_00112.spu,LMAT_00113.spu,LMAT_00114.spu,LMAT_00115.spu,LMAT_00116.spu,LMAT_00117.spu,LMAT_00118.spu,LMAT_00119.spu,LMAT_00120.spu,LMAT_00121.spu,LMAT_00122.spu,LMAT_00123.spu,LMAT_00124.spu,LMAT_00125.spu,LMAT_00126.spu,LMAT_00127.spu,LMAT_00128.spu,LMAT_00129.spu,LMAT_00130.spu,LMAT_00131.spu,LMAT_00132.spu,LMAT_00133.spu,LMAT_00134.spu,LMAT_00135.spu,LMAT_00136.spu,LMAT_00137.spu,LMAT_00138.spu,LMAT_00139.spu,LMAT_00140.spu,LMAT_00141.spu,LMAT_00142.spu,LMAT_00143.spu,LMAT_00144.spu,LMAT_00145.spu,LMAT_00146.spu,LMAT_00147.spu,LMAT_00148.spu,LMAT_00149.spu,LMAT_00150.spu,LMAT_00151.spu,LMAT_00152.spu,LMAT_00153.spu,LMAT_00154.spu,LMAT_00155.spu,LMAT_00156.spu,LMAT_00157.spu,LMAT_00158.spu,LMAT_00159.spu,LMAT_00160.spu,LMAT_00161.spu,LMAT_00162.spu,LMAT_00163.spu,LMAT_00164.spu
  (nm),7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 
  time  ,37:45 PM,37:52 PM,38:00 PM,38:07 PM,38:29 PM,39:04 PM,39:11 PM,39:18 PM,39:27 PM,39:36 PM,40:28 PM,40:36 PM,40:44 PM,40:54 PM,41:04 PM,41:27 PM,41:36 PM,41:44 PM,41:55 PM,42:03 PM,42:26 PM,42:34 PM,42:42 PM,42:49 PM,42:56 PM,43:19 PM,43:27 PM,43:35 PM,43:43 PM,43:50 PM,44:08 PM,44:15 PM,44:23 PM,44:30 PM,44:39 PM,45:02 PM,45:10 PM,45:16 PM,45:30 PM,45:37 PM,51:44 PM,52:33 PM,52:34 PM,53:09 PM,53:36 PM,54:10 PM,54:56 PM,55:22 PM,55:56 PM,56:17 PM,56:52 PM,57:06 PM,57:19 PM,57:33 PM,57:52 PM,58:36 PM,58:52 PM,59:11 PM,59:33 PM,59:45 PM,00:25 PM,00:43 PM,00:56 PM,01:11 PM,01:29 PM,02:02 PM,02:16 PM,02:25 PM,02:41 PM,03:01 PM,03:33 PM,03:47 PM,04:02 PM,04:15 PM,04:31 PM,05:04 PM,05:18 PM,05:37 PM,05:49 PM,06:06 PM,07:56 PM,08:07 PM,08:18 PM,08:31 PM,08:45 PM,09:31 PM,09:45 PM,10:10 PM,10:26 PM,10:39 PM,11:08 PM,11:21 PM,11:33 PM,11:47 PM,12:06 PM,12:27 PM,13:02 PM,13:16 PM,13:31 PM,13:44 PM,14:12 PM,14:28 PM,14:41 PM,14:57 PM,15:13 PM,15:40 PM,15:50 PM,16:03 PM,16:20 PM,16:35 PM,17:05 PM,17:15 PM,17:26 PM,17:39 PM,17:55 PM,18:27 PM,18:42 PM,18:50 PM,19:02 PM,19:15 PM,20:24 PM,20:35 PM,20:49 PM,20:56 PM,21:07 PM,21:27 PM,21:37 PM,21:45 PM,21:55 PM,22:03 PM,22:23 PM,22:33 PM,22:43 PM,22:53 PM,23:02 PM,23:25 PM,23:33 PM,23:41 PM,23:50 PM,23:59 PM,24:26 PM,24:33 PM,24:40 PM,24:47 PM,24:55 PM,25:19 PM,25:27 PM,25:34 PM,25:43 PM,25:53 PM,26:16 PM,26:24 PM,26:48 PM,26:58 PM,27:06 PM,27:28 PM,27:35 PM,27:43 PM,27:50 PM,27:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.019951 , 0 , 0.012378 , 0.003956 , 0.032859 , 0.022348 , 0.002036 , 0 , 0 , 0.004077 , 0.010063 , 0 , 0.002112 , 0 , 0.002079 , 0 , 0.002085 , 0.002052 , 0.006287 , 0.008307 , 0 , 0.014249 , 0 , 0 , 0.002074 , 0.002112 , 0 , 0 , 0 , 0 , 0.002205 , 0.002172 , 0.004553 , 0 , 0.002096 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0.026726 , 0 , 0.00684 , 0.005387 , 0.029279 , 0.022505 , 0.00023 , 0 , 0 , 0.00551 , 0.006027 , 0 , 0.00024 , 0 , 0.00024 , 0 , 0.00024 , 0.000235 , 0.005878 , 0.01127 , 0 , 0.016765 , 0 , 0 , 0.00024 , 0.00024 , 0 , 0 , 0 , 0 , 0.000251 , 0.000251 , 0.006134 , 0 , 0.00024 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0.022767 , 0 , 0.009268 , 0.003767 , 0.019644 , 0.019308 , 0 , 0 , 0 , 0.003909 , 0.005075 , 0 , 0 , 0 , 0 , 0 , 0.002663 , 0 , 0.003999 , 0.009329 , 0 , 0.011689 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001331 , 0 , 0 , 0.004326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0.018075 , 0 , 0.012328 , 0.002049 , 0.010772 , 0.016175 , 0 , 0 , 0 , 0.00216 , 0.004645 , 0 , 0 , 0 , 0 , 0 , 0.00521 , 0 , 0.002208 , 0.007065 , 0 , 0.006435 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002622 , 0 , 0 , 0.002376 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0.014162 , 0 , 0.014902 , 0.000636 , 0.003379 , 0.013567 , 0 , 0 , 0 , 0.000682 , 0.004288 , 0 , 0 , 0 , 0 , 0 , 0.0073 , 0 , 0.000694 , 0.005172 , 0 , 0.002024 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00371 , 0 , 0 , 0.000748 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.012675 , 0 , 0.015158 , 0.00053 , 0.002178 , 0.012167 , 0.001588 , 0 , 0 , 0.000564 , 0.005997 , 0 , 0.000572 , 0 , 0 , 0.000549 , 0.0088 , 0 , 0.00225 , 0.005169 , 0.001622 , 0.001117 , 0.000542 , 0.000561 , 0 , 0.001099 , 0 , 0 , 0 , 0.0045 , 0.000591 , 0 , 0.000617 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
