HST_00004.spu,HST_00003.spu,HST_00002.spu,
Wavelength,SHB1_00002.spu,SHB1_00003.spu,SHB1_00004.spu,SHB1_00005.spu,SHB1_00006.spu,SHB1_00007.spu,SHB1_00008.spu,SHB1_00009.spu,SHB1_00010.spu,SHB1_00011.spu,SHB1_00012.spu,SHB1_00013.spu,SHB1_00014.spu,SHB1_00015.spu,SHB1_00016.spu,SHB1_00017.spu,SHB1_00018.spu,SHB1_00019.spu,SHB1_00020.spu,SHB1_00021.spu
  (nm),7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 
  time  ,33:25 PM,34:00 PM,34:29 PM,34:45 PM,35:01 PM,35:56 PM,36:17 PM,36:30 PM,36:45 PM,37:04 PM,38:17 PM,38:35 PM,38:46 PM,39:02 PM,39:18 PM,40:10 PM,40:26 PM,40:45 PM,41:15 PM,41:42 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.014502 , 0.025909 , 0.008671 , 0.004216 , 0.025313 , 0.0169 , 0.033498 , 0.025567 , 0.017273 , 0.012446 , 0 , 0.012247 , 0.013151 , 0.008661 , 0 , 0.004256 , 0.004336 , 0.012843 , 0.00435 , 0.008736 
 311 , 0.017612 , 0.036435 , 0.012339 , 0.005793 , 0.029984 , 0.023762 , 0.046918 , 0.035953 , 0.024101 , 0.01723 , 0 , 0.017211 , 0.018656 , 0.012038 , 0 , 0.00594 , 0.006093 , 0.017922 , 0.006093 , 0.012043 
 312 , 0.025465 , 0.037475 , 0.027087 , 0.010706 , 0.036886 , 0.027694 , 0.050227 , 0.040106 , 0.033719 , 0.027144 , 0.011138 , 0.018855 , 0.027388 , 0.013947 , 0.01143 , 0.015182 , 0.014087 , 0.02553 , 0.015518 , 0.016752 
 313 , 0.03227 , 0.037046 , 0.040093 , 0.015037 , 0.04249 , 0.030413 , 0.051492 , 0.042518 , 0.041627 , 0.03574 , 0.021243 , 0.019721 , 0.034394 , 0.015264 , 0.021782 , 0.023491 , 0.021167 , 0.031994 , 0.023911 , 0.020704 
 314 , 0.037534 , 0.036483 , 0.050192 , 0.018444 , 0.046644 , 0.03243 , 0.052216 , 0.044178 , 0.047698 , 0.042531 , 0.02908 , 0.020331 , 0.039539 , 0.016241 , 0.029791 , 0.030031 , 0.026677 , 0.037125 , 0.030443 , 0.023803 
 315 , 0.035991 , 0.033062 , 0.047483 , 0.016735 , 0.040632 , 0.029313 , 0.045016 , 0.038642 , 0.043874 , 0.040124 , 0.027513 , 0.016655 , 0.036011 , 0.015653 , 0.028582 , 0.029306 , 0.023456 , 0.034031 , 0.027406 , 0.020912 
 316 , 0.029247 , 0.027514 , 0.035069 , 0.011095 , 0.027168 , 0.022262 , 0.031663 , 0.027621 , 0.032716 , 0.030705 , 0.018713 , 0.009747 , 0.025993 , 0.013887 , 0.02041 , 0.023046 , 0.013705 , 0.024782 , 0.017197 , 0.013499 
 317 , 0.023851 , 0.02308 , 0.025173 , 0.006548 , 0.016537 , 0.016566 , 0.020748 , 0.018706 , 0.023897 , 0.023198 , 0.011586 , 0.004177 , 0.017969 , 0.012476 , 0.013893 , 0.018075 , 0.005976 , 0.017481 , 0.009103 , 0.007592 
 318 , 0.019857 , 0.020289 , 0.018394 , 0.003837 , 0.009329 , 0.012681 , 0.012927 , 0.012743 , 0.017888 , 0.017907 , 0.006809 , 0.000666 , 0.012411 , 0.011615 , 0.00936 , 0.014643 , 0.000851 , 0.012652 , 0.003832 , 0.003675 
 319 , 0.019943 , 0.024719 , 0.02318 , 0.009898 , 0.014459 , 0.016184 , 0.017265 , 0.019296 , 0.021824 , 0.020255 , 0.01199 , 0.006519 , 0.016065 , 0.013208 , 0.011911 , 0.016641 , 0.005867 , 0.017162 , 0.009821 , 0.007695 
 320 , 0.020068 , 0.028363 , 0.02711 , 0.014716 , 0.018578 , 0.018825 , 0.020678 , 0.024457 , 0.025064 , 0.022148 , 0.016106 , 0.011204 , 0.018943 , 0.014494 , 0.013941 , 0.018295 , 0.009976 , 0.020744 , 0.014506 , 0.010941 
 321 , 0.020224 , 0.031444 , 0.030426 , 0.018638 , 0.021969 , 0.020854 , 0.023427 , 0.028617 , 0.027802 , 0.023719 , 0.019458 , 0.015049 , 0.021261 , 0.01556 , 0.015594 , 0.019706 , 0.013435 , 0.023662 , 0.018259 , 0.013632 
 322 , 0.018766 , 0.028546 , 0.030111 , 0.017965 , 0.021693 , 0.020808 , 0.022746 , 0.027637 , 0.026801 , 0.024402 , 0.018882 , 0.015418 , 0.021629 , 0.014468 , 0.016908 , 0.019858 , 0.013919 , 0.023005 , 0.017241 , 0.013847 
 323 , 0.017116 , 0.024463 , 0.028873 , 0.01613 , 0.020466 , 0.020237 , 0.021244 , 0.025406 , 0.024943 , 0.024783 , 0.017327 , 0.014778 , 0.021451 , 0.012957 , 0.017942 , 0.019666 , 0.01351 , 0.021483 , 0.015062 , 0.013351 
 324 , 0.015821 , 0.021231 , 0.027937 , 0.014687 , 0.019533 , 0.019849 , 0.020076 , 0.02367 , 0.0235 , 0.025166 , 0.016111 , 0.014295 , 0.021393 , 0.011767 , 0.018805 , 0.019557 , 0.013217 , 0.020299 , 0.013331 , 0.012975 
 325 , 0.01418 , 0.018374 , 0.025039 , 0.012541 , 0.017516 , 0.018822 , 0.017985 , 0.021639 , 0.020804 , 0.023323 , 0.013636 , 0.012798 , 0.02 , 0.010142 , 0.017551 , 0.01788 , 0.011639 , 0.018341 , 0.010968 , 0.011318 
 326 , 0.011801 , 0.015707 , 0.01906 , 0.009152 , 0.013697 , 0.016757 , 0.014341 , 0.018963 , 0.016048 , 0.018077 , 0.009063 , 0.009686 , 0.016594 , 0.007709 , 0.013083 , 0.013823 , 0.008126 , 0.015038 , 0.007437 , 0.007647 
 327 , 0.00985 , 0.013554 , 0.014256 , 0.006403 , 0.010588 , 0.015088 , 0.011397 , 0.016801 , 0.012225 , 0.013825 , 0.005335 , 0.007175 , 0.013877 , 0.005737 , 0.009413 , 0.010573 , 0.005347 , 0.012364 , 0.004557 , 0.00467 
 328 , 0.008213 , 0.011779 , 0.010318 , 0.004128 , 0.008003 , 0.013714 , 0.008972 , 0.015018 , 0.009088 , 0.010305 , 0.00223 , 0.005106 , 0.011668 , 0.004104 , 0.006329 , 0.00792 , 0.003105 , 0.010151 , 0.002159 , 0.002205 
 329 , 0.010819 , 0.013673 , 0.013565 , 0.00578 , 0.010277 , 0.014877 , 0.013309 , 0.017649 , 0.011557 , 0.013395 , 0.005317 , 0.007687 , 0.014103 , 0.007031 , 0.009849 , 0.009816 , 0.005569 , 0.012676 , 0.005707 , 0.005301 
 330 , 0.013135 , 0.015438 , 0.01659 , 0.007341 , 0.012366 , 0.015952 , 0.017294 , 0.020038 , 0.013848 , 0.016188 , 0.008177 , 0.010044 , 0.016398 , 0.009701 , 0.013029 , 0.011636 , 0.007842 , 0.015023 , 0.008935 , 0.008125 
 331 , 0.015073 , 0.016981 , 0.019208 , 0.008703 , 0.014146 , 0.016874 , 0.020769 , 0.022088 , 0.015814 , 0.018527 , 0.010649 , 0.012069 , 0.018437 , 0.012011 , 0.015716 , 0.013252 , 0.00981 , 0.017072 , 0.011709 , 0.010552 
 332 , 0.015149 , 0.016512 , 0.019451 , 0.00895 , 0.014304 , 0.016778 , 0.021428 , 0.021744 , 0.016185 , 0.018793 , 0.010879 , 0.012722 , 0.018676 , 0.012259 , 0.015559 , 0.013418 , 0.00987 , 0.017368 , 0.011845 , 0.011004 
 333 , 0.014149 , 0.014873 , 0.018299 , 0.008533 , 0.013498 , 0.016093 , 0.020398 , 0.020029 , 0.015605 , 0.017845 , 0.009783 , 0.012543 , 0.017837 , 0.011286 , 0.013758 , 0.012717 , 0.008812 , 0.01662 , 0.010443 , 0.010285 
 334 , 0.01328 , 0.013436 , 0.017298 , 0.00817 , 0.012795 , 0.015497 , 0.019503 , 0.01854 , 0.015104 , 0.017022 , 0.008826 , 0.012393 , 0.017108 , 0.010437 , 0.012184 , 0.012107 , 0.007891 , 0.01597 , 0.009226 , 0.00966 
 335 , 0.012867 , 0.01268 , 0.016475 , 0.007967 , 0.012434 , 0.015189 , 0.019107 , 0.017551 , 0.014918 , 0.016577 , 0.008316 , 0.012318 , 0.016602 , 0.009903 , 0.011258 , 0.011688 , 0.007426 , 0.015548 , 0.008414 , 0.009291 
 336 , 0.013802 , 0.013934 , 0.015954 , 0.008219 , 0.013094 , 0.015718 , 0.020197 , 0.017845 , 0.015703 , 0.017231 , 0.009108 , 0.012447 , 0.016648 , 0.010229 , 0.012165 , 0.011744 , 0.008302 , 0.015719 , 0.008645 , 0.009631 
 337 , 0.014629 , 0.015017 , 0.015502 , 0.008437 , 0.013679 , 0.016175 , 0.021172 , 0.018112 , 0.016389 , 0.017805 , 0.009805 , 0.012563 , 0.016696 , 0.010521 , 0.012965 , 0.0118 , 0.009092 , 0.015882 , 0.008848 , 0.00993 
 338 , 0.015366 , 0.015963 , 0.015107 , 0.008627 , 0.014202 , 0.016574 , 0.022054 , 0.018356 , 0.016996 , 0.018314 , 0.010425 , 0.012668 , 0.016747 , 0.010783 , 0.013677 , 0.011854 , 0.009813 , 0.016038 , 0.009029 , 0.010194 
 339 , 0.016072 , 0.016338 , 0.016248 , 0.009207 , 0.014932 , 0.016854 , 0.02276 , 0.018881 , 0.018068 , 0.018995 , 0.011351 , 0.013393 , 0.017607 , 0.011728 , 0.014782 , 0.012727 , 0.01022 , 0.016977 , 0.009866 , 0.010537 
 340 , 0.016715 , 0.016588 , 0.017563 , 0.009801 , 0.015618 , 0.017097 , 0.023378 , 0.01942 , 0.019131 , 0.019657 , 0.012237 , 0.014159 , 0.018528 , 0.012698 , 0.015875 , 0.013661 , 0.010539 , 0.017965 , 0.010755 , 0.010867 
 341 , 0.017302 , 0.016823 , 0.018759 , 0.010334 , 0.016218 , 0.01733 , 0.023939 , 0.019921 , 0.020094 , 0.020269 , 0.013024 , 0.014847 , 0.019355 , 0.013559 , 0.016879 , 0.014499 , 0.010827 , 0.01885 , 0.01157 , 0.011169 
 342 , 0.017016 , 0.01654 , 0.018663 , 0.01023 , 0.016059 , 0.017178 , 0.023818 , 0.019745 , 0.019824 , 0.01996 , 0.013082 , 0.014877 , 0.019246 , 0.013534 , 0.016646 , 0.014373 , 0.010805 , 0.018741 , 0.011806 , 0.011148 
 343 , 0.015858 , 0.015734 , 0.017263 , 0.009483 , 0.015152 , 0.016625 , 0.023003 , 0.018878 , 0.018312 , 0.018726 , 0.012407 , 0.01424 , 0.018187 , 0.012627 , 0.015181 , 0.013279 , 0.010467 , 0.01763 , 0.011439 , 0.010797 
 344 , 0.014843 , 0.015019 , 0.016041 , 0.008827 , 0.014352 , 0.016131 , 0.022271 , 0.018105 , 0.016989 , 0.017642 , 0.01181 , 0.013672 , 0.017252 , 0.011833 , 0.013915 , 0.012323 , 0.01016 , 0.016651 , 0.011108 , 0.010478 
 345 , 0.014052 , 0.01453 , 0.015156 , 0.00838 , 0.013745 , 0.015773 , 0.0217 , 0.017523 , 0.015972 , 0.016837 , 0.011375 , 0.013266 , 0.016559 , 0.011282 , 0.012985 , 0.011642 , 0.009969 , 0.015907 , 0.010887 , 0.010277 
 346 , 0.014607 , 0.015885 , 0.016639 , 0.009609 , 0.014423 , 0.016541 , 0.022267 , 0.018315 , 0.016868 , 0.017929 , 0.012161 , 0.01415 , 0.017665 , 0.012582 , 0.014206 , 0.013026 , 0.010879 , 0.016753 , 0.011658 , 0.011167 
 347 , 0.015077 , 0.017061 , 0.018003 , 0.010664 , 0.015019 , 0.017187 , 0.022751 , 0.019004 , 0.017648 , 0.018903 , 0.01283 , 0.014921 , 0.018606 , 0.013733 , 0.015286 , 0.014219 , 0.011682 , 0.017476 , 0.012326 , 0.011954 
 348 , 0.015477 , 0.018088 , 0.019265 , 0.011576 , 0.015549 , 0.017732 , 0.023167 , 0.019606 , 0.018331 , 0.019779 , 0.013405 , 0.015598 , 0.01941 , 0.014758 , 0.016247 , 0.015253 , 0.012397 , 0.018099 , 0.012907 , 0.012654 
 349 , 0.015522 , 0.0177 , 0.019281 , 0.011481 , 0.015517 , 0.017821 , 0.023059 , 0.019599 , 0.018414 , 0.01988 , 0.013533 , 0.015509 , 0.019311 , 0.01465 , 0.016386 , 0.015196 , 0.012213 , 0.018101 , 0.012733 , 0.012524 
 350 , 0.015447 , 0.01683 , 0.018836 , 0.011033 , 0.015287 , 0.017753 , 0.022773 , 0.019379 , 0.018281 , 0.019698 , 0.0135 , 0.015154 , 0.018899 , 0.014141 , 0.016224 , 0.014755 , 0.011719 , 0.017887 , 0.012301 , 0.012104 
 351 , 0.015393 , 0.016052 , 0.018435 , 0.010631 , 0.015084 , 0.017704 , 0.022521 , 0.019188 , 0.018168 , 0.019538 , 0.013479 , 0.014838 , 0.018535 , 0.013687 , 0.016086 , 0.014362 , 0.011277 , 0.017702 , 0.011916 , 0.011729 
 352 , 0.015252 , 0.015531 , 0.01794 , 0.010297 , 0.014787 , 0.017562 , 0.022157 , 0.018967 , 0.01787 , 0.019225 , 0.013256 , 0.01452 , 0.018093 , 0.013298 , 0.015832 , 0.013954 , 0.010836 , 0.017377 , 0.011553 , 0.011288 
 353 , 0.01492 , 0.015422 , 0.017214 , 0.010053 , 0.014277 , 0.01722 , 0.021544 , 0.01866 , 0.017195 , 0.018591 , 0.012627 , 0.014158 , 0.017459 , 0.012981 , 0.015326 , 0.013469 , 0.010337 , 0.016752 , 0.011185 , 0.01067 
 354 , 0.014611 , 0.01532 , 0.016537 , 0.009825 , 0.013802 , 0.016901 , 0.020974 , 0.018373 , 0.016569 , 0.018002 , 0.012047 , 0.01382 , 0.016873 , 0.012686 , 0.014856 , 0.013018 , 0.009871 , 0.016172 , 0.010842 , 0.010097 
 355 , 0.014322 , 0.015222 , 0.015906 , 0.009612 , 0.01336 , 0.016603 , 0.020443 , 0.018104 , 0.015988 , 0.017454 , 0.01151 , 0.013505 , 0.016331 , 0.012409 , 0.014418 , 0.012599 , 0.009436 , 0.015631 , 0.010523 , 0.009565 
 356 , 0.014497 , 0.015574 , 0.016474 , 0.009838 , 0.013691 , 0.016624 , 0.020705 , 0.018346 , 0.016472 , 0.017814 , 0.011872 , 0.013901 , 0.016828 , 0.012594 , 0.014817 , 0.012925 , 0.009796 , 0.01616 , 0.010813 , 0.009948 
 357 , 0.014677 , 0.015926 , 0.017065 , 0.010068 , 0.014039 , 0.016655 , 0.020985 , 0.018591 , 0.016976 , 0.018192 , 0.012256 , 0.014303 , 0.017345 , 0.012787 , 0.01523 , 0.01326 , 0.010168 , 0.016702 , 0.011112 , 0.01035 
 358 , 0.014841 , 0.016255 , 0.017619 , 0.010283 , 0.014365 , 0.01668 , 0.021243 , 0.018814 , 0.017447 , 0.018542 , 0.012619 , 0.014677 , 0.01783 , 0.012964 , 0.015614 , 0.013569 , 0.010513 , 0.017205 , 0.011391 , 0.010726 
 359 , 0.014925 , 0.016228 , 0.017693 , 0.01034 , 0.014444 , 0.016569 , 0.021332 , 0.018737 , 0.017541 , 0.018613 , 0.012632 , 0.014713 , 0.017951 , 0.012993 , 0.015577 , 0.013611 , 0.010547 , 0.017257 , 0.011434 , 0.010815 
 360 , 0.014954 , 0.015957 , 0.017434 , 0.010288 , 0.014349 , 0.016368 , 0.021302 , 0.018457 , 0.017375 , 0.018491 , 0.012404 , 0.014517 , 0.017818 , 0.01292 , 0.015253 , 0.013471 , 0.010369 , 0.016997 , 0.011316 , 0.010705 
 361 , 0.014981 , 0.015702 , 0.01719 , 0.01024 , 0.014259 , 0.016177 , 0.021271 , 0.018191 , 0.017217 , 0.018374 , 0.012188 , 0.014332 , 0.017692 , 0.01285 , 0.014949 , 0.013338 , 0.010199 , 0.01675 , 0.011204 , 0.0106 
 362 , 0.014964 , 0.015501 , 0.016937 , 0.010144 , 0.014154 , 0.016033 , 0.021252 , 0.017965 , 0.01705 , 0.01826 , 0.011998 , 0.014188 , 0.017593 , 0.012746 , 0.014674 , 0.01319 , 0.010049 , 0.016521 , 0.011073 , 0.010488 
 363 , 0.01478 , 0.015477 , 0.016616 , 0.009861 , 0.013978 , 0.016038 , 0.021284 , 0.017847 , 0.016824 , 0.018135 , 0.011876 , 0.014178 , 0.017583 , 0.012502 , 0.014463 , 0.012965 , 0.009953 , 0.016318 , 0.010858 , 0.010327 
 364 , 0.014609 , 0.015457 , 0.016314 , 0.009597 , 0.013814 , 0.016042 , 0.021317 , 0.017735 , 0.016613 , 0.018018 , 0.011762 , 0.014168 , 0.017575 , 0.012274 , 0.014266 , 0.012754 , 0.009863 , 0.016127 , 0.010657 , 0.010178 
 365 , 0.014448 , 0.015439 , 0.016031 , 0.00935 , 0.01366 , 0.016044 , 0.021349 , 0.017629 , 0.016416 , 0.017908 , 0.011655 , 0.014159 , 0.017567 , 0.012062 , 0.014081 , 0.012557 , 0.009779 , 0.015948 , 0.010468 , 0.010038 
 366 , 0.014711 , 0.015583 , 0.016317 , 0.009606 , 0.013909 , 0.016226 , 0.021776 , 0.017781 , 0.016628 , 0.018216 , 0.011909 , 0.014449 , 0.017835 , 0.012367 , 0.014452 , 0.012773 , 0.009985 , 0.016185 , 0.010696 , 0.010277 
 367 , 0.015059 , 0.015759 , 0.016716 , 0.009966 , 0.01424 , 0.016444 , 0.022283 , 0.017988 , 0.016923 , 0.01861 , 0.012238 , 0.0148 , 0.01816 , 0.012778 , 0.01494 , 0.013073 , 0.010247 , 0.016507 , 0.01101 , 0.010596 
