MAT_00004.spu,MAT_00003.spu,
Wavelength,WSG1_00000.spu,WSG1_00001.spu,WSG1_00002.spu,WSG1_00003.spu,WSG1_00004.spu,WSG1_00005.spu,WSG1_00006.spu,WSG1_00007.spu,WSG1_00008.spu,WSG1_00009.spu,WSG1_00010.spu,WSG1_00011.spu,WSG1_00012.spu,WSG1_00013.spu,WSG1_00014.spu,WSG1_00015.spu,WSG1_00016.spu,WSG1_00017.spu,WSG1_00018.spu,WSG1_00019.spu,WSG1_00020.spu,WSG1_00021.spu,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu
  (nm),7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 
  time  ,:11:01 A,:11:18 A,:11:33 A,:11:40 A,:11:48 A,:12:10 A,:12:18 A,:12:26 A,:12:33 A,:12:40 A,:13:06 A,:13:14 A,:13:21 A,:13:28 A,:13:37 A,:14:15 A,:14:22 A,:14:31 A,:14:38 A,:14:46 A,:15:17 A,:15:26 A,:16:03 A,:16:14 A,:16:23 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
