MAT_00004.spu,MAT_00003.spu,
Wavelength,LMAT_00000.spu,LMAT_00001.spu,LMAT_00002.spu,LMAT_00003.spu,LMAT_00004.spu,LMAT_00005.spu,LMAT_00006.spu,LMAT_00007.spu,LMAT_00008.spu,LMAT_00009.spu,LMAT_00010.spu,LMAT_00011.spu,LMAT_00012.spu,LMAT_00013.spu,LMAT_00014.spu,LMAT_00015.spu,LMAT_00016.spu,LMAT_00017.spu,LMAT_00018.spu,LMAT_00019.spu,LMAT_00020.spu,LMAT_00021.spu,LMAT_00022.spu,LMAT_00023.spu,LMAT_00024.spu,LMAT_00025.spu,LMAT_00026.spu,LMAT_00027.spu,LMAT_00028.spu,LMAT_00029.spu,LMAT_00030.spu,LMAT_00031.spu,LMAT_00032.spu,LMAT_00033.spu,LMAT_00034.spu,LMAT_00035.spu,LMAT_00036.spu,LMAT_00037.spu,LMAT_00038.spu,LMAT_00039.spu,LMAT_00040.spu,LMAT_00041.spu,LMAT_00042.spu,LMAT_00043.spu,LMAT_00044.spu,LMAT_00045.spu,LMAT_00046.spu,LMAT_00047.spu,LMAT_00048.spu,LMAT_00049.spu,LMAT_00050.spu,LMAT_00051.spu,LMAT_00052.spu,LMAT_00053.spu,LMAT_00054.spu,LMAT_00055.spu,LMAT_00056.spu,LMAT_00057.spu,LMAT_00058.spu,LMAT_00059.spu,LMAT_00060.spu,LMAT_00061.spu,LMAT_00062.spu,LMAT_00063.spu,LMAT_00064.spu,LMAT_00065.spu,LMAT_00066.spu,LMAT_00067.spu,LMAT_00068.spu,LMAT_00069.spu,LMAT_00070.spu,LMAT_00071.spu,LMAT_00072.spu,LMAT_00073.spu,LMAT_00074.spu,LMAT_00075.spu,LMAT_00076.spu,LMAT_00077.spu,LMAT_00078.spu,LMAT_00079.spu,LMAT_00080.spu,LMAT_00081.spu,LMAT_00082.spu,LMAT_00083.spu,LMAT_00084.spu,LMAT_00085.spu,LMAT_00086.spu,LMAT_00087.spu,LMAT_00088.spu,LMAT_00089.spu,LMAT_00090.spu,LMAT_00091.spu,LMAT_00092.spu,LMAT_00093.spu,LMAT_00094.spu,LMAT_00095.spu,LMAT_00096.spu,LMAT_00097.spu,LMAT_00098.spu,LMAT_00099.spu,LMAT_00100.spu,LMAT_00101.spu,LMAT_00102.spu,LMAT_00103.spu,LMAT_00104.spu,LMAT_00105.spu,LMAT_00106.spu,LMAT_00107.spu,LMAT_00108.spu,LMAT_00109.spu,LMAT_00110.spu,LMAT_00111.spu,LMAT_00112.spu,LMAT_00113.spu,LMAT_00114.spu,LMAT_00115.spu,LMAT_00116.spu,LMAT_00117.spu,LMAT_00118.spu,LMAT_00119.spu,LMAT_00120.spu,LMAT_00121.spu,LMAT_00122.spu,LMAT_00123.spu,LMAT_00124.spu,LMAT_00125.spu,LMAT_00126.spu,LMAT_00127.spu,LMAT_00128.spu,LMAT_00129.spu,LMAT_00130.spu,LMAT_00131.spu,LMAT_00132.spu,LMAT_00133.spu,LMAT_00134.spu,LMAT_00135.spu,LMAT_00136.spu,LMAT_00137.spu,LMAT_00138.spu,LMAT_00139.spu,LMAT_00140.spu,LMAT_00141.spu,LMAT_00142.spu,LMAT_00143.spu,LMAT_00144.spu,LMAT_00145.spu,LMAT_00146.spu,LMAT_00147.spu,LMAT_00148.spu,LMAT_00149.spu,LMAT_00150.spu,LMAT_00151.spu,LMAT_00152.spu,LMAT_00153.spu,LMAT_00154.spu,LMAT_00155.spu,LMAT_00156.spu,LMAT_00157.spu,LMAT_00158.spu,LMAT_00159.spu
  (nm),7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 ,7/31/2017 
  time  ,:10:30 A,:10:38 A,:10:46 A,:10:55 A,:11:06 A,:11:31 A,:11:39 A,:11:47 A,:11:56 A,:12:04 A,:12:23 A,:12:30 A,:12:39 A,:12:47 A,:12:57 A,:13:26 A,:13:34 A,:13:42 A,:13:51 A,:14:04 A,:14:41 A,:15:01 A,:15:10 A,:15:17 A,:15:27 A,:15:36 A,:15:57 A,:16:05 A,:16:14 A,:16:24 A,:16:31 A,:16:54 A,:17:13 A,:17:57 A,:18:06 A,:18:17 A,:18:41 A,:18:52 A,:19:14 A,:19:22 A,:19:31 A,:20:24 A,:20:45 A,:20:54 A,:21:05 A,:21:16 A,:21:39 A,:21:56 A,:22:06 A,:22:14 A,:22:24 A,:22:52 A,:23:00 A,:23:11 A,:23:20 A,:23:32 A,:23:59 A,:24:10 A,:24:18 A,:24:27 A,:24:35 A,:24:44 A,:25:05 A,:25:14 A,:25:23 A,:25:33 A,:25:44 A,:26:07 A,:26:21 A,:26:29 A,:26:40 A,:26:49 A,:27:28 A,:27:38 A,:27:48 A,:27:57 A,:28:07 A,:28:32 A,:28:40 A,:28:50 A,:28:58 A,:29:07 A,:30:42 A,:30:59 A,:31:14 A,:31:27 A,:31:37 A,:31:56 A,:32:07 A,:32:19 A,:32:29 A,:32:57 A,:33:06 A,:33:17 A,:33:26 A,:33:37 A,:34:04 A,:34:12 A,:34:21 A,:34:35 A,:34:46 A,:35:08 A,:35:18 A,:35:29 A,:35:39 A,:35:47 A,:36:10 A,:36:27 A,:36:36 A,:36:46 A,:37:03 A,:37:25 A,:37:33 A,:37:40 A,:37:51 A,:38:04 A,:38:24 A,:38:33 A,:38:45 A,:38:53 A,:39:03 A,:44:53 A,:45:08 A,:45:15 A,:45:23 A,:45:30 A,:45:47 A,:45:54 A,:46:03 A,:46:12 A,:46:21 A,:46:48 A,:47:02 A,:47:11 A,:47:23 A,:47:31 A,:48:17 A,:48:26 A,:48:34 A,:48:42 A,:48:50 A,:49:10 A,:49:17 A,:49:24 A,:49:40 A,:49:59 A,:50:22 A,:50:30 A,:50:40 A,:50:49 A,:50:59 A,:51:25 A,:51:41 A,:51:50 A,:51:59 A,:52:08 A,:53:13 A,:53:20 A,:53:28 A,:53:35 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.084583 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004777 , 0 , 0 , 0 , 0 , 0.017017 , 0.002117 , 0 , 0 , 0 , 0 , 0.004093 , 0.003834 , 0.007509 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.019095 , 0 , 0 , 0.002292 , 0 , 0 , 0.020862 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.081643 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006637 , 0 , 0 , 0 , 0 , 0.016195 , 0.000248 , 0 , 0 , 0 , 0 , 0.005573 , 0.000443 , 0.010357 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.025915 , 0 , 0 , 0.00027 , 0 , 0 , 0.018042 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.075945 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007486 , 0 , 0.007466 , 0 , 0 , 0 , 0.0047 , 0 , 0 , 0 , 0 , 0.015991 , 0 , 0.005548 , 0 , 0 , 0.004097 , 0.008003 , 0 , 0.007386 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.018587 , 0 , 0 , 0.001511 , 0.003148 , 0 , 0.014877 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.070675 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.014762 , 0 , 0.014884 , 0 , 0 , 0 , 0.002581 , 0 , 0 , 0 , 0 , 0.01588 , 0 , 0.011064 , 0 , 0 , 0.008015 , 0.010189 , 0 , 0.004092 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.010362 , 0 , 0 , 0.002979 , 0.006158 , 0 , 0.012135 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.066178 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.020843 , 0 , 0.021228 , 0 , 0 , 0 , 0.000811 , 0 , 0 , 0 , 0 , 0.015763 , 0 , 0.01579 , 0 , 0 , 0.011228 , 0.012016 , 0 , 0.001293 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0033 , 0 , 0 , 0.004207 , 0.008633 , 0 , 0.009812 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.061293 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000592 , 0 , 0 , 0 , 0.00064 , 0.018995 , 0 , 0.02034 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000608 , 0.015443 , 0.002907 , 0.014469 , 0.00124 , 0.000588 , 0.011509 , 0.011046 , 0.004905 , 0.00054 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00085 , 0 , 0 , 0 , 0 , 0.002074 , 0 , 0 , 0 , 0.002078 , 0.001317 , 0.001844 , 0.003854 , 0.007913 , 0.000636 , 0.008287 , 0 , 0 , 0.001659 , 0.00054 , 0 , 0 , 0.002617 , 0.001421 
