REF_00005.spu,REF_00004.spu,REF_00003.spu,REF_00002.spu,REF_00001.spu,
Wavelength,HST_00006.spu,HST_00007.spu,HST_00008.spu,HST_00009.spu,HST_00010.spu,HST_00011.spu,HST_00012.spu,HST_00013.spu,HST_00014.spu,HST_00015.spu,HST_00016.spu,HST_00017.spu,HST_00018.spu,HST_00019.spu,HST_00020.spu,HST_00021.spu,HST_00022.spu,HST_00023.spu,HST_00024.spu,HST_00025.spu,HST_00026.spu,HST_00027.spu,HST_00028.spu,HST_00029.spu,HST_00030.spu,HST_00031.spu,HST_00032.spu,HST_00033.spu,HST_00034.spu,HST_00035.spu,HST_00036.spu,HST_00037.spu,HST_00038.spu,HST_00039.spu,HST_00040.spu,HST_00041.spu,HST_00042.spu,HST_00043.spu,HST_00044.spu,HST_00045.spu
  (nm),8/4/2017 4,8/4/2017 4,8/4/2017 4,8/4/2017 4,8/4/2017 4,8/4/2017 4,8/4/2017 4,8/4/2017 4,8/4/2017 4,8/4/2017 4,8/4/2017 4,8/4/2017 4,8/4/2017 4,8/4/2017 4,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5,8/4/2017 5
  time  ,7:18 PM",7:26 PM",7:35 PM",7:44 PM",8:00 PM",8:10 PM",8:16 PM",8:25 PM",8:32 PM",9:20 PM",9:30 PM",9:39 PM",9:47 PM",9:57 PM",0:13 PM",0:31 PM",0:39 PM",0:48 PM",0:55 PM",1:03 PM",1:31 PM",1:39 PM",1:47 PM",1:56 PM",2:13 PM",2:33 PM",2:44 PM",2:54 PM",3:03 PM",3:11 PM",3:59 PM",4:09 PM",4:21 PM",4:32 PM",4:41 PM",5:10 PM",5:16 PM",5:37 PM",5:46 PM",5:54 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000503 , 0 , 0 , 0 , 0 , 0.000558 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
