
Wavelength,LMAT_00005_B1_F2.spu,LMAT_00006_B1_F2.spu,LMAT_00007_B1_F2.spu,LMAT_00008_B1_F2.spu,LMAT_00009_B1_F2.spu,LMAT_00010_B1 _H.spu,LMAT_00011_B1 _H.spu,LMAT_00012_B1 _H.spu,LMAT_00013_B1 _H.spu,LMAT_00014_B1 _H.spu,LMAT_00015_B1_F5.spu,LMAT_00016_B1_F5.spu,LMAT_00017_B1_F5.spu,LMAT_00018_B1_F5.spu,LMAT_00019_B1_F5.spu,LMAT_00020_B1_F10.spu,LMAT_00021_B1_F10.spu,LMAT_00022_B1_F10.spu,LMAT_00023_B1_F10.spu,LMAT_00024_B1_F10.spu,LMAT_00025_B1_X.spu,LMAT_00026_B1_X.spu,LMAT_00027_B1_X.spu,LMAT_00028_B1_X.spu,LMAT_00029_B1_X.spu,LMAT_00030_B1_F1.spu,LMAT_00031_B1_F1.spu,LMAT_00032_B1_F1.spu,LMAT_00033_B1_F1.spu,LMAT_00034_B1_F1.spu,LMAT_00035_B1_CT.spu,LMAT_00036_B1_CT.spu,LMAT_00037_B1_CT.spu,LMAT_00038_B1_CT.spu,LMAT_00039_B1_CT.spu,LMAT_00040_B1_NO3.spu,LMAT_00041_B1_NO3.spu,LMAT_00042_B1_NO3.spu,LMAT_00043_B1_NO3.spu,LMAT_00044_B1_NO3.spu,LMAT_00045_B1_NH4.spu,LMAT_00046_B1_NH4.spu,LMAT_00047_B1_NH4.spu,LMAT_00048_B1_NH4.spu,LMAT_00049_B1_NH4.spu,LMAT_00050_B1_F0.5.spu,LMAT_00051_B1_F0.5.spu,LMAT_00052_B1_F0.5.spu,LMAT_00053_B1_F0.5.spu,LMAT_00054_B1_F0.5.spu,LMAT_00055_B2_F5.spu,LMAT_00056_B2_F5.spu,LMAT_00057_B2_F5.spu,LMAT_00058_B2_F5.spu,LMAT_00059_B2_F5.spu,LMAT_00060_B2_CT.spu,LMAT_00061_B2_CT.spu,LMAT_00062_B2_CT.spu,LMAT_00063_B2_CT.spu,LMAT_00064_B2_CT.spu,LMAT_00065_B2_F0.5.spu,LMAT_00066_B2_F0.5.spu,LMAT_00067_B2_F0.5.spu,LMAT_00068_B2_F0.5.spu,LMAT_00069_B2_F0.5.spu
  (nm),6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4
  time  ,7:08 PM",7:22 PM",7:32 PM",7:40 PM",7:51 PM",8:22 PM",8:34 PM",8:45 PM",8:54 PM",9:07 PM",9:42 PM",9:57 PM",0:14 PM",0:23 PM",0:34 PM",0:57 PM",1:08 PM",1:19 PM",1:32 PM",1:41 PM",2:07 PM",2:21 PM",2:29 PM",2:38 PM",2:49 PM",3:36 PM",3:46 PM",3:57 PM",4:11 PM",4:22 PM",6:16 PM",6:32 PM",6:43 PM",6:53 PM",7:06 PM",7:37 PM",7:48 PM",7:59 PM",8:06 PM",8:16 PM",8:44 PM",8:56 PM",9:05 PM",9:18 PM",9:34 PM",0:05 PM",0:21 PM",0:30 PM",0:41 PM",0:49 PM",7:02 PM",7:03 PM",7:24 PM",7:34 PM",7:44 PM",8:28 PM",8:39 PM",8:50 PM",8:59 PM",9:10 PM",9:48 PM",0:00 PM",0:10 PM",0:22 PM",0:35 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 400 , 0.03698 , 0.03868 , 0.03581 , 0.04048 , 0.05734 , 0.04366 , 0.03525 , 0.02654 , 0.03206 , 0.03553 , 0.02774 , 0.04962 , 0.0391 , 0.03388 , 0.033 , 0.03183 , 0.0588 , 0.03331 , 0.06721 , 0.03975 , 0.03155 , 0.04229 , 0.04296 , 0.03379 , 0.03911 , 0.05374 , 0.04177 , 0.03612 , 0.04689 , 0.05042 , 0.03231 , 0.04613 , 0.02963 , 0.03457 , 0.0409 , 0.03488 , 0.0402 , 0.02822 , 0.03364 , 0.04058 , 0.02669 , 0.02854 , 0.02618 , 0.03179 , 0.0332 , 0.03918 , 0.03451 , 0.03276 , 0.03349 , 0.03088 , 0.05791 , 0.05823 , 0.02804 , 0.03469 , 0.04479 , 0.03651 , 0.03731 , 0.04167 , 0.05766 , 0.05015 , 0.04744 , 0.03144 , 0.04053 , 0.04184 , 0.04162 
 401 , 0.03655 , 0.03821 , 0.03533 , 0.04004 , 0.05674 , 0.04313 , 0.03485 , 0.02622 , 0.03148 , 0.03502 , 0.02742 , 0.04923 , 0.03871 , 0.03341 , 0.03266 , 0.03148 , 0.05834 , 0.03302 , 0.06671 , 0.03946 , 0.03113 , 0.04172 , 0.04241 , 0.03334 , 0.03874 , 0.0532 , 0.04141 , 0.03563 , 0.0465 , 0.04984 , 0.03194 , 0.04571 , 0.02921 , 0.03417 , 0.04076 , 0.03447 , 0.03975 , 0.0278 , 0.03327 , 0.0401 , 0.02636 , 0.02824 , 0.02587 , 0.03127 , 0.03268 , 0.03879 , 0.03408 , 0.03228 , 0.03303 , 0.03033 , 0.05735 , 0.05763 , 0.0277 , 0.03428 , 0.04441 , 0.03595 , 0.03667 , 0.04107 , 0.05693 , 0.0497 , 0.0469 , 0.03095 , 0.0398 , 0.04111 , 0.04101 
 402 , 0.03617 , 0.03781 , 0.03493 , 0.03966 , 0.05623 , 0.04267 , 0.03451 , 0.02595 , 0.03098 , 0.03458 , 0.02715 , 0.04889 , 0.03837 , 0.033 , 0.03237 , 0.03117 , 0.05794 , 0.03277 , 0.06629 , 0.03921 , 0.03077 , 0.04123 , 0.04193 , 0.03295 , 0.03843 , 0.05274 , 0.0411 , 0.0352 , 0.04618 , 0.04934 , 0.03163 , 0.04534 , 0.02885 , 0.03382 , 0.04063 , 0.03413 , 0.03936 , 0.02744 , 0.03296 , 0.0397 , 0.02608 , 0.02798 , 0.0256 , 0.03083 , 0.03224 , 0.03845 , 0.0337 , 0.03188 , 0.03264 , 0.02985 , 0.05686 , 0.05711 , 0.02742 , 0.03393 , 0.04408 , 0.03548 , 0.03612 , 0.04055 , 0.05631 , 0.04932 , 0.04645 , 0.03053 , 0.03917 , 0.04049 , 0.04049 
 403 , 0.0359 , 0.0374 , 0.03453 , 0.03932 , 0.05583 , 0.04219 , 0.03411 , 0.02563 , 0.03063 , 0.03422 , 0.02687 , 0.04858 , 0.03812 , 0.03262 , 0.03217 , 0.03094 , 0.05762 , 0.0326 , 0.06587 , 0.03899 , 0.03048 , 0.04083 , 0.04148 , 0.03264 , 0.0382 , 0.0523 , 0.04078 , 0.03496 , 0.04579 , 0.04888 , 0.03144 , 0.04496 , 0.02856 , 0.03348 , 0.04054 , 0.03383 , 0.03903 , 0.02711 , 0.03274 , 0.03933 , 0.02584 , 0.02775 , 0.02532 , 0.03047 , 0.0318 , 0.0382 , 0.03342 , 0.03156 , 0.03231 , 0.02954 , 0.05649 , 0.05671 , 0.02713 , 0.03365 , 0.04384 , 0.03518 , 0.03571 , 0.04009 , 0.05583 , 0.04897 , 0.04612 , 0.0302 , 0.03869 , 0.03998 , 0.03996 
 404 , 0.03573 , 0.03706 , 0.03421 , 0.03907 , 0.05558 , 0.04181 , 0.03377 , 0.02536 , 0.0304 , 0.03396 , 0.02664 , 0.04837 , 0.03797 , 0.03232 , 0.03207 , 0.03079 , 0.05743 , 0.03251 , 0.06558 , 0.03886 , 0.03028 , 0.04055 , 0.04112 , 0.03243 , 0.03807 , 0.05197 , 0.04054 , 0.03484 , 0.04548 , 0.04853 , 0.03134 , 0.04465 , 0.02835 , 0.03321 , 0.04051 , 0.03361 , 0.0388 , 0.02686 , 0.03261 , 0.03906 , 0.02566 , 0.02759 , 0.0251 , 0.03021 , 0.03144 , 0.03804 , 0.03324 , 0.03134 , 0.03206 , 0.02935 , 0.05626 , 0.05645 , 0.0269 , 0.03345 , 0.0437 , 0.03501 , 0.03541 , 0.03974 , 0.0555 , 0.04872 , 0.04592 , 0.02997 , 0.03833 , 0.03958 , 0.03953 
 405 , 0.03558 , 0.03676 , 0.03392 , 0.03885 , 0.05535 , 0.04145 , 0.03346 , 0.02511 , 0.03018 , 0.03372 , 0.02644 , 0.04818 , 0.03784 , 0.03205 , 0.03197 , 0.03065 , 0.05726 , 0.03243 , 0.06531 , 0.03873 , 0.03009 , 0.0403 , 0.0408 , 0.03224 , 0.03795 , 0.05167 , 0.04032 , 0.03473 , 0.04519 , 0.04821 , 0.03125 , 0.04438 , 0.02816 , 0.03297 , 0.04049 , 0.03341 , 0.03858 , 0.02663 , 0.0325 , 0.03881 , 0.0255 , 0.02744 , 0.02489 , 0.02997 , 0.03112 , 0.03791 , 0.03307 , 0.03115 , 0.03183 , 0.02917 , 0.05606 , 0.05622 , 0.0267 , 0.03328 , 0.04358 , 0.03485 , 0.03514 , 0.03942 , 0.05521 , 0.04849 , 0.04573 , 0.02975 , 0.03801 , 0.03923 , 0.03914 
 406 , 0.03542 , 0.03646 , 0.03368 , 0.03869 , 0.05519 , 0.04115 , 0.03322 , 0.02493 , 0.02999 , 0.03353 , 0.02628 , 0.04809 , 0.03772 , 0.03185 , 0.03191 , 0.03058 , 0.05718 , 0.03242 , 0.0652 , 0.03868 , 0.02996 , 0.0401 , 0.04051 , 0.03209 , 0.03786 , 0.05144 , 0.0402 , 0.03464 , 0.04502 , 0.04798 , 0.03121 , 0.0442 , 0.02802 , 0.03279 , 0.04059 , 0.03327 , 0.03841 , 0.02643 , 0.03243 , 0.03861 , 0.02537 , 0.02734 , 0.02473 , 0.02977 , 0.03088 , 0.03777 , 0.03291 , 0.031 , 0.03164 , 0.02902 , 0.0559 , 0.05607 , 0.02655 , 0.03316 , 0.04351 , 0.03471 , 0.03493 , 0.03916 , 0.05499 , 0.04835 , 0.04555 , 0.0296 , 0.03773 , 0.03895 , 0.03882 
 407 , 0.03529 , 0.03619 , 0.03355 , 0.03865 , 0.05517 , 0.04094 , 0.03309 , 0.02486 , 0.02986 , 0.03344 , 0.02622 , 0.04821 , 0.03764 , 0.03179 , 0.03191 , 0.03065 , 0.05731 , 0.03253 , 0.06539 , 0.03877 , 0.02991 , 0.04004 , 0.04033 , 0.03204 , 0.03785 , 0.05137 , 0.04025 , 0.03459 , 0.04505 , 0.04791 , 0.03126 , 0.04422 , 0.02797 , 0.03273 , 0.04091 , 0.03326 , 0.03832 , 0.0263 , 0.03245 , 0.03851 , 0.02531 , 0.02735 , 0.02465 , 0.02967 , 0.03078 , 0.03768 , 0.0328 , 0.03095 , 0.03154 , 0.02893 , 0.05587 , 0.05609 , 0.02652 , 0.03317 , 0.04356 , 0.03461 , 0.03485 , 0.03901 , 0.05493 , 0.04837 , 0.04539 , 0.02956 , 0.03753 , 0.03881 , 0.03864 
 408 , 0.03516 , 0.03594 , 0.03343 , 0.03862 , 0.05515 , 0.04075 , 0.03296 , 0.02479 , 0.02974 , 0.03335 , 0.02616 , 0.04832 , 0.03757 , 0.03174 , 0.03192 , 0.03071 , 0.05742 , 0.03264 , 0.06557 , 0.03886 , 0.02988 , 0.03998 , 0.04015 , 0.03199 , 0.03785 , 0.0513 , 0.04029 , 0.03455 , 0.04509 , 0.04784 , 0.03131 , 0.04424 , 0.02792 , 0.03267 , 0.04121 , 0.03324 , 0.03824 , 0.02618 , 0.03247 , 0.03842 , 0.02526 , 0.02736 , 0.02457 , 0.02958 , 0.03068 , 0.03759 , 0.03269 , 0.03091 , 0.03145 , 0.02885 , 0.05585 , 0.0561 , 0.0265 , 0.03317 , 0.04361 , 0.03451 , 0.03477 , 0.03887 , 0.05487 , 0.04839 , 0.04525 , 0.02953 , 0.03735 , 0.03867 , 0.03846 
 409 , 0.03504 , 0.0357 , 0.03332 , 0.0386 , 0.05514 , 0.04057 , 0.03285 , 0.02473 , 0.02962 , 0.03328 , 0.02611 , 0.04842 , 0.0375 , 0.03169 , 0.03193 , 0.03077 , 0.05753 , 0.03274 , 0.06574 , 0.03894 , 0.02984 , 0.03992 , 0.03999 , 0.03195 , 0.03784 , 0.05124 , 0.04033 , 0.03451 , 0.04512 , 0.04777 , 0.03136 , 0.04425 , 0.02787 , 0.03261 , 0.04148 , 0.03323 , 0.03817 , 0.02607 , 0.03249 , 0.03834 , 0.02521 , 0.02737 , 0.0245 , 0.02949 , 0.03059 , 0.03751 , 0.0326 , 0.03087 , 0.03136 , 0.02878 , 0.05582 , 0.05612 , 0.02647 , 0.03317 , 0.04365 , 0.03442 , 0.0347 , 0.03875 , 0.05481 , 0.04841 , 0.04511 , 0.02949 , 0.03719 , 0.03855 , 0.0383 
 410 , 0.03518 , 0.03581 , 0.03331 , 0.0388 , 0.05548 , 0.04069 , 0.03286 , 0.02483 , 0.0297 , 0.03331 , 0.02625 , 0.04879 , 0.03769 , 0.03177 , 0.03215 , 0.03093 , 0.05793 , 0.03299 , 0.06614 , 0.03928 , 0.02989 , 0.04001 , 0.04009 , 0.03213 , 0.0382 , 0.05147 , 0.04055 , 0.0347 , 0.04539 , 0.04791 , 0.03154 , 0.04446 , 0.028 , 0.03268 , 0.04203 , 0.03337 , 0.03837 , 0.02615 , 0.03268 , 0.03855 , 0.02533 , 0.02759 , 0.0246 , 0.02957 , 0.0306 , 0.0377 , 0.03268 , 0.03098 , 0.03144 , 0.02889 , 0.05621 , 0.05643 , 0.02656 , 0.03334 , 0.04403 , 0.03461 , 0.03481 , 0.03878 , 0.05507 , 0.04876 , 0.04547 , 0.02962 , 0.03724 , 0.03854 , 0.03832 
 411 , 0.0353 , 0.0359 , 0.0333 , 0.03897 , 0.05578 , 0.04079 , 0.03287 , 0.02491 , 0.02977 , 0.03333 , 0.02639 , 0.04913 , 0.03785 , 0.03184 , 0.03235 , 0.03108 , 0.05829 , 0.03322 , 0.06651 , 0.03958 , 0.02992 , 0.04009 , 0.04018 , 0.0323 , 0.03853 , 0.05167 , 0.04074 , 0.03488 , 0.04563 , 0.04803 , 0.03171 , 0.04465 , 0.02812 , 0.03274 , 0.04254 , 0.03349 , 0.03854 , 0.02621 , 0.03285 , 0.03873 , 0.02544 , 0.02778 , 0.02469 , 0.02965 , 0.0306 , 0.03787 , 0.03276 , 0.03108 , 0.03152 , 0.029 , 0.05655 , 0.05671 , 0.02664 , 0.03349 , 0.04438 , 0.03478 , 0.03491 , 0.0388 , 0.0553 , 0.04907 , 0.0458 , 0.02972 , 0.03728 , 0.03852 , 0.03834 
 412 , 0.03541 , 0.03598 , 0.03329 , 0.03914 , 0.05607 , 0.04089 , 0.03287 , 0.02499 , 0.02983 , 0.03335 , 0.02651 , 0.04944 , 0.038 , 0.0319 , 0.03254 , 0.03122 , 0.05862 , 0.03343 , 0.06685 , 0.03987 , 0.02995 , 0.04016 , 0.04026 , 0.03245 , 0.03883 , 0.05185 , 0.04091 , 0.03505 , 0.04586 , 0.04815 , 0.03187 , 0.04482 , 0.02822 , 0.03279 , 0.043 , 0.0336 , 0.0387 , 0.02628 , 0.03301 , 0.03891 , 0.02554 , 0.02796 , 0.02477 , 0.02972 , 0.0306 , 0.03803 , 0.03283 , 0.03117 , 0.03158 , 0.02909 , 0.05687 , 0.05698 , 0.02671 , 0.03363 , 0.04471 , 0.03493 , 0.03499 , 0.03881 , 0.05551 , 0.04936 , 0.0461 , 0.02983 , 0.03732 , 0.0385 , 0.03835 
 413 , 0.03551 , 0.03604 , 0.0333 , 0.03929 , 0.05632 , 0.04094 , 0.03288 , 0.02502 , 0.02988 , 0.03338 , 0.02658 , 0.04973 , 0.0382 , 0.03198 , 0.03271 , 0.03137 , 0.05895 , 0.03363 , 0.06723 , 0.04013 , 0.03002 , 0.04021 , 0.0403 , 0.03261 , 0.03907 , 0.05205 , 0.04107 , 0.03522 , 0.04608 , 0.04829 , 0.03202 , 0.04504 , 0.02828 , 0.03289 , 0.04341 , 0.03372 , 0.03887 , 0.02631 , 0.03317 , 0.03901 , 0.02565 , 0.02807 , 0.02481 , 0.02979 , 0.0306 , 0.03825 , 0.03288 , 0.03126 , 0.03161 , 0.02915 , 0.05717 , 0.05727 , 0.02677 , 0.03376 , 0.04498 , 0.03506 , 0.03502 , 0.03884 , 0.05569 , 0.0496 , 0.04634 , 0.02992 , 0.03732 , 0.03856 , 0.03832 
