
Wavelength,WSG1_00005_B1_P.spu,WSG1_00006_B1_P.spu,WSG1_00007_B1_P.spu,WSG1_00008_B1_P.spu,WSG1_00009_B1_P.spu,WSG1_00010_B1_CT1.spu,WSG1_00011_B1_CT1.spu,WSG1_00012_B1_CT1.spu,WSG1_00013_B1_CT1.spu,WSG1_00014_B1_CT1.spu,WSG1_00015_B1_NP.spu,WSG1_00016_B1_NP.spu,WSG1_00017_B1_NP.spu,WSG1_00018_B1_NP.spu,WSG1_00019_B1_NP.spu,WSG1_00020_B1_N.spu,WSG1_00021_B1_N.spu,WSG1_00022_B1_N.spu,WSG1_00023_B1_N.spu,WSG1_00024_B1_N.spu,WSG1_00025_B1_CT2.spu,WSG1_00026_B1_CT2.spu,WSG1_00027_B1_CT2.spu,WSG1_00028_B1_CT2.spu,WSG1_00029_B1_CT2.spu
  (nm),6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 ,6/12/2017 
  time  ,:46:36 A,:47:21 A,:47:42 A,:48:05 A,:48:23 A,:48:59 A,:49:19 A,:49:38 A,:50:01 A,:50:27 A,:52:51 A,:53:12 A,:53:30 A,:53:47 A,:54:07 A,:55:48 A,:56:06 A,:56:18 A,:56:32 A,:56:48 A,:02:00 P,:02:33 P,:03:00 P,:03:40 P,:03:56 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.21788 , 0.2313 , 0.21837 , 0.27491 , 0.26622 , 0.20432 , 0.2159 , 0.21714 , 0.21641 , 0.26319 , 0.28555 , 0.27833 , 0.27097 , 0.29922 , 0.31885 , 0.28895 , 0.27714 , 0.27246 , 0.2188 , 0.29773 , 0.29358 , 0.25916 , 0.28542 , 0.28456 , 0.26469 
 311 , 0.19734 , 0.20002 , 0.1994 , 0.24891 , 0.24302 , 0.17955 , 0.19528 , 0.19729 , 0.19247 , 0.24072 , 0.26473 , 0.25295 , 0.24044 , 0.26996 , 0.29459 , 0.26093 , 0.24146 , 0.24762 , 0.19303 , 0.27493 , 0.26868 , 0.23462 , 0.25619 , 0.26045 , 0.2358 
 312 , 0.20624 , 0.20794 , 0.21427 , 0.2588 , 0.24823 , 0.18796 , 0.20166 , 0.21049 , 0.20838 , 0.25003 , 0.27199 , 0.26002 , 0.25283 , 0.27961 , 0.29884 , 0.26859 , 0.25575 , 0.25122 , 0.20913 , 0.28138 , 0.27997 , 0.24426 , 0.264 , 0.26563 , 0.2465 
 313 , 0.2198 , 0.22215 , 0.23451 , 0.27408 , 0.2581 , 0.2017 , 0.21223 , 0.22894 , 0.23064 , 0.26442 , 0.28365 , 0.27227 , 0.2721 , 0.29536 , 0.30789 , 0.2819 , 0.2778 , 0.25942 , 0.23177 , 0.29245 , 0.29696 , 0.25931 , 0.27768 , 0.27553 , 0.26337 
 314 , 0.23354 , 0.23627 , 0.2545 , 0.28898 , 0.26753 , 0.21527 , 0.22266 , 0.24739 , 0.25248 , 0.27872 , 0.29502 , 0.2843 , 0.29113 , 0.31054 , 0.31677 , 0.29512 , 0.29971 , 0.26743 , 0.25428 , 0.30326 , 0.31353 , 0.27409 , 0.29093 , 0.28515 , 0.28023 
 315 , 0.24181 , 0.25441 , 0.26897 , 0.29931 , 0.27777 , 0.22834 , 0.23504 , 0.25603 , 0.26625 , 0.29125 , 0.30793 , 0.29458 , 0.30493 , 0.32335 , 0.33162 , 0.31006 , 0.31791 , 0.27844 , 0.26598 , 0.31418 , 0.32495 , 0.28806 , 0.30572 , 0.29535 , 0.29469 
 316 , 0.24464 , 0.27686 , 0.27752 , 0.30487 , 0.28875 , 0.24096 , 0.24957 , 0.25468 , 0.27169 , 0.30214 , 0.32232 , 0.30312 , 0.31334 , 0.33348 , 0.35274 , 0.32696 , 0.33214 , 0.29249 , 0.26639 , 0.32503 , 0.33092 , 0.30116 , 0.322 , 0.30613 , 0.3067 
 317 , 0.24738 , 0.29889 , 0.28602 , 0.3103 , 0.29941 , 0.25327 , 0.26366 , 0.25338 , 0.27696 , 0.3127 , 0.33662 , 0.31145 , 0.32155 , 0.34349 , 0.37371 , 0.34347 , 0.34628 , 0.30645 , 0.26679 , 0.33583 , 0.33679 , 0.31411 , 0.33808 , 0.31667 , 0.31851 
 318 , 0.24914 , 0.31767 , 0.29253 , 0.31548 , 0.30888 , 0.26341 , 0.2753 , 0.25216 , 0.28068 , 0.32059 , 0.34853 , 0.31843 , 0.32797 , 0.35108 , 0.39046 , 0.35718 , 0.35818 , 0.31827 , 0.26637 , 0.34464 , 0.34213 , 0.32547 , 0.35095 , 0.32465 , 0.32797 
 319 , 0.2415 , 0.30999 , 0.28445 , 0.31894 , 0.30827 , 0.25466 , 0.2674 , 0.24993 , 0.27042 , 0.30738 , 0.34164 , 0.31501 , 0.31954 , 0.34131 , 0.37434 , 0.3496 , 0.35328 , 0.3161 , 0.25826 , 0.33806 , 0.34424 , 0.32387 , 0.33924 , 0.31235 , 0.31991 
 320 , 0.23395 , 0.30241 , 0.27666 , 0.32233 , 0.30766 , 0.2459 , 0.25964 , 0.24774 , 0.26027 , 0.29454 , 0.33492 , 0.31168 , 0.31125 , 0.33192 , 0.35879 , 0.34224 , 0.34852 , 0.31404 , 0.25029 , 0.33164 , 0.3463 , 0.32229 , 0.32794 , 0.30039 , 0.31211 
