
Wavelength,HST_00006_B4_NP.spu,HST_00007_B4_NP.spu,HST_00008_B4_NP.spu,HST_00009_B4_NP.spu,HST_00010_B4_NP.spu,HST_00011_B4_CT.spu,HST_00012_B4_CT.spu,HST_00013_B4_CT.spu,HST_00014_B4_CT.spu,HST_00015_B4_CT.spu,HST_00016_B3_NP.spu,HST_00017_B3_NP.spu,HST_00018_B3_NP.spu,HST_00019_B3_NP.spu,HST_00020_B3_NP.spu,HST_00021_B3_CT.spu,HST_00022_B3_CT.spu,HST_00023_B3_CT.spu,HST_00024_B3_CT.spu,HST_00025_B3_CT.spu,HST_00026_B2_NP.spu,HST_00027_B2_NP.spu,HST_00028_B2_NP.spu,HST_00029_B2_NP.spu,HST_00030_B2_NP.spu,HST_00031_B2_CT.spu,HST_00032_B2_CT.spu,HST_00033_B2_CT.spu,HST_00034_B2_CT.spu,HST_00035_B2_CT.spu,HST_00036_B1_NP.spu,HST_00037_B1_NP.spu,HST_00038_B1_NP.spu,HST_00039_B1_NP.spu,HST_00040_B1_NP.spu,HST_00041_B1_CT.spu,HST_00042_B1_CT.spu,HST_00043_B1_CT.spu,HST_00044_B1_CT.spu,HST_00045_B1_CT.spu
  (nm),7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9
  time  ,6:43 AM",6:58 AM",7:07 AM",7:20 AM",7:28 AM",7:41 AM",7:50 AM",8:01 AM",8:08 AM",8:16 AM",9:12 AM",9:20 AM",9:27 AM",9:34 AM",9:41 AM",9:55 AM",0:02 AM",0:10 AM",0:18 AM",0:27 AM",0:58 AM",1:10 AM",1:19 AM",1:27 AM",1:38 AM",1:53 AM",2:03 AM",2:11 AM",2:29 AM",2:39 AM",3:15 AM",3:24 AM",3:34 AM",3:43 AM",3:53 AM",4:33 AM",4:40 AM",4:49 AM",4:57 AM",5:05 AM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.09767 , 0.09331 , 0.07556 , 0.03086 , 0.0963 , 0.08044 , 0.11568 , 0.11336 , 0.09451 , 0.07197 , 0.09211 , 0.11808 , 0.06109 , 0.06106 , 0.08156 , 0.09495 , 0.07981 , 0.05183 , 0.09136 , 0.09253 , 0.07594 , 0.02987 , 0.07184 , 0.06418 , 0.05464 , 0.0764 , 0.07249 , 0.08363 , 0.09537 , 0.07274 , 0.02296 , 0.06566 , 0.06579 , 0.07142 , 0.04387 , 0.07801 , 0.07062 , 0.10075 , 0.11187 , 0.06036 
 311 , 0.08894 , 0.09204 , 0.07821 , 0.01445 , 0.08171 , 0.08949 , 0.11379 , 0.09548 , 0.08156 , 0.06793 , 0.07129 , 0.13164 , 0.05732 , 0.05671 , 0.07148 , 0.10136 , 0.06991 , 0.04812 , 0.08032 , 0.08752 , 0.07826 , 0.02312 , 0.07778 , 0.05654 , 0.03794 , 0.06916 , 0.06796 , 0.07919 , 0.09046 , 0.05913 , 0.01352 , 0.05783 , 0.05843 , 0.06719 , 0.04348 , 0.06767 , 0.06645 , 0.09198 , 0.10033 , 0.05608 
 312 , 0.08563 , 0.08738 , 0.07793 , 0.03145 , 0.10179 , 0.08159 , 0.11653 , 0.09774 , 0.09036 , 0.08043 , 0.07374 , 0.11925 , 0.05916 , 0.05922 , 0.0745 , 0.10101 , 0.07678 , 0.04952 , 0.08963 , 0.09276 , 0.08668 , 0.03042 , 0.0751 , 0.06102 , 0.04616 , 0.06956 , 0.07049 , 0.08437 , 0.09788 , 0.05366 , 0.02276 , 0.05916 , 0.07645 , 0.0721 , 0.03772 , 0.06778 , 0.06852 , 0.09293 , 0.10201 , 0.05522 
 313 , 0.0829 , 0.08239 , 0.07717 , 0.0538 , 0.12739 , 0.07123 , 0.11989 , 0.1031 , 0.10261 , 0.09528 , 0.07978 , 0.10271 , 0.06187 , 0.06276 , 0.07953 , 0.09969 , 0.0864 , 0.05172 , 0.10212 , 0.09954 , 0.09597 , 0.03995 , 0.0711 , 0.06736 , 0.05815 , 0.07121 , 0.07407 , 0.09102 , 0.10713 , 0.04955 , 0.0348 , 0.06187 , 0.09791 , 0.0784 , 0.03113 , 0.06954 , 0.07153 , 0.09531 , 0.1056 , 0.05486 
 314 , 0.08014 , 0.0776 , 0.07643 , 0.07615 , 0.15298 , 0.06114 , 0.12325 , 0.10835 , 0.11479 , 0.10974 , 0.08577 , 0.08639 , 0.06453 , 0.06633 , 0.0844 , 0.09841 , 0.09609 , 0.05382 , 0.11462 , 0.10635 , 0.1052 , 0.04949 , 0.06719 , 0.07365 , 0.06982 , 0.07279 , 0.07768 , 0.09767 , 0.11633 , 0.04552 , 0.04661 , 0.06453 , 0.11868 , 0.08466 , 0.02462 , 0.07124 , 0.07452 , 0.09765 , 0.10924 , 0.05451 
 315 , 0.09253 , 0.07983 , 0.08196 , 0.09987 , 0.16631 , 0.06666 , 0.12846 , 0.11863 , 0.12084 , 0.11293 , 0.09733 , 0.08832 , 0.07684 , 0.07568 , 0.09112 , 0.10439 , 0.10415 , 0.06125 , 0.1217 , 0.10677 , 0.11311 , 0.05907 , 0.06699 , 0.08427 , 0.07571 , 0.07732 , 0.08827 , 0.10413 , 0.1242 , 0.05095 , 0.05427 , 0.07021 , 0.12928 , 0.09522 , 0.02426 , 0.078 , 0.08689 , 0.10416 , 0.11821 , 0.05893 
