LMAT_00004.spu,LMAT_00003.spu,LMAT_00002.spu,LMAT_00001.spu,LMAT_00000.spu,
Wavelength,LMAT_00010.spu,LMAT_00011.spu,LMAT_00012.spu,LMAT_00013.spu,LMAT_00014.spu,LMAT_00015.spu,LMAT_00016.spu,LMAT_00017.spu,LMAT_00018.spu,LMAT_00019.spu,LMAT_00020.spu,LMAT_00021.spu,LMAT_00022.spu,LMAT_00023.spu,LMAT_00024.spu,LMAT_00025.spu,LMAT_00026.spu,LMAT_00027.spu,LMAT_00028.spu,LMAT_00029.spu,LMAT_00030.spu,LMAT_00031.spu,LMAT_00032.spu,LMAT_00033.spu,LMAT_00034.spu,LMAT_00035.spu,LMAT_00036.spu,LMAT_00037.spu,LMAT_00038.spu,LMAT_00039.spu,LMAT_00040.spu,LMAT_00041.spu,LMAT_00042.spu,LMAT_00043.spu,LMAT_00044.spu,LMAT_00045.spu,LMAT_00046.spu,LMAT_00047.spu,LMAT_00048.spu,LMAT_00049.spu,LMAT_00050.spu,LMAT_00051.spu,LMAT_00052.spu,LMAT_00053.spu,LMAT_00054.spu,LMAT_00055.spu,LMAT_00056.spu,LMAT_00057.spu,LMAT_00058.spu,LMAT_00059.spu,LMAT_00060.spu,LMAT_00061.spu,LMAT_00062.spu,LMAT_00063.spu,LMAT_00064.spu,LMAT_00065.spu,LMAT_00066.spu,LMAT_00067.spu,LMAT_00068.spu,LMAT_00069.spu,LMAT_00070.spu,LMAT_00071.spu,LMAT_00072.spu,LMAT_00073.spu,LMAT_00074.spu,LMAT_00075.spu,LMAT_00076.spu,LMAT_00077.spu,LMAT_00078.spu,LMAT_00079.spu,LMAT_00080.spu,LMAT_00081.spu,LMAT_00082.spu,LMAT_00083.spu,LMAT_00084.spu,LMAT_00085.spu,LMAT_00086.spu,LMAT_00087.spu,LMAT_00088.spu,LMAT_00089.spu,LMAT_00090.spu,LMAT_00091.spu,LMAT_00092.spu,LMAT_00093.spu,LMAT_00094.spu,LMAT_00095.spu,LMAT_00096.spu,LMAT_00097.spu,LMAT_00098.spu,LMAT_00099.spu,LMAT_00100.spu,LMAT_00101.spu,LMAT_00102.spu,LMAT_00103.spu,LMAT_00104.spu,LMAT_00105.spu,LMAT_00106.spu,LMAT_00107.spu,LMAT_00108.spu,LMAT_00109.spu,LMAT_00110.spu,LMAT_00111.spu,LMAT_00112.spu,LMAT_00113.spu,LMAT_00114.spu,LMAT_00115.spu,LMAT_00116.spu,LMAT_00117.spu,LMAT_00118.spu,LMAT_00119.spu,LMAT_00120.spu,LMAT_00121.spu,LMAT_00122.spu,LMAT_00123.spu,LMAT_00124.spu,LMAT_00125.spu,LMAT_00126.spu,LMAT_00127.spu,LMAT_00128.spu,LMAT_00129.spu,LMAT_00130.spu,LMAT_00131.spu,LMAT_00132.spu,LMAT_00133.spu,LMAT_00134.spu,LMAT_00135.spu,LMAT_00136.spu,LMAT_00137.spu,LMAT_00138.spu,LMAT_00139.spu,LMAT_00140.spu,LMAT_00141.spu,LMAT_00142.spu,LMAT_00143.spu,LMAT_00144.spu,LMAT_00145.spu,LMAT_00146.spu,LMAT_00147.spu,LMAT_00148.spu,LMAT_00149.spu,LMAT_00150.spu,LMAT_00151.spu,LMAT_00152.spu,LMAT_00153.spu,LMAT_00154.spu,LMAT_00155.spu,LMAT_00156.spu,LMAT_00157.spu,LMAT_00158.spu,LMAT_00159.spu,LMAT_00160.spu,LMAT_00161.spu,LMAT_00162.spu,LMAT_00163.spu,LMAT_00164.spu,LMAT_00165.spu,LMAT_00166.spu,LMAT_00167.spu,LMAT_00168.spu,LMAT_00169.spu,LMAT_00170.spu,LMAT_00171.spu,LMAT_00172.spu,LMAT_00173.spu,LMAT_00174.spu
  (nm),6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 
  time  ,:09:23 A,:10:58 A,:11:07 A,:11:17 A,:11:29 A,:12:12 A,:12:28 A,:12:41 A,:12:50 A,:13:02 A,:13:41 A,:13:51 A,:14:03 A,:14:12 A,:14:24 A,:14:58 A,:15:17 A,:15:28 A,:15:38 A,:15:49 A,:16:25 A,:16:39 A,:16:49 A,:16:59 A,:17:18 A,:17:56 A,:18:08 A,:18:19 A,:18:29 A,:18:40 A,:23:50 A,:24:09 A,:24:19 A,:24:30 A,:24:39 A,:25:14 A,:25:23 A,:25:34 A,:25:44 A,:25:56 A,:26:42 A,:26:52 A,:27:04 A,:27:20 A,:27:33 A,:28:49 A,:29:04 A,:29:16 A,:29:26 A,:29:39 A,:30:26 A,:30:42 A,:30:54 A,:31:04 A,:31:16 A,:32:00 A,:32:12 A,:32:23 A,:32:34 A,:32:45 A,:33:31 A,:33:41 A,:33:52 A,:34:04 A,:34:13 A,:34:57 A,:35:12 A,:35:22 A,:35:32 A,:35:44 A,:36:24 A,:36:40 A,:36:52 A,:37:01 A,:37:22 A,:37:58 A,:38:16 A,:38:30 A,:38:42 A,:38:57 A,:41:06 A,:41:20 A,:41:32 A,:41:41 A,:41:55 A,:44:01 A,:44:16 A,:44:30 A,:44:46 A,:45:00 A,:45:38 A,:45:52 A,:46:05 A,:46:16 A,:46:26 A,:47:01 A,:47:12 A,:47:22 A,:47:31 A,:47:43 A,:48:25 A,:48:45 A,:48:59 A,:49:11 A,:49:30 A,:50:09 A,:50:24 A,:50:35 A,:50:46 A,:50:57 A,:51:39 A,:51:52 A,:52:03 A,:52:13 A,:52:23 A,:53:04 A,:53:13 A,:53:23 A,:53:33 A,:53:43 A,:54:25 A,:54:35 A,:54:48 A,:54:58 A,:55:13 A,:01:58 P,:02:19 P,:02:37 P,:02:46 P,:02:58 P,:03:31 P,:03:42 P,:04:00 P,:04:15 P,:04:28 P,:05:04 P,:05:15 P,:05:27 P,:05:37 P,:05:48 P,:06:26 P,:06:42 P,:06:52 P,:07:02 P,:07:13 P,:07:48 P,:07:58 P,:08:09 P,:08:24 P,:08:35 P,:09:11 P,:09:21 P,:09:30 P,:09:43 P,:09:56 P,:10:40 P,:10:49 P,:10:58 P,:11:07 P,:11:18 P,:11:55 P,:12:04 P,:12:14 P,:12:23 P,:12:36 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.53542 , 0.546315 , 0.539618 , 0.539103 , 0.530494 , 0.537017 , 0.538466 , 0.529799 , 0.540745 , 0.53486 , 0.543334 , 0.530089 , 0.536592 , 0.532033 , 0.539432 , 0.534049 , 0.541061 , 0.53721 , 0.53598 , 0.541582 , 0.54034 , 0.54193 , 0.531686 , 0.53551 , 0.535903 , 0.538775 , 0.539541 , 0.542027 , 0.531344 , 0.539438 , 0.532323 , 0.535388 , 0.532355 , 0.532587 , 0.530385 , 0.529715 , 0.532645 , 0.530469 , 0.533405 , 0.530836 , 0.530881 , 0.532986 , 0.533521 , 0.539985 , 0.528215 , 0.542754 , 0.539078 , 0.538607 , 0.534203 , 0.537307 , 0.53562 , 0.539387 , 0.53779 , 0.538324 , 0.543849 , 0.539316 , 0.535002 , 0.536167 , 0.536521 , 0.536631 , 0.536747 , 0.542445 , 0.540043 , 0.537519 , 0.538318 , 0.539 , 0.544003 , 0.538717 , 0.532619 , 0.5443 , 0.545381 , 0.550964 , 0.542947 , 0.551022 , 0.540037 , 0.533212 , 0.53647 , 0.535768 , 0.531621 , 0.543726 , 0.538195 , 0.539979 , 0.529593 , 0.53542 , 0.542072 , 0.543572 , 0.54334 , 0.543256 , 0.539206 , 0.535787 , 0.539548 , 0.54352 , 0.54392 , 0.560912 , 0.541441 , 0.532909 , 0.532014 , 0.535066 , 0.53759 , 0.530436 , 0.532793 , 0.534905 , 0.543289 , 0.533585 , 0.534371 , 0.536521 , 0.530018 , 0.543578 , 0.534203 , 0.538324 , 0.537828 , 0.537204 , 0.541602 , 0.546714 , 0.540468 , 0.523804 , 0.531306 , 0.537178 , 0.538917 , 0.531351 , 0.537848 , 0.53674 , 0.53956 , 0.532928 , 0.537043 , 0.549225 , 0.542587 , 0.535671 , 0.532716 , 0.536978 , 0.525459 , 0.536502 , 0.532201 , 0.533315 , 0.529831 , 0.535143 , 0.54003 , 0.54003 , 0.531267 , 0.529632 , 0.528756 , 0.529155 , 0.529831 , 0.521287 , 0.528749 , 0.520083 , 0.527217 , 0.521795 , 0.529928 , 0.518415 , 0.529142 , 0.521943 , 0.524867 , 0.522059 , 0.512439 , 0.526174 , 0.528524 , 0.534319 , 0.530237 , 0.514506 , 0.532877 , 0.535272 , 0.53665 , 0.536347 , 0.531557 
 311 , 0.516726 , 0.52785 , 0.517732 , 0.519032 , 0.510214 , 0.515395 , 0.519057 , 0.512895 , 0.521294 , 0.513632 , 0.5238 , 0.510783 , 0.520632 , 0.512745 , 0.519138 , 0.511583 , 0.521563 , 0.517519 , 0.513701 , 0.525112 , 0.521569 , 0.520232 , 0.514426 , 0.517444 , 0.515363 , 0.517632 , 0.517726 , 0.521969 , 0.512664 , 0.519469 , 0.513426 , 0.515332 , 0.513014 , 0.515826 , 0.512932 , 0.508414 , 0.513482 , 0.511608 , 0.513576 , 0.509645 , 0.511589 , 0.515257 , 0.514195 , 0.518113 , 0.506083 , 0.524431 , 0.518407 , 0.519769 , 0.515945 , 0.518632 , 0.517863 , 0.518076 , 0.520069 , 0.52 , 0.52315 , 0.519757 , 0.515632 , 0.519938 , 0.516494 , 0.516213 , 0.515463 , 0.524169 , 0.520107 , 0.514495 , 0.515932 , 0.520044 , 0.5246 , 0.519719 , 0.510476 , 0.519525 , 0.526437 , 0.531237 , 0.522119 , 0.532393 , 0.518819 , 0.512157 , 0.516163 , 0.515726 , 0.51177 , 0.52425 , 0.514545 , 0.525587 , 0.506952 , 0.512301 , 0.521756 , 0.526318 , 0.522738 , 0.526212 , 0.519807 , 0.51447 , 0.518132 , 0.523462 , 0.524556 , 0.544191 , 0.520894 , 0.512595 , 0.50972 , 0.515751 , 0.517963 , 0.510889 , 0.508758 , 0.516376 , 0.520788 , 0.51432 , 0.514332 , 0.516494 , 0.510226 , 0.522838 , 0.514282 , 0.52 , 0.520332 , 0.518251 , 0.520944 , 0.527131 , 0.522263 , 0.503658 , 0.510058 , 0.514882 , 0.517088 , 0.512126 , 0.517294 , 0.516151 , 0.519057 , 0.514276 , 0.518194 , 0.529531 , 0.519275 , 0.514007 , 0.51382 , 0.516919 , 0.504608 , 0.518925 , 0.510489 , 0.514551 , 0.51072 , 0.515463 , 0.521875 , 0.517557 , 0.509814 , 0.507683 , 0.507283 , 0.508883 , 0.510595 , 0.501071 , 0.508902 , 0.50099 , 0.509933 , 0.499928 , 0.510101 , 0.498434 , 0.508114 , 0.501871 , 0.508145 , 0.500752 , 0.493628 , 0.506683 , 0.507158 , 0.512807 , 0.513839 , 0.496315 , 0.514763 , 0.513226 , 0.516894 , 0.518269 , 0.511395 
 312 , 0.494748 , 0.506109 , 0.498796 , 0.497624 , 0.489749 , 0.494114 , 0.496859 , 0.492703 , 0.499394 , 0.493397 , 0.504208 , 0.489905 , 0.499478 , 0.493349 , 0.497792 , 0.493791 , 0.499125 , 0.496422 , 0.494347 , 0.502312 , 0.499741 , 0.50071 , 0.495777 , 0.496369 , 0.494114 , 0.497726 , 0.497182 , 0.500489 , 0.492865 , 0.498174 , 0.493391 , 0.495191 , 0.49302 , 0.492918 , 0.492225 , 0.489032 , 0.493128 , 0.490724 , 0.49171 , 0.489097 , 0.492201 , 0.492368 , 0.493175 , 0.498665 , 0.48524 , 0.500895 , 0.49699 , 0.498097 , 0.49348 , 0.497905 , 0.498324 , 0.497708 , 0.499406 , 0.499269 , 0.501989 , 0.497905 , 0.496088 , 0.498533 , 0.49775 , 0.497008 , 0.494658 , 0.501702 , 0.498198 , 0.491154 , 0.494539 , 0.499693 , 0.502575 , 0.4994 , 0.492386 , 0.498641 , 0.506905 , 0.509703 , 0.499526 , 0.510427 , 0.497816 , 0.49363 , 0.495938 , 0.495496 , 0.491411 , 0.501756 , 0.493857 , 0.50355 , 0.487411 , 0.492356 , 0.497624 , 0.505978 , 0.500584 , 0.503849 , 0.501625 , 0.494126 , 0.498133 , 0.504818 , 0.504064 , 0.521393 , 0.499903 , 0.492613 , 0.488643 , 0.49522 , 0.49717 , 0.489032 , 0.490933 , 0.495406 , 0.498551 , 0.49433 , 0.493648 , 0.496321 , 0.488864 , 0.500207 , 0.494658 , 0.497301 , 0.498742 , 0.49699 , 0.501391 , 0.505834 , 0.500004 , 0.483626 , 0.490078 , 0.494957 , 0.495029 , 0.491716 , 0.497385 , 0.493953 , 0.500225 , 0.493325 , 0.49699 , 0.508125 , 0.501158 , 0.492811 , 0.494353 , 0.496088 , 0.485474 , 0.497881 , 0.489265 , 0.491549 , 0.489982 , 0.4954 , 0.501571 , 0.498079 , 0.491202 , 0.488159 , 0.485498 , 0.488541 , 0.490299 , 0.481563 , 0.488547 , 0.481091 , 0.48884 , 0.480839 , 0.491226 , 0.480433 , 0.487238 , 0.483393 , 0.488673 , 0.482657 , 0.473287 , 0.485599 , 0.488206 , 0.492069 , 0.490772 , 0.47724 , 0.49241 , 0.493462 , 0.495729 , 0.495818 , 0.491489 
 313 , 0.474708 , 0.486343 , 0.482223 , 0.478348 , 0.471668 , 0.475028 , 0.476697 , 0.474228 , 0.47948 , 0.475451 , 0.486669 , 0.471062 , 0.479971 , 0.475971 , 0.478829 , 0.47848 , 0.478766 , 0.477251 , 0.477331 , 0.48124 , 0.4798 , 0.483423 , 0.478817 , 0.477103 , 0.475028 , 0.480034 , 0.478909 , 0.481154 , 0.474988 , 0.478909 , 0.475411 , 0.477251 , 0.475074 , 0.471559 , 0.473297 , 0.472057 , 0.47472 , 0.471908 , 0.471937 , 0.470868 , 0.474897 , 0.471399 , 0.474211 , 0.481583 , 0.46673 , 0.479349 , 0.477811 , 0.478434 , 0.473062 , 0.479011 , 0.48072 , 0.479691 , 0.480629 , 0.480577 , 0.482995 , 0.478234 , 0.478663 , 0.478691 , 0.481177 , 0.479869 , 0.47616 , 0.481149 , 0.478377 , 0.470491 , 0.475514 , 0.481383 , 0.482543 , 0.481212 , 0.476685 , 0.480354 , 0.489407 , 0.490309 , 0.479269 , 0.490601 , 0.479069 , 0.477388 , 0.477657 , 0.477428 , 0.473085 , 0.481286 , 0.47568 , 0.48276 , 0.470222 , 0.474988 , 0.475794 , 0.487612 , 0.48052 , 0.483257 , 0.485515 , 0.476114 , 0.480497 , 0.488326 , 0.485549 , 0.500339 , 0.481034 , 0.47468 , 0.469993 , 0.476691 , 0.478611 , 0.469422 , 0.475743 , 0.476263 , 0.478697 , 0.476348 , 0.475137 , 0.478366 , 0.469565 , 0.479897 , 0.477194 , 0.476691 , 0.478926 , 0.477851 , 0.484035 , 0.486635 , 0.479634 , 0.465685 , 0.472497 , 0.477331 , 0.475274 , 0.473268 , 0.479611 , 0.473988 , 0.483583 , 0.474302 , 0.477851 , 0.488881 , 0.485749 , 0.47388 , 0.477017 , 0.477428 , 0.468599 , 0.47868 , 0.470319 , 0.470565 , 0.471234 , 0.47732 , 0.483132 , 0.481137 , 0.474822 , 0.470856 , 0.466056 , 0.470291 , 0.472102 , 0.46421 , 0.470342 , 0.46325 , 0.469451 , 0.464067 , 0.474531 , 0.464473 , 0.468708 , 0.467039 , 0.470885 , 0.466879 , 0.454958 , 0.466485 , 0.471542 , 0.473611 , 0.469513 , 0.459964 , 0.471971 , 0.47604 , 0.476674 , 0.47528 , 0.473645 
 314 , 0.456844 , 0.468721 , 0.467456 , 0.461166 , 0.455534 , 0.45801 , 0.458712 , 0.457769 , 0.461725 , 0.459451 , 0.47105 , 0.454258 , 0.462585 , 0.460481 , 0.461895 , 0.464859 , 0.460613 , 0.460158 , 0.46218 , 0.462448 , 0.462021 , 0.46802 , 0.463714 , 0.459933 , 0.45801 , 0.464273 , 0.462623 , 0.463905 , 0.459051 , 0.46173 , 0.459386 , 0.461248 , 0.459079 , 0.452521 , 0.456416 , 0.456909 , 0.458306 , 0.455134 , 0.454301 , 0.454608 , 0.459468 , 0.452702 , 0.457298 , 0.466354 , 0.450225 , 0.460142 , 0.460706 , 0.460887 , 0.454849 , 0.46218 , 0.465023 , 0.463621 , 0.463895 , 0.463905 , 0.466064 , 0.460684 , 0.463117 , 0.461007 , 0.466415 , 0.464601 , 0.459665 , 0.462815 , 0.460695 , 0.452055 , 0.458547 , 0.465061 , 0.464678 , 0.464985 , 0.462695 , 0.464048 , 0.4738 , 0.473011 , 0.461194 , 0.472907 , 0.46235 , 0.462908 , 0.46138 , 0.46132 , 0.45675 , 0.463034 , 0.459484 , 0.464229 , 0.454904 , 0.459495 , 0.456334 , 0.471214 , 0.462634 , 0.464892 , 0.471165 , 0.460049 , 0.464771 , 0.473647 , 0.469039 , 0.481558 , 0.464207 , 0.458701 , 0.453365 , 0.460169 , 0.462048 , 0.451924 , 0.462218 , 0.459194 , 0.460991 , 0.460317 , 0.458635 , 0.462339 , 0.452351 , 0.461774 , 0.461621 , 0.458301 , 0.461254 , 0.460772 , 0.468562 , 0.46951 , 0.461467 , 0.449688 , 0.456805 , 0.461632 , 0.45766 , 0.456827 , 0.463779 , 0.456175 , 0.468743 , 0.457342 , 0.460772 , 0.471718 , 0.471992 , 0.456991 , 0.46155 , 0.460788 , 0.45354 , 0.461555 , 0.45343 , 0.451852 , 0.454515 , 0.461199 , 0.466694 , 0.466015 , 0.460235 , 0.455446 , 0.448713 , 0.454022 , 0.455863 , 0.448735 , 0.454104 , 0.447344 , 0.452165 , 0.449113 , 0.459643 , 0.450275 , 0.45217 , 0.452461 , 0.45503 , 0.452811 , 0.438611 , 0.449442 , 0.45669 , 0.45715 , 0.450559 , 0.444577 , 0.453748 , 0.460498 , 0.459676 , 0.456959 , 0.457737 
 315 , 0.432536 , 0.442686 , 0.443018 , 0.435567 , 0.431842 , 0.433764 , 0.43407 , 0.432816 , 0.436552 , 0.434717 , 0.445355 , 0.42952 , 0.437298 , 0.435909 , 0.436759 , 0.440489 , 0.435344 , 0.435106 , 0.437951 , 0.436847 , 0.437334 , 0.444262 , 0.437976 , 0.434842 , 0.433308 , 0.440448 , 0.438318 , 0.43923 , 0.433572 , 0.43923 , 0.434583 , 0.436484 , 0.434303 , 0.427753 , 0.430655 , 0.433152 , 0.432909 , 0.430888 , 0.428992 , 0.430852 , 0.435489 , 0.428406 , 0.433158 , 0.441536 , 0.425546 , 0.435153 , 0.435681 , 0.435665 , 0.430012 , 0.436925 , 0.440039 , 0.438562 , 0.438904 , 0.438313 , 0.441401 , 0.435505 , 0.438028 , 0.435199 , 0.441795 , 0.440261 , 0.434261 , 0.437396 , 0.436111 , 0.428214 , 0.433868 , 0.439521 , 0.438204 , 0.4405 , 0.438774 , 0.439526 , 0.448086 , 0.447552 , 0.436277 , 0.447795 , 0.437432 , 0.438277 , 0.435893 , 0.436717 , 0.431199 , 0.437199 , 0.435831 , 0.438614 , 0.431318 , 0.435722 , 0.431396 , 0.446759 , 0.437909 , 0.439173 , 0.445583 , 0.435515 , 0.439769 , 0.448086 , 0.443562 , 0.456682 , 0.440396 , 0.433982 , 0.429038 , 0.435137 , 0.437256 , 0.427308 , 0.438267 , 0.434448 , 0.435448 , 0.436267 , 0.43393 , 0.437816 , 0.427235 , 0.436349 , 0.436785 , 0.432645 , 0.435945 , 0.435795 , 0.443313 , 0.444676 , 0.436194 , 0.426163 , 0.432598 , 0.436676 , 0.433665 , 0.431945 , 0.438945 , 0.43193 , 0.443795 , 0.431738 , 0.436044 , 0.445593 , 0.44722 , 0.431935 , 0.437049 , 0.435479 , 0.430163 , 0.437458 , 0.42822 , 0.427349 , 0.429867 , 0.436634 , 0.442287 , 0.441308 , 0.434925 , 0.431297 , 0.42566 , 0.429795 , 0.430235 , 0.424836 , 0.429484 , 0.42237 , 0.4278 , 0.426406 , 0.4355 , 0.426173 , 0.42823 , 0.427235 , 0.430282 , 0.429246 , 0.414867 , 0.424375 , 0.433085 , 0.433064 , 0.424696 , 0.42081 , 0.429437 , 0.436033 , 0.43507 , 0.432748 , 0.432976 
