MAT_00005.spu,MAT_00004.spu,MAT_00003.spu,MAT_00002.spu,MAT_00001.spu,
Wavelength,MAT_00006.spu,MAT_00007.spu,MAT_00008.spu,MAT_00009.spu,MAT_00010.spu,MAT_00011.spu,MAT_00012.spu,MAT_00013.spu,MAT_00014.spu,MAT_00015.spu,MAT_00016.spu,MAT_00017.spu,MAT_00018.spu,MAT_00019.spu,MAT_00020.spu,MAT_00021.spu,MAT_00022.spu,MAT_00023.spu,MAT_00024.spu,MAT_00025.spu,MAT_00026.spu,MAT_00027.spu,MAT_00028.spu,MAT_00029.spu,MAT_00030.spu,MAT_00031.spu,MAT_00032.spu,MAT_00033.spu,MAT_00034.spu,MAT_00035.spu,MAT_00036.spu,MAT_00037.spu,MAT_00038.spu,MAT_00039.spu,MAT_00040.spu,MAT_00041.spu,MAT_00042.spu,MAT_00043.spu,MAT_00044.spu,MAT_00045.spu,MAT_00046.spu,MAT_00047.spu,MAT_00048.spu,MAT_00049.spu,MAT_00050.spu,MAT_00051.spu,MAT_00052.spu,MAT_00053.spu,MAT_00054.spu,MAT_00055.spu,MAT_00056.spu,MAT_00057.spu,MAT_00058.spu,MAT_00059.spu,MAT_00060.spu,MAT_00061.spu,MAT_00062.spu,MAT_00063.spu,MAT_00064.spu,MAT_00065.spu,MAT_00066.spu,MAT_00067.spu,MAT_00068.spu,MAT_00069.spu,MAT_00070.spu,MAT_00071.spu,MAT_00072.spu,MAT_00073.spu,MAT_00074.spu,MAT_00075.spu,MAT_00076.spu,MAT_00077.spu,MAT_00078.spu,MAT_00079.spu,MAT_00080.spu,MAT_00081.spu,MAT_00082.spu,MAT_00083.spu,MAT_00084.spu,MAT_00085.spu,MAT_00086.spu,MAT_00087.spu,MAT_00088.spu,MAT_00089.spu,MAT_00090.spu,MAT_00091.spu,MAT_00092.spu,MAT_00093.spu,MAT_00094.spu,MAT_00095.spu,MAT_00096.spu,MAT_00097.spu,MAT_00098.spu,MAT_00099.spu,MAT_00100.spu,MAT_00101.spu,MAT_00102.spu,MAT_00103.spu,MAT_00104.spu,MAT_00105.spu,MAT_00106.spu,MAT_00107.spu,MAT_00108.spu,MAT_00109.spu,MAT_00110.spu
  (nm),6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 
  time  ,53:36 AM,54:01 AM,54:15 AM,54:36 AM,54:50 AM,55:48 AM,56:05 AM,56:22 AM,56:36 AM,56:57 AM,57:52 AM,58:05 AM,58:18 AM,58:36 AM,58:51 AM,:00:01 A,:00:19 A,:00:40 A,:00:58 A,:01:13 A,:02:01 A,:02:16 A,:02:31 A,:02:43 A,:03:02 A,:04:21 A,:04:59 A,:05:17 A,:05:32 A,:05:45 A,:07:06 A,:07:30 A,:07:41 A,:07:57 A,:08:12 A,:08:56 A,:09:24 A,:09:38 A,:09:51 A,:10:03 A,:10:58 A,:11:13 A,:11:30 A,:11:46 A,:12:05 A,:13:43 A,:13:57 A,:14:25 A,:14:40 A,:14:53 A,:18:43 A,:19:03 A,:19:22 A,:19:36 A,:19:52 A,:22:00 A,:22:13 A,:22:26 A,:22:37 A,:22:49 A,:23:47 A,:24:06 A,:24:25 A,:24:45 A,:25:00 A,:25:52 A,:26:07 A,:26:23 A,:26:43 A,:27:01 A,:27:56 A,:28:06 A,:28:18 A,:28:32 A,:28:43 A,:30:14 A,:30:29 A,:30:45 A,:30:57 A,:31:10 A,:34:57 A,:35:09 A,:35:27 A,:35:37 A,:35:48 A,:35:51 A,:36:01 A,:36:14 A,:36:23 A,:36:38 A,:38:02 A,:38:19 A,:38:33 A,:38:57 A,:39:12 A,:40:03 A,:40:15 A,:40:26 A,:40:38 A,:40:49 A,:42:26 A,:42:37 A,:42:47 A,:43:01 A,:43:15 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.580181 , 0.574659 , 0.583451 , 0.582801 , 0.575235 , 0.564722 , 0.562959 , 0.562356 , 0.563978 , 0.553658 , 0.566759 , 0.568749 , 0.567824 , 0.572508 , 0.571295 , 0.572937 , 0.560299 , 0.555273 , 0.550951 , 0.557471 , 0.54482 , 0.545738 , 0.551863 , 0.547587 , 0.552519 , 0.537094 , 0.546421 , 0.536725 , 0.540545 , 0.539553 , 0.540136 , 0.548083 , 0.546857 , 0.550717 , 0.560815 , 0.550904 , 0.552472 , 0.550656 , 0.55723 , 0.55583 , 0.563663 , 0.565479 , 0.568159 , 0.570887 , 0.572837 , 0.565593 , 0.5735 , 0.584731 , 0.566008 , 0.560514 , 0.555106 , 0.551192 , 0.557009 , 0.552198 , 0.543808 , 0.543989 , 0.548827 , 0.557324 , 0.550087 , 0.552633 , 0.545725 , 0.55197 , 0.541731 , 0.544291 , 0.537972 , 0.535794 , 0.535613 , 0.539225 , 0.538039 , 0.531271 , 0.537322 , 0.544646 , 0.536826 , 0.536678 , 0.534856 , 0.523712 , 0.538012 , 0.543078 , 0.540873 , 0.536578 , 0.54094 , 0.540317 , 0.540907 , 0.538534 , 0.534253 , 0.534715 , 0.537348 , 0.530848 , 0.537382 , 0.539332 , 0.535485 , 0.532443 , 0.527619 , 0.521628 , 0.537838 , 0.537998 , 0.538018 , 0.542588 , 0.539761 , 0.543507 , 0.551755 , 0.543024 , 0.541811 , 0.54685 , 0.547185 
 311 , 0.559538 , 0.552422 , 0.56443 , 0.564423 , 0.555794 , 0.546676 , 0.542599 , 0.544295 , 0.543688 , 0.532183 , 0.546108 , 0.547387 , 0.550863 , 0.553452 , 0.550022 , 0.557372 , 0.540975 , 0.537923 , 0.531661 , 0.538438 , 0.52645 , 0.528563 , 0.52823 , 0.527474 , 0.531909 , 0.519008 , 0.527402 , 0.518421 , 0.522041 , 0.520684 , 0.52251 , 0.528713 , 0.527565 , 0.5323 , 0.540375 , 0.531922 , 0.5335 , 0.533827 , 0.538692 , 0.538555 , 0.544119 , 0.547915 , 0.548045 , 0.555142 , 0.553381 , 0.545626 , 0.553961 , 0.564775 , 0.547243 , 0.539625 , 0.536044 , 0.533285 , 0.539749 , 0.535561 , 0.523554 , 0.525119 , 0.528765 , 0.541856 , 0.531081 , 0.536677 , 0.526874 , 0.531146 , 0.522895 , 0.528002 , 0.51814 , 0.517279 , 0.516744 , 0.520279 , 0.517247 , 0.512681 , 0.516855 , 0.525171 , 0.516823 , 0.516464 , 0.516797 , 0.501847 , 0.521088 , 0.525426 , 0.520416 , 0.518003 , 0.522021 , 0.521512 , 0.523358 , 0.519432 , 0.516542 , 0.516516 , 0.52191 , 0.516014 , 0.518884 , 0.52073 , 0.517103 , 0.514898 , 0.510815 , 0.501345 , 0.524793 , 0.520129 , 0.521825 , 0.524669 , 0.522073 , 0.524682 , 0.532581 , 0.524819 , 0.523019 , 0.529006 , 0.527695 
 312 , 0.538328 , 0.535577 , 0.542558 , 0.543278 , 0.537639 , 0.526892 , 0.521791 , 0.524586 , 0.526359 , 0.514215 , 0.527117 , 0.530426 , 0.530332 , 0.532688 , 0.527619 , 0.534762 , 0.521383 , 0.516596 , 0.513406 , 0.520017 , 0.507065 , 0.509665 , 0.512303 , 0.509834 , 0.51209 , 0.500053 , 0.509358 , 0.499915 , 0.501889 , 0.500548 , 0.502497 , 0.508042 , 0.507033 , 0.512535 , 0.521665 , 0.511595 , 0.512228 , 0.515249 , 0.520343 , 0.519347 , 0.524843 , 0.526509 , 0.525287 , 0.533014 , 0.533691 , 0.525676 , 0.533735 , 0.54111 , 0.528546 , 0.521415 , 0.516552 , 0.514133 , 0.518745 , 0.515963 , 0.503098 , 0.506244 , 0.510693 , 0.520042 , 0.509903 , 0.51607 , 0.508425 , 0.513294 , 0.503975 , 0.509302 , 0.501036 , 0.499301 , 0.499695 , 0.500679 , 0.499564 , 0.495998 , 0.497302 , 0.505222 , 0.497226 , 0.498806 , 0.496888 , 0.484788 , 0.501763 , 0.504702 , 0.500667 , 0.498969 , 0.504928 , 0.5039 , 0.504301 , 0.500855 , 0.498831 , 0.497696 , 0.503129 , 0.497076 , 0.500404 , 0.50172 , 0.496794 , 0.495748 , 0.492414 , 0.485314 , 0.502133 , 0.501688 , 0.50249 , 0.505918 , 0.502559 , 0.507422 , 0.514465 , 0.505755 , 0.501864 , 0.507691 , 0.508211 
 313 , 0.518859 , 0.521131 , 0.522483 , 0.523938 , 0.521275 , 0.508778 , 0.502971 , 0.506674 , 0.510942 , 0.498336 , 0.51022 , 0.515697 , 0.511441 , 0.513965 , 0.507287 , 0.513569 , 0.503782 , 0.496917 , 0.497188 , 0.503386 , 0.489511 , 0.492451 , 0.498787 , 0.4942 , 0.494236 , 0.482785 , 0.493263 , 0.48326 , 0.483657 , 0.482262 , 0.484161 , 0.489133 , 0.488532 , 0.494489 , 0.505009 , 0.49301 , 0.492685 , 0.498396 , 0.503776 , 0.501811 , 0.507618 , 0.50674 , 0.50448 , 0.512354 , 0.515865 , 0.507587 , 0.515456 , 0.519592 , 0.511639 , 0.505429 , 0.498811 , 0.496737 , 0.499244 , 0.497915 , 0.484696 , 0.489241 , 0.494555 , 0.499671 , 0.490545 , 0.496899 , 0.491802 , 0.497513 , 0.486824 , 0.492006 , 0.485911 , 0.483007 , 0.484582 , 0.483043 , 0.483801 , 0.48118 , 0.479779 , 0.487161 , 0.479587 , 0.483278 , 0.478619 , 0.469915 , 0.484041 , 0.485706 , 0.482929 , 0.481679 , 0.4898 , 0.488147 , 0.486855 , 0.483951 , 0.482647 , 0.480675 , 0.485947 , 0.479671 , 0.483885 , 0.484769 , 0.478078 , 0.478282 , 0.475589 , 0.471303 , 0.480392 , 0.485123 , 0.48457 , 0.489007 , 0.484757 , 0.492018 , 0.498336 , 0.488417 , 0.482412 , 0.488159 , 0.490503 
 314 , 0.50137 , 0.508164 , 0.504441 , 0.506539 , 0.506603 , 0.492495 , 0.486042 , 0.490558 , 0.497115 , 0.484076 , 0.495022 , 0.502469 , 0.494461 , 0.497115 , 0.489003 , 0.494519 , 0.487939 , 0.479219 , 0.482602 , 0.488448 , 0.473721 , 0.476982 , 0.486661 , 0.480156 , 0.478184 , 0.467262 , 0.478797 , 0.468286 , 0.467262 , 0.465822 , 0.467673 , 0.472136 , 0.471888 , 0.478271 , 0.490038 , 0.4763 , 0.475114 , 0.483244 , 0.488887 , 0.486031 , 0.492119 , 0.488968 , 0.485776 , 0.493784 , 0.499844 , 0.491333 , 0.499011 , 0.500249 , 0.49645 , 0.491061 , 0.482879 , 0.481099 , 0.481723 , 0.481694 , 0.468153 , 0.473952 , 0.480046 , 0.481359 , 0.473137 , 0.479659 , 0.47686 , 0.48333 , 0.471419 , 0.476467 , 0.47231 , 0.468372 , 0.471003 , 0.46717 , 0.469644 , 0.467858 , 0.464019 , 0.470916 , 0.463729 , 0.469321 , 0.462191 , 0.456548 , 0.468101 , 0.468627 , 0.466979 , 0.466141 , 0.476195 , 0.473981 , 0.471165 , 0.468766 , 0.468106 , 0.465371 , 0.470483 , 0.464013 , 0.46902 , 0.469506 , 0.461255 , 0.462573 , 0.460463 , 0.45874 , 0.460862 , 0.470217 , 0.468459 , 0.473796 , 0.468742 , 0.478184 , 0.483822 , 0.472819 , 0.464932 , 0.470587 , 0.474588 
 315 , 0.476731 , 0.483929 , 0.479519 , 0.481438 , 0.483088 , 0.468709 , 0.46194 , 0.466982 , 0.473591 , 0.460208 , 0.471227 , 0.478518 , 0.470017 , 0.472541 , 0.465723 , 0.470243 , 0.46404 , 0.45593 , 0.459202 , 0.464926 , 0.450487 , 0.454006 , 0.464772 , 0.4578 , 0.45543 , 0.443828 , 0.455809 , 0.44512 , 0.444427 , 0.442756 , 0.445532 , 0.447842 , 0.448095 , 0.455166 , 0.466729 , 0.453258 , 0.451751 , 0.458745 , 0.464095 , 0.462187 , 0.468252 , 0.464838 , 0.461077 , 0.4679 , 0.476231 , 0.46751 , 0.475302 , 0.475472 , 0.473014 , 0.468214 , 0.458734 , 0.457943 , 0.45764 , 0.457519 , 0.44473 , 0.450987 , 0.456975 , 0.457035 , 0.449167 , 0.456304 , 0.454165 , 0.460565 , 0.447391 , 0.453731 , 0.450399 , 0.444301 , 0.448864 , 0.443883 , 0.44749 , 0.445692 , 0.441546 , 0.448315 , 0.440738 , 0.446599 , 0.439181 , 0.435827 , 0.444262 , 0.445224 , 0.443905 , 0.442233 , 0.454193 , 0.450981 , 0.448765 , 0.445879 , 0.444801 , 0.442338 , 0.446022 , 0.441111 , 0.44711 , 0.44749 , 0.438346 , 0.440435 , 0.438604 , 0.435877 , 0.436471 , 0.447996 , 0.445637 , 0.450602 , 0.445769 , 0.455402 , 0.46117 , 0.449909 , 0.441892 , 0.446396 , 0.45019 
