NANT_00005.spu,NANT_00004.spu,NANT_00003.spu,NANT_00002.spu,NANT_00001.spu,
Wavelength,NANT_00016.spu,NANT_00017.spu,NANT_00018.spu,NANT_00019.spu,NANT_00020.spu,NANT_00021.spu,NANT_00022.spu,NANT_00023.spu,NANT_00024.spu,NANT_00025.spu,NANT_00026.spu,NANT_00027.spu,NANT_00028.spu,NANT_00029.spu,NANT_00030.spu,NANT_00031.spu,NANT_00032.spu,NANT_00033.spu,NANT_00034.spu,NANT_00035.spu
  (nm),6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 
  time  ,:41:31 A,:41:39 A,:41:48 A,:41:57 A,:42:05 A,:42:49 A,:42:58 A,:43:09 A,:43:25 A,:43:42 A,:44:21 A,:44:31 A,:44:41 A,:44:50 A,:45:02 A,:45:38 A,:45:47 A,:45:57 A,:46:08 A,:46:19 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.022353 , 0.017437 , 0.013238 , 0.003457 , 0.010344 , 0.025989 , 0.044765 , 0.041341 , 0.032859 , 0.032376 , 0.034808 , 0.027017 , 0.035273 , 0.046119 , 0.046964 , 0.026622 , 0.003446 , 0.009931 , 0.032921 , 0.01604 
 311 , 0.023694 , 0.018902 , 0.018003 , 0.004683 , 0.009763 , 0.020068 , 0.043169 , 0.038552 , 0.033777 , 0.032889 , 0.029701 , 0.028121 , 0.036983 , 0.03956 , 0.043962 , 0.031825 , 0.004743 , 0.013397 , 0.038117 , 0.015068 
 312 , 0.025408 , 0.01891 , 0.017318 , 0.006749 , 0.006644 , 0.02222 , 0.045719 , 0.038694 , 0.03173 , 0.031463 , 0.03217 , 0.028229 , 0.036004 , 0.036746 , 0.038967 , 0.030369 , 0.006791 , 0.011872 , 0.033763 , 0.016862 
 313 , 0.026939 , 0.018728 , 0.01603 , 0.00863 , 0.003667 , 0.025141 , 0.048516 , 0.03919 , 0.029643 , 0.02997 , 0.035181 , 0.028187 , 0.034803 , 0.034836 , 0.034446 , 0.028241 , 0.008614 , 0.009898 , 0.028771 , 0.018664 
 314 , 0.028276 , 0.018598 , 0.014942 , 0.01023 , 0.001157 , 0.027701 , 0.051047 , 0.039654 , 0.027879 , 0.028715 , 0.037684 , 0.028151 , 0.033826 , 0.033231 , 0.030632 , 0.026448 , 0.010131 , 0.008206 , 0.024526 , 0.020101 
 315 , 0.028574 , 0.018863 , 0.015392 , 0.012221 , 0.002849 , 0.028999 , 0.049445 , 0.039928 , 0.027919 , 0.028761 , 0.037594 , 0.029289 , 0.033649 , 0.03332 , 0.029393 , 0.026898 , 0.01117 , 0.009377 , 0.023502 , 0.022515 
 316 , 0.028007 , 0.019429 , 0.017025 , 0.014397 , 0.007844 , 0.029163 , 0.044618 , 0.040027 , 0.029406 , 0.029845 , 0.035423 , 0.031315 , 0.034123 , 0.034755 , 0.030263 , 0.02913 , 0.011767 , 0.01277 , 0.025119 , 0.025678 
 317 , 0.027507 , 0.01986 , 0.018271 , 0.016119 , 0.011865 , 0.029222 , 0.040708 , 0.040062 , 0.030686 , 0.030684 , 0.033663 , 0.032937 , 0.03441 , 0.035834 , 0.030875 , 0.030852 , 0.012246 , 0.015438 , 0.026299 , 0.028334 
 318 , 0.026972 , 0.020161 , 0.019067 , 0.017512 , 0.015009 , 0.029215 , 0.037808 , 0.039803 , 0.031584 , 0.031406 , 0.032226 , 0.034045 , 0.034513 , 0.036447 , 0.03112 , 0.032061 , 0.012851 , 0.017503 , 0.026924 , 0.030144 
 319 , 0.025666 , 0.020134 , 0.018167 , 0.018584 , 0.016261 , 0.02899 , 0.037958 , 0.037487 , 0.030736 , 0.032262 , 0.031267 , 0.033134 , 0.033962 , 0.035117 , 0.029679 , 0.03182 , 0.015015 , 0.018502 , 0.025334 , 0.028176 
 320 , 0.024661 , 0.020088 , 0.017484 , 0.019423 , 0.017203 , 0.028862 , 0.038028 , 0.035686 , 0.030063 , 0.033024 , 0.030509 , 0.032448 , 0.03352 , 0.034087 , 0.028547 , 0.031618 , 0.016686 , 0.019267 , 0.024081 , 0.026623 
 321 , 0.023869 , 0.020027 , 0.016954 , 0.0201 , 0.017931 , 0.028801 , 0.038039 , 0.034244 , 0.029514 , 0.033723 , 0.02989 , 0.031921 , 0.033152 , 0.033265 , 0.027633 , 0.031443 , 0.018009 , 0.019868 , 0.023061 , 0.025364 
 322 , 0.02363 , 0.020746 , 0.018042 , 0.019961 , 0.018618 , 0.028889 , 0.036649 , 0.032934 , 0.030588 , 0.033401 , 0.029136 , 0.031774 , 0.03316 , 0.032084 , 0.027056 , 0.031481 , 0.017728 , 0.020863 , 0.024215 , 0.024604 
 323 , 0.023572 , 0.021571 , 0.019379 , 0.019622 , 0.019182 , 0.028995 , 0.035097 , 0.031872 , 0.031989 , 0.032838 , 0.028465 , 0.031731 , 0.033282 , 0.03102 , 0.026674 , 0.031554 , 0.017068 , 0.021847 , 0.025808 , 0.024096 
 324 , 0.023511 , 0.02224 , 0.020416 , 0.019353 , 0.019627 , 0.029059 , 0.033872 , 0.031032 , 0.03318 , 0.032358 , 0.027937 , 0.031659 , 0.0334 , 0.030219 , 0.026388 , 0.031594 , 0.016567 , 0.02268 , 0.027115 , 0.023695 
 325 , 0.023787 , 0.02264 , 0.021132 , 0.019791 , 0.020039 , 0.028677 , 0.033084 , 0.030322 , 0.033405 , 0.032114 , 0.027809 , 0.032122 , 0.033902 , 0.029968 , 0.026511 , 0.031614 , 0.01681 , 0.023604 , 0.02825 , 0.023787 
 326 , 0.024573 , 0.022704 , 0.021509 , 0.021258 , 0.020456 , 0.027635 , 0.032798 , 0.029699 , 0.03226 , 0.032182 , 0.028222 , 0.03342 , 0.034994 , 0.030438 , 0.027215 , 0.031621 , 0.018104 , 0.024717 , 0.029249 , 0.024573 
 327 , 0.025187 , 0.022776 , 0.021822 , 0.0224 , 0.02079 , 0.026787 , 0.032577 , 0.02919 , 0.031306 , 0.03225 , 0.028552 , 0.034515 , 0.035896 , 0.03079 , 0.027817 , 0.031622 , 0.019109 , 0.02557 , 0.03005 , 0.025187 
 328 , 0.025675 , 0.022851 , 0.02209 , 0.023307 , 0.021062 , 0.026081 , 0.032402 , 0.028763 , 0.030493 , 0.032314 , 0.028821 , 0.035453 , 0.03665 , 0.031055 , 0.028339 , 0.03162 , 0.019907 , 0.026234 , 0.030706 , 0.025675 
 329 , 0.025183 , 0.022865 , 0.022269 , 0.023219 , 0.020559 , 0.026377 , 0.032893 , 0.02915 , 0.030901 , 0.032033 , 0.028464 , 0.03493 , 0.036041 , 0.030293 , 0.027679 , 0.03245 , 0.01994 , 0.025569 , 0.030674 , 0.025183 
 330 , 0.024731 , 0.022869 , 0.022424 , 0.02311 , 0.020099 , 0.026649 , 0.033331 , 0.029501 , 0.031259 , 0.031782 , 0.028153 , 0.034429 , 0.035465 , 0.029597 , 0.027076 , 0.033196 , 0.019948 , 0.024946 , 0.030629 , 0.024731 
 331 , 0.024347 , 0.02286 , 0.022564 , 0.023021 , 0.019698 , 0.026869 , 0.033703 , 0.029798 , 0.031536 , 0.031562 , 0.027908 , 0.033976 , 0.034949 , 0.028983 , 0.02655 , 0.033848 , 0.019966 , 0.024404 , 0.030597 , 0.024347 
 332 , 0.024214 , 0.022847 , 0.022523 , 0.022956 , 0.019568 , 0.026982 , 0.033826 , 0.02953 , 0.031998 , 0.031437 , 0.027933 , 0.03389 , 0.034675 , 0.029092 , 0.026645 , 0.034089 , 0.020022 , 0.024161 , 0.030564 , 0.024078 
 333 , 0.024234 , 0.02283 , 0.022378 , 0.022907 , 0.019602 , 0.027024 , 0.033795 , 0.028949 , 0.03255 , 0.031368 , 0.028111 , 0.034012 , 0.034551 , 0.029615 , 0.027093 , 0.034075 , 0.020093 , 0.0241 , 0.03053 , 0.023887 
 334 , 0.024248 , 0.022812 , 0.022237 , 0.022861 , 0.019647 , 0.027048 , 0.033764 , 0.028435 , 0.03305 , 0.031286 , 0.028252 , 0.034104 , 0.034437 , 0.030075 , 0.027478 , 0.034048 , 0.020138 , 0.02405 , 0.030486 , 0.023701 
 335 , 0.024431 , 0.022889 , 0.022284 , 0.02291 , 0.019775 , 0.027181 , 0.033651 , 0.028199 , 0.033432 , 0.031371 , 0.028466 , 0.034237 , 0.034518 , 0.030423 , 0.027808 , 0.034136 , 0.02022 , 0.024098 , 0.0306 , 0.023687 
 336 , 0.025231 , 0.023323 , 0.022973 , 0.023307 , 0.020192 , 0.027726 , 0.033274 , 0.028792 , 0.033531 , 0.032041 , 0.029021 , 0.034553 , 0.035243 , 0.030518 , 0.028086 , 0.034637 , 0.020473 , 0.024485 , 0.031272 , 0.024242 
 337 , 0.025909 , 0.023668 , 0.023557 , 0.023623 , 0.020542 , 0.028187 , 0.032931 , 0.029303 , 0.033606 , 0.032634 , 0.029476 , 0.034839 , 0.035884 , 0.030589 , 0.028315 , 0.035069 , 0.020683 , 0.0248 , 0.03185 , 0.024731 
 338 , 0.026488 , 0.023942 , 0.024056 , 0.023873 , 0.02084 , 0.028578 , 0.032617 , 0.029748 , 0.033662 , 0.033162 , 0.02985 , 0.0351 , 0.036455 , 0.030642 , 0.028505 , 0.035447 , 0.020858 , 0.025056 , 0.032354 , 0.025168 
 339 , 0.026507 , 0.024315 , 0.024047 , 0.02411 , 0.020943 , 0.028458 , 0.03291 , 0.029861 , 0.034038 , 0.033407 , 0.029742 , 0.035347 , 0.036533 , 0.030598 , 0.028801 , 0.035531 , 0.021176 , 0.025248 , 0.032982 , 0.025254 
 340 , 0.026433 , 0.024668 , 0.023953 , 0.024325 , 0.020999 , 0.028264 , 0.033283 , 0.029904 , 0.034441 , 0.033581 , 0.029565 , 0.035576 , 0.036518 , 0.030549 , 0.029104 , 0.035555 , 0.021493 , 0.025403 , 0.033581 , 0.025276 
 341 , 0.026375 , 0.024987 , 0.023874 , 0.024529 , 0.021045 , 0.028097 , 0.033632 , 0.029937 , 0.034817 , 0.033737 , 0.029417 , 0.035788 , 0.0365 , 0.030521 , 0.029403 , 0.035572 , 0.021784 , 0.025536 , 0.03413 , 0.025296 
