LMAT_00180.spu,LMAT_00181.spu,LMAT_00182.spu,LMAT_00183.spu,LMAT_00184.spu,
Wavelength,LMAT_00135.spu,LMAT_00136.spu,LMAT_00137.spu,LMAT_00138.spu,LMAT_00139.spu,LMAT_00140.spu,LMAT_00141.spu,LMAT_00142.spu,LMAT_00143.spu,LMAT_00144.spu,LMAT_00145.spu,LMAT_00146.spu,LMAT_00147.spu,LMAT_00148.spu,LMAT_00149.spu,LMAT_00150.spu,LMAT_00151.spu,LMAT_00152.spu,LMAT_00153.spu,LMAT_00154.spu
  (nm),6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 
  time  ,:31:08 A,:31:21 A,:31:30 A,:31:38 A,:31:48 A,:32:14 A,:32:23 A,:32:32 A,:32:40 A,:32:48 A,:33:15 A,:33:25 A,:33:33 A,:33:43 A,:33:54 A,:34:21 A,:34:30 A,:34:39 A,:34:46 A,:34:56 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000111 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001063 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001805 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0024 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000246 , 0 , 0 , 0 , 0.000492 , 0.003248 , 0.00123 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000475 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000513 , 0 , 0 , 0 , 0.001026 , 0.00402 , 0.002594 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001009 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000719 , 0 , 0 , 0 , 0.001437 , 0.004625 , 0.003671 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001439 
 325 , 0.000246 , 0.000082 , 0 , 0.000164 , 0.000641 , 0.000312 , 0.001596 , 0 , 0.00024 , 0 , 0.002542 , 0.005647 , 0.004918 , 0.000483 , 0.000546 , 0.000893 , 0.000398 , 0 , 0.000238 , 0.002408 
 326 , 0.000867 , 0.00029 , 0 , 0.00058 , 0.002255 , 0.001096 , 0.003556 , 0 , 0.000843 , 0 , 0.004778 , 0.007389 , 0.006545 , 0.001688 , 0.001927 , 0.003133 , 0.001399 , 0 , 0.000841 , 0.004228 
 327 , 0.001367 , 0.000459 , 0 , 0.000918 , 0.003559 , 0.001724 , 0.005174 , 0 , 0.001327 , 0 , 0.006595 , 0.008794 , 0.00783 , 0.002646 , 0.003041 , 0.004926 , 0.002207 , 0 , 0.001333 , 0.005672 
 328 , 0.001778 , 0.000599 , 0 , 0.001198 , 0.004631 , 0.002238 , 0.006538 , 0 , 0.001722 , 0 , 0.008104 , 0.00995 , 0.008865 , 0.003422 , 0.00396 , 0.00639 , 0.002873 , 0 , 0.00174 , 0.006844 
 329 , 0.002116 , 0.000397 , 0 , 0.002206 , 0.005374 , 0.003002 , 0.007786 , 0 , 0.002229 , 0.000305 , 0.008597 , 0.010866 , 0.009589 , 0.003505 , 0.004306 , 0.006537 , 0.003923 , 0.000309 , 0.002377 , 0.007767 
 330 , 0.002401 , 0.000215 , 0 , 0.003091 , 0.005995 , 0.003669 , 0.008844 , 0 , 0.002677 , 0.00058 , 0.008982 , 0.011664 , 0.010191 , 0.003553 , 0.004584 , 0.006616 , 0.004841 , 0.000586 , 0.002934 , 0.008562 
 331 , 0.002643 , 0.000059 , 0 , 0.003852 , 0.006525 , 0.004248 , 0.009746 , 0 , 0.003073 , 0.00082 , 0.009309 , 0.012375 , 0.010703 , 0.003595 , 0.004825 , 0.006679 , 0.005638 , 0.000828 , 0.003418 , 0.009261 
 332 , 0.003374 , 0.000978 , 0.000535 , 0.004509 , 0.007271 , 0.004939 , 0.010642 , 0.000817 , 0.003761 , 0.001693 , 0.010141 , 0.01326 , 0.011322 , 0.004267 , 0.005226 , 0.007536 , 0.006283 , 0.001773 , 0.004349 , 0.00995 
 333 , 0.004366 , 0.00249 , 0.001346 , 0.005076 , 0.008115 , 0.00566 , 0.011498 , 0.002074 , 0.004586 , 0.002901 , 0.011231 , 0.014188 , 0.011987 , 0.005278 , 0.005705 , 0.008831 , 0.006806 , 0.003065 , 0.005498 , 0.010598 
 334 , 0.005244 , 0.003818 , 0.00204 , 0.005576 , 0.00886 , 0.006286 , 0.012246 , 0.003171 , 0.005308 , 0.003963 , 0.012185 , 0.014975 , 0.012588 , 0.006162 , 0.006129 , 0.009981 , 0.00726 , 0.004172 , 0.006502 , 0.011167 
 335 , 0.006037 , 0.004864 , 0.00266 , 0.006008 , 0.009462 , 0.006881 , 0.012924 , 0.003998 , 0.005981 , 0.004815 , 0.012973 , 0.015638 , 0.013198 , 0.006966 , 0.006586 , 0.010935 , 0.007799 , 0.005088 , 0.007347 , 0.01173 
 336 , 0.006763 , 0.005297 , 0.003271 , 0.006343 , 0.009763 , 0.007567 , 0.013576 , 0.0042 , 0.006701 , 0.005231 , 0.01345 , 0.016147 , 0.01399 , 0.007753 , 0.007282 , 0.011501 , 0.008785 , 0.00572 , 0.007931 , 0.012453 
 337 , 0.007381 , 0.00567 , 0.003804 , 0.006628 , 0.010025 , 0.008168 , 0.014144 , 0.004373 , 0.007316 , 0.005587 , 0.013872 , 0.016585 , 0.014649 , 0.008441 , 0.007886 , 0.011988 , 0.009634 , 0.006278 , 0.008426 , 0.013063 
 338 , 0.007915 , 0.005993 , 0.004273 , 0.006873 , 0.010257 , 0.0087 , 0.014642 , 0.004524 , 0.007847 , 0.005893 , 0.014248 , 0.016967 , 0.015204 , 0.00905 , 0.008416 , 0.012412 , 0.010373 , 0.006774 , 0.008848 , 0.013583 
 339 , 0.00871 , 0.006785 , 0.005111 , 0.007706 , 0.011228 , 0.009644 , 0.015514 , 0.005151 , 0.008583 , 0.006752 , 0.015011 , 0.017759 , 0.016139 , 0.009693 , 0.009249 , 0.013308 , 0.011212 , 0.007609 , 0.00971 , 0.014537 
