HST_00005.spu,HST_00004.spu,HST_00003.spu,HST_00002.spu,HST_00001.spu,
Wavelength,HST_00006.spu,HST_00007.spu,HST_00008.spu,HST_00009.spu,HST_00010.spu,HST_00011.spu,HST_00012.spu,HST_00013.spu,HST_00014.spu,HST_00015.spu,HST_00016.spu,HST_00017.spu,HST_00018.spu,HST_00019.spu,HST_00020.spu,HST_00021.spu,HST_00022.spu,HST_00023.spu,HST_00024.spu,HST_00025.spu,HST_00026.spu,HST_00027.spu,HST_00028.spu,HST_00029.spu,HST_00030.spu,HST_00031.spu,HST_00032.spu,HST_00033.spu,HST_00034.spu,HST_00035.spu,HST_00036.spu,HST_00037.spu,HST_00038.spu,HST_00039.spu,HST_00040.spu,HST_00041.spu,HST_00042.spu,HST_00043.spu,HST_00044.spu,HST_00045.spu
  (nm),7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 
  time  ,27:02 PM,27:17 PM,27:27 PM,27:46 PM,28:00 PM,28:46 PM,29:15 PM,29:26 PM,29:37 PM,29:49 PM,30:53 PM,31:06 PM,31:19 PM,31:33 PM,31:48 PM,32:14 PM,32:26 PM,32:37 PM,32:53 PM,33:05 PM,33:58 PM,34:09 PM,34:20 PM,34:29 PM,34:41 PM,35:13 PM,35:23 PM,35:51 PM,36:03 PM,36:13 PM,37:14 PM,37:25 PM,37:35 PM,37:45 PM,37:54 PM,38:14 PM,38:22 PM,38:33 PM,38:41 PM,38:51 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.005882 , 0.01089 , 0.030949 , 0 , 0 , 0 , 0.033268 , 0.026197 , 0.028097 , 0.030746 , 0.045579 , 0.030592 , 0.018219 , 0.030926 , 0.012141 , 0.018334 , 0.030376 , 0.018442 , 0.027091 , 0.01425 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.017171 , 0.02587 , 0.036707 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0.007957 , 0.014917 , 0.02961 , 0 , 0 , 0 , 0.032582 , 0.030344 , 0.029075 , 0.032702 , 0.047169 , 0.038229 , 0.020673 , 0.034362 , 0.012621 , 0.017288 , 0.033086 , 0.013723 , 0.027629 , 0.019253 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.012697 , 0.03342 , 0.044542 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0.009429 , 0.015217 , 0.0277 , 0 , 0 , 0.001117 , 0.031335 , 0.030314 , 0.026566 , 0.027175 , 0.039273 , 0.033488 , 0.022082 , 0.034735 , 0.017312 , 0.020304 , 0.030887 , 0.017534 , 0.028069 , 0.019283 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.021467 , 0.028956 , 0.039037 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0.010593 , 0.015017 , 0.02607 , 0 , 0 , 0.002227 , 0.030225 , 0.029796 , 0.024052 , 0.021684 , 0.031537 , 0.028067 , 0.023129 , 0.03468 , 0.021755 , 0.023277 , 0.028517 , 0.021743 , 0.02844 , 0.018699 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.030276 , 0.023719 , 0.032795 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0.011564 , 0.014877 , 0.024689 , 0 , 0 , 0.003192 , 0.029281 , 0.029411 , 0.021965 , 0.017154 , 0.025131 , 0.023605 , 0.023989 , 0.034622 , 0.025422 , 0.025657 , 0.026522 , 0.025173 , 0.028783 , 0.018229 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.037398 , 0.019364 , 0.027623 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.013634 , 0.01421 , 0.02433 , 0 , 0 , 0.007201 , 0.028921 , 0.027551 , 0.020441 , 0.01608 , 0.02316 , 0.021556 , 0.023687 , 0.03449 , 0.02722 , 0.027024 , 0.026204 , 0.025757 , 0.028793 , 0.02007 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.038063 , 0.020302 , 0.024398 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
