LMAT_00005.spu,LMAT_00004.spu,LMAT_00003.spu,LMAT_00002.spu,LMAT_00001.spu,
Wavelength,LMAT_00040.spu,LMAT_00039.spu,LMAT_00038.spu,LMAT_00037.spu,LMAT_00036.spu,LMAT_00035.spu,LMAT_00034.spu,LMAT_00033.spu,LMAT_00032.spu,LMAT_00031.spu,LMAT_00030.spu,LMAT_00029.spu,LMAT_00028.spu,LMAT_00027.spu,LMAT_00026.spu,LMAT_00025.spu,LMAT_00024.spu,LMAT_00023.spu,LMAT_00022.spu,LMAT_00021.spu,LMAT_00020.spu,LMAT_00019.spu,LMAT_00018.spu,LMAT_00017.spu,LMAT_00016.spu,LMAT_00015.spu,LMAT_00014.spu,LMAT_00013.spu,LMAT_00012.spu,LMAT_00011.spu,LMAT_00010.spu,LMAT_00009.spu,LMAT_00008.spu,LMAT_00007.spu,LMAT_00006.spu
  (nm),7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 
  time  ,:43:31 A,:43:16 A,:43:02 A,:42:45 A,:42:31 A,:41:06 A,:40:54 A,:40:39 A,:40:24 A,:40:08 A,:39:34 A,:39:21 A,:39:07 A,:38:54 A,:38:42 A,:38:13 A,:37:54 A,:37:34 A,:37:23 A,:37:12 A,:36:37 A,:36:24 A,:36:09 A,:35:51 A,:35:32 A,:35:01 A,:34:50 A,:34:31 A,:34:16 A,:33:59 A,:33:23 A,:33:13 A,:32:57 A,:32:42 A,:32:25 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.045531 , 0.045011 , 0.036354 , 0.053646 , 0.063171 , 0.038449 , 0.048294 , 0.053625 , 0.046199 , 0.050667 , 0.046399 , 0.040565 , 0.053113 , 0.046741 , 0.037078 , 0.044187 , 0.044959 , 0.048489 , 0.049292 , 0.053429 , 0.042036 , 0.050597 , 0.043411 , 0.045388 , 0.045406 , 0.052857 , 0.054193 , 0.042599 , 0.058547 , 0.043445 , 0.059688 , 0.045783 , 0.046477 , 0.049296 , 0.051725 
 311 , 0.041741 , 0.039079 , 0.033102 , 0.049546 , 0.056868 , 0.033919 , 0.045719 , 0.050866 , 0.04509 , 0.048766 , 0.041485 , 0.037197 , 0.049068 , 0.042281 , 0.032628 , 0.040538 , 0.037742 , 0.042457 , 0.04182 , 0.049093 , 0.037369 , 0.045593 , 0.033994 , 0.041732 , 0.042118 , 0.049885 , 0.05004 , 0.037746 , 0.056194 , 0.042235 , 0.05287 , 0.043702 , 0.042579 , 0.046641 , 0.047768 
 312 , 0.03922 , 0.037666 , 0.0317 , 0.043639 , 0.049294 , 0.029271 , 0.040318 , 0.043107 , 0.039083 , 0.044156 , 0.038201 , 0.031464 , 0.040504 , 0.038441 , 0.029154 , 0.032824 , 0.033212 , 0.036548 , 0.035386 , 0.043217 , 0.032406 , 0.038232 , 0.030567 , 0.035515 , 0.036731 , 0.040238 , 0.04419 , 0.033862 , 0.046645 , 0.034386 , 0.045915 , 0.039026 , 0.035652 , 0.040493 , 0.041979 
 313 , 0.037262 , 0.037056 , 0.03076 , 0.038486 , 0.042761 , 0.025396 , 0.03547 , 0.036025 , 0.03346 , 0.039945 , 0.035659 , 0.026406 , 0.032801 , 0.035366 , 0.026375 , 0.025895 , 0.029781 , 0.031694 , 0.030105 , 0.038114 , 0.028247 , 0.031788 , 0.028457 , 0.03004 , 0.032032 , 0.031405 , 0.039083 , 0.030722 , 0.037911 , 0.02704 , 0.040148 , 0.03488 , 0.029436 , 0.034877 , 0.036925 
 314 , 0.035604 , 0.036544 , 0.029973 , 0.034203 , 0.037329 , 0.022182 , 0.031443 , 0.030153 , 0.028784 , 0.036446 , 0.033541 , 0.022223 , 0.026421 , 0.032796 , 0.024065 , 0.020153 , 0.026932 , 0.027689 , 0.025705 , 0.033875 , 0.024797 , 0.026431 , 0.026689 , 0.02551 , 0.028144 , 0.024115 , 0.034834 , 0.028109 , 0.030724 , 0.020983 , 0.035377 , 0.031443 , 0.024257 , 0.030184 , 0.032727 
 315 , 0.032854 , 0.033633 , 0.028926 , 0.031791 , 0.033825 , 0.020953 , 0.028705 , 0.028115 , 0.026542 , 0.033876 , 0.031003 , 0.021102 , 0.024783 , 0.030602 , 0.023093 , 0.01798 , 0.024523 , 0.0266 , 0.023405 , 0.031682 , 0.02342 , 0.023927 , 0.025832 , 0.022472 , 0.026328 , 0.021116 , 0.032066 , 0.025606 , 0.02731 , 0.018684 , 0.032785 , 0.029347 , 0.022454 , 0.02831 , 0.030189 
