WSG1_00009.spu,WSG1_00008.spu,WSG1_00007.spu,WSG1_00006.spu,WSG1_00005.spu,
Wavelength,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu
  (nm),7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 
  time  ,15:49 PM,16:04 PM,16:15 PM,16:30 PM,16:41 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 310 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 
 335 , 0 , 0 , 0 , 0 , 0 
 336 , 0 , 0 , 0 , 0 , 0 
 337 , 0 , 0 , 0 , 0 , 0 
 338 , 0 , 0 , 0 , 0 , 0 
 339 , 0 , 0 , 0 , 0 , 0 
 340 , 0 , 0 , 0 , 0 , 0 
 341 , 0 , 0 , 0 , 0 , 0 
 342 , 0.000349 , 0 , 0 , 0.000766 , 0 
 343 , 0.001064 , 0 , 0 , 0.002325 , 0 
 344 , 0.001709 , 0 , 0 , 0.003714 , 0 
 345 , 0.002354 , 0.000085 , 0.000094 , 0.004961 , 0.000086 
 346 , 0.003666 , 0.001208 , 0.001335 , 0.006078 , 0.001214 
 347 , 0.004794 , 0.002193 , 0.00241 , 0.007028 , 0.002186 
 348 , 0.005775 , 0.003064 , 0.003351 , 0.007845 , 0.00303 
 349 , 0.00633 , 0.003772 , 0.003905 , 0.008465 , 0.003603 
 350 , 0.006685 , 0.004368 , 0.004278 , 0.008972 , 0.004033 
 351 , 0.006987 , 0.004896 , 0.004604 , 0.009421 , 0.004407 
 352 , 0.007257 , 0.005312 , 0.004963 , 0.009815 , 0.004746 
 353 , 0.007521 , 0.00558 , 0.00544 , 0.010164 , 0.005082 
 354 , 0.007768 , 0.005822 , 0.005885 , 0.010485 , 0.005393 
 355 , 0.007999 , 0.006042 , 0.006301 , 0.010781 , 0.005682 
 356 , 0.008326 , 0.00638 , 0.006536 , 0.011151 , 0.005866 
 357 , 0.008643 , 0.00671 , 0.006746 , 0.011507 , 0.006037 
 358 , 0.008944 , 0.007026 , 0.006943 , 0.011844 , 0.006198 
 359 , 0.009234 , 0.007312 , 0.007249 , 0.012205 , 0.006609 
 360 , 0.009498 , 0.007559 , 0.007621 , 0.012564 , 0.007173 
 361 , 0.009733 , 0.007782 , 0.007967 , 0.012892 , 0.007694 
