MNAT_00215.spu,MNAT_00214.spu,MNAT_00213.spu,MNAT_00212.spu,MNAT_00211.spu,
Wavelength,MNAT_00220.spu,MNAT_00221.spu,MNAT_00222.spu,MNAT_00223.spu,MNAT_00228.spu,MNAT_00229.spu,MNAT_00230.spu,MNAT_00231.spu,MNAT_00236.spu,MNAT_00237.spu,MNAT_00238.spu,MNAT_00239.spu,MNAT_00244.spu,MNAT_00245.spu,MNAT_00246.spu,MNAT_00247.spu
  (nm),8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 
  time  ,41:41 PM,42:27 PM,42:36 PM,42:46 PM,45:53 PM,46:02 PM,46:12 PM,46:24 PM,07:12 PM,07:23 PM,07:34 PM,07:43 PM,09:28 PM,09:38 PM,09:49 PM,09:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 310 , 0.014209 , 0.020969 , 0.033847 , 0.030006 , 0.028697 , 0.035867 , 0.065372 , 0.08143 , 0.046292 , 0.033972 , 0.057599 , 0.058008 , 0.071734 , 0.078875 , 0.054281 , 0.046497 
 311 , 0.002206 , 0.019707 , 0.042691 , 0.015435 , 0.025281 , 0.03192 , 0.066697 , 0.079943 , 0.045671 , 0.032044 , 0.052149 , 0.058535 , 0.065884 , 0.079119 , 0.052902 , 0.046209 
 312 , 0.010784 , 0.028226 , 0.046343 , 0.0198 , 0.021488 , 0.030495 , 0.061089 , 0.074658 , 0.044074 , 0.031364 , 0.050901 , 0.052599 , 0.060751 , 0.07151 , 0.048542 , 0.042331 
 313 , 0.020869 , 0.036557 , 0.04878 , 0.026065 , 0.018186 , 0.029597 , 0.055299 , 0.069553 , 0.042593 , 0.030984 , 0.05037 , 0.046686 , 0.05641 , 0.064031 , 0.044435 , 0.038615 
 314 , 0.029515 , 0.043373 , 0.050818 , 0.031436 , 0.015382 , 0.028843 , 0.050361 , 0.065229 , 0.041375 , 0.030725 , 0.049963 , 0.041666 , 0.052735 , 0.057686 , 0.040947 , 0.035462 
 315 , 0.03017 , 0.037959 , 0.043301 , 0.032609 , 0.013944 , 0.02499 , 0.044512 , 0.058083 , 0.036421 , 0.027326 , 0.045433 , 0.037109 , 0.047407 , 0.052301 , 0.036519 , 0.031559 
 316 , 0.024368 , 0.022751 , 0.028419 , 0.030294 , 0.013694 , 0.018861 , 0.038363 , 0.049194 , 0.028762 , 0.021663 , 0.037879 , 0.033178 , 0.041086 , 0.047992 , 0.031528 , 0.027188 
 317 , 0.019731 , 0.010224 , 0.016367 , 0.028393 , 0.013493 , 0.013914 , 0.033391 , 0.042017 , 0.022582 , 0.01713 , 0.03179 , 0.029978 , 0.035953 , 0.044477 , 0.027462 , 0.023618 
 318 , 0.016089 , 0.001435 , 0.008165 , 0.026129 , 0.013135 , 0.010457 , 0.029628 , 0.036352 , 0.017898 , 0.013983 , 0.026993 , 0.027467 , 0.03181 , 0.041127 , 0.024342 , 0.020637 
 319 , 0.014088 , 0.007892 , 0.015318 , 0.018758 , 0.011425 , 0.012436 , 0.029135 , 0.033519 , 0.017232 , 0.01565 , 0.024553 , 0.026565 , 0.029404 , 0.035056 , 0.023861 , 0.018151 
 320 , 0.012536 , 0.012845 , 0.020888 , 0.012979 , 0.010102 , 0.01401 , 0.028746 , 0.03132 , 0.016701 , 0.01695 , 0.022663 , 0.025856 , 0.027528 , 0.030344 , 0.023481 , 0.01622 
 321 , 0.011295 , 0.016753 , 0.025352 , 0.008312 , 0.00905 , 0.015301 , 0.028433 , 0.029567 , 0.016267 , 0.017987 , 0.021155 , 0.025284 , 0.026022 , 0.026582 , 0.023167 , 0.014673 
 322 , 0.012954 , 0.016173 , 0.023256 , 0.010368 , 0.008417 , 0.014611 , 0.028453 , 0.029171 , 0.015993 , 0.01703 , 0.020537 , 0.024748 , 0.024729 , 0.025921 , 0.021286 , 0.015133 
 323 , 0.015184 , 0.01446 , 0.019694 , 0.013905 , 0.008003 , 0.013493 , 0.028604 , 0.029255 , 0.015809 , 0.015685 , 0.020261 , 0.024339 , 0.023707 , 0.026223 , 0.019284 , 0.016058 
 324 , 0.017 , 0.013108 , 0.016867 , 0.016678 , 0.00768 , 0.012608 , 0.028787 , 0.029383 , 0.01567 , 0.014623 , 0.020042 , 0.024073 , 0.022922 , 0.026472 , 0.017698 , 0.016774 
 325 , 0.016931 , 0.012087 , 0.015103 , 0.017864 , 0.007919 , 0.011897 , 0.028974 , 0.028839 , 0.015815 , 0.014205 , 0.019557 , 0.023476 , 0.022878 , 0.02651 , 0.017035 , 0.017172 
