
Wavelength,NANT_00016.spu,NANT_00017.spu,NANT_00018.spu,NANT_00019.spu,NANT_00020.spu,NANT_00021.spu,NANT_00022.spu,NANT_00023.spu,NANT_00024.spu,NANT_00025.spu,NANT_00026.spu,NANT_00027.spu,NANT_00028.spu,NANT_00029.spu,NANT_00030.spu,NANT_00031.spu,NANT_00032.spu,NANT_00033.spu,NANT_00034.spu,NANT_00035.spu
  (nm),6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 
  time  ,:41:31 A,:41:39 A,:41:48 A,:41:57 A,:42:05 A,:42:49 A,:42:58 A,:43:09 A,:43:25 A,:43:42 A,:44:21 A,:44:31 A,:44:41 A,:44:50 A,:45:02 A,:45:38 A,:45:47 A,:45:57 A,:46:08 A,:46:19 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.06111 , 0.04767 , 0.03619 , 0.00945 , 0.02828 , 0.07105 , 0.12238 , 0.11302 , 0.08983 , 0.08851 , 0.09516 , 0.07386 , 0.09643 , 0.12608 , 0.12839 , 0.07278 , 0.00942 , 0.02715 , 0.09 , 0.04385 
 311 , 0.06749 , 0.05384 , 0.05128 , 0.01334 , 0.02781 , 0.05716 , 0.12296 , 0.10981 , 0.09621 , 0.09368 , 0.0846 , 0.0801 , 0.10534 , 0.11268 , 0.12522 , 0.09065 , 0.01351 , 0.03816 , 0.10857 , 0.04292 
 312 , 0.07801 , 0.05806 , 0.05317 , 0.02072 , 0.0204 , 0.06822 , 0.14037 , 0.1188 , 0.09742 , 0.0966 , 0.09877 , 0.08667 , 0.11054 , 0.11282 , 0.11964 , 0.09324 , 0.02085 , 0.03645 , 0.10366 , 0.05177 
 313 , 0.08897 , 0.06185 , 0.05294 , 0.0285 , 0.01211 , 0.08303 , 0.16023 , 0.12943 , 0.0979 , 0.09898 , 0.11619 , 0.09309 , 0.11494 , 0.11505 , 0.11376 , 0.09327 , 0.02845 , 0.03269 , 0.09502 , 0.06164 
 314 , 0.09975 , 0.06561 , 0.05271 , 0.03609 , 0.00408 , 0.09772 , 0.18008 , 0.13989 , 0.09835 , 0.1013 , 0.13294 , 0.09931 , 0.11933 , 0.11723 , 0.10806 , 0.0933 , 0.03574 , 0.02895 , 0.08652 , 0.07091 
 315 , 0.11031 , 0.07282 , 0.05942 , 0.04718 , 0.011 , 0.11195 , 0.19088 , 0.15414 , 0.10778 , 0.11103 , 0.14513 , 0.11307 , 0.1299 , 0.12863 , 0.11347 , 0.10384 , 0.04312 , 0.0362 , 0.09073 , 0.08692 
 316 , 0.12065 , 0.0837 , 0.07334 , 0.06202 , 0.03379 , 0.12563 , 0.19221 , 0.17243 , 0.12668 , 0.12857 , 0.1526 , 0.1349 , 0.147 , 0.14972 , 0.13037 , 0.12549 , 0.05069 , 0.05501 , 0.10821 , 0.11062 
 317 , 0.13075 , 0.0944 , 0.08685 , 0.07662 , 0.0564 , 0.1389 , 0.1935 , 0.19043 , 0.14586 , 0.14585 , 0.16001 , 0.15656 , 0.16356 , 0.17033 , 0.14676 , 0.14665 , 0.05821 , 0.07338 , 0.12501 , 0.13468 
 318 , 0.14071 , 0.10518 , 0.09947 , 0.09136 , 0.0783 , 0.15241 , 0.19724 , 0.20765 , 0.16477 , 0.16384 , 0.16812 , 0.17761 , 0.18005 , 0.19014 , 0.16235 , 0.16726 , 0.06704 , 0.09131 , 0.14046 , 0.15726 
 319 , 0.15094 , 0.11841 , 0.10684 , 0.10929 , 0.09563 , 0.17049 , 0.22323 , 0.22046 , 0.18076 , 0.18973 , 0.18388 , 0.19486 , 0.19973 , 0.20652 , 0.17454 , 0.18713 , 0.0883 , 0.10881 , 0.14899 , 0.1657 
 320 , 0.16101 , 0.13115 , 0.11415 , 0.12681 , 0.11232 , 0.18844 , 0.24828 , 0.23299 , 0.19628 , 0.21561 , 0.19919 , 0.21185 , 0.21885 , 0.22255 , 0.18638 , 0.20643 , 0.10894 , 0.12579 , 0.15722 , 0.17382 
 321 , 0.17093 , 0.14342 , 0.12141 , 0.14394 , 0.12841 , 0.20625 , 0.27241 , 0.24523 , 0.21136 , 0.2415 , 0.21405 , 0.2286 , 0.23741 , 0.23822 , 0.19789 , 0.22517 , 0.12897 , 0.14228 , 0.16515 , 0.18164 
 322 , 0.18916 , 0.16608 , 0.14443 , 0.15979 , 0.14904 , 0.23126 , 0.29338 , 0.26364 , 0.24486 , 0.26738 , 0.23324 , 0.25436 , 0.26545 , 0.25684 , 0.21659 , 0.25201 , 0.14192 , 0.16701 , 0.19385 , 0.19696 
 323 , 0.21003 , 0.1922 , 0.17267 , 0.17483 , 0.17091 , 0.25835 , 0.31272 , 0.28398 , 0.28503 , 0.29259 , 0.25363 , 0.28273 , 0.29655 , 0.27639 , 0.23767 , 0.28115 , 0.15208 , 0.19466 , 0.22995 , 0.2147 
 324 , 0.23003 , 0.21759 , 0.19975 , 0.18935 , 0.19203 , 0.28431 , 0.3314 , 0.30361 , 0.32463 , 0.31658 , 0.27333 , 0.30975 , 0.32678 , 0.29566 , 0.25818 , 0.30911 , 0.16209 , 0.2219 , 0.26529 , 0.23183 
 325 , 0.25489 , 0.2426 , 0.22645 , 0.21207 , 0.21473 , 0.30729 , 0.35452 , 0.32492 , 0.35796 , 0.34412 , 0.29799 , 0.34421 , 0.36328 , 0.32113 , 0.28408 , 0.33877 , 0.18013 , 0.25293 , 0.30272 , 0.25489 
 326 , 0.28957 , 0.26755 , 0.25346 , 0.25051 , 0.24106 , 0.32565 , 0.3865 , 0.34998 , 0.38016 , 0.37924 , 0.33257 , 0.39383 , 0.41238 , 0.35868 , 0.32071 , 0.37263 , 0.21334 , 0.29127 , 0.34467 , 0.28957 
 327 , 0.32289 , 0.29199 , 0.27976 , 0.28717 , 0.26653 , 0.3434 , 0.41763 , 0.37421 , 0.40134 , 0.41344 , 0.36603 , 0.44248 , 0.46018 , 0.39472 , 0.35661 , 0.40539 , 0.24498 , 0.32781 , 0.38524 , 0.32289 
 328 , 0.35495 , 0.31591 , 0.30538 , 0.32221 , 0.29118 , 0.36056 , 0.44795 , 0.39764 , 0.42156 , 0.44673 , 0.39844 , 0.49012 , 0.50667 , 0.42932 , 0.39178 , 0.43713 , 0.27521 , 0.36268 , 0.4245 , 0.35495 
 329 , 0.3736 , 0.3392 , 0.33036 , 0.34446 , 0.30499 , 0.39131 , 0.48797 , 0.43244 , 0.45843 , 0.47522 , 0.42227 , 0.5182 , 0.53468 , 0.44941 , 0.41062 , 0.48141 , 0.29582 , 0.37932 , 0.45506 , 0.3736 
 330 , 0.39119 , 0.36173 , 0.3547 , 0.36554 , 0.31792 , 0.42153 , 0.52722 , 0.46663 , 0.49444 , 0.50271 , 0.44531 , 0.54458 , 0.56098 , 0.46815 , 0.42828 , 0.52508 , 0.31553 , 0.39459 , 0.48448 , 0.39119 
 331 , 0.40834 , 0.3834 , 0.37844 , 0.38611 , 0.33037 , 0.45064 , 0.56526 , 0.49976 , 0.52892 , 0.52935 , 0.46807 , 0.56983 , 0.58615 , 0.48609 , 0.44529 , 0.56769 , 0.33487 , 0.4093 , 0.51317 , 0.40834 
 332 , 0.43035 , 0.40605 , 0.4003 , 0.40799 , 0.34777 , 0.47954 , 0.60117 , 0.52483 , 0.56869 , 0.55872 , 0.49644 , 0.60231 , 0.61627 , 0.51705 , 0.47356 , 0.60585 , 0.35585 , 0.4294 , 0.54321 , 0.42793 
 333 , 0.45554 , 0.42915 , 0.42065 , 0.43059 , 0.36847 , 0.50797 , 0.63526 , 0.54416 , 0.61186 , 0.58963 , 0.52842 , 0.63934 , 0.64946 , 0.55669 , 0.50928 , 0.64052 , 0.3777 , 0.45301 , 0.57388 , 0.44901 
 334 , 0.47984 , 0.45142 , 0.44005 , 0.45239 , 0.3888 , 0.53525 , 0.66815 , 0.5627 , 0.65402 , 0.61911 , 0.55907 , 0.67488 , 0.68148 , 0.59515 , 0.54376 , 0.67378 , 0.39851 , 0.47592 , 0.60329 , 0.46901 
 335 , 0.50905 , 0.47691 , 0.46431 , 0.47736 , 0.41203 , 0.56634 , 0.70117 , 0.58757 , 0.6966 , 0.65365 , 0.59312 , 0.71336 , 0.71922 , 0.6339 , 0.57942 , 0.71127 , 0.4213 , 0.50211 , 0.63758 , 0.49354 
 336 , 0.5599 , 0.51755 , 0.50978 , 0.51721 , 0.44807 , 0.61527 , 0.73837 , 0.63892 , 0.74408 , 0.71102 , 0.644 , 0.76675 , 0.78208 , 0.67721 , 0.62324 , 0.76862 , 0.45431 , 0.54335 , 0.69394 , 0.53795 
 337 , 0.60904 , 0.55636 , 0.55375 , 0.55531 , 0.48289 , 0.66259 , 0.77411 , 0.68884 , 0.78998 , 0.76713 , 0.69289 , 0.81896 , 0.84354 , 0.71906 , 0.6656 , 0.82438 , 0.4862 , 0.58298 , 0.74871 , 0.58137 
 338 , 0.65656 , 0.59346 , 0.59628 , 0.59176 , 0.51656 , 0.70838 , 0.8085 , 0.73737 , 0.83439 , 0.822 , 0.73991 , 0.87004 , 0.90363 , 0.75954 , 0.70658 , 0.87864 , 0.51703 , 0.62108 , 0.80197 , 0.62386 
 339 , 0.69008 , 0.63302 , 0.62603 , 0.62767 , 0.54522 , 0.74087 , 0.85678 , 0.7774 , 0.88615 , 0.86971 , 0.7743 , 0.92023 , 0.9511 , 0.79659 , 0.74981 , 0.92502 , 0.55131 , 0.65731 , 0.85867 , 0.65747 
 340 , 0.71992 , 0.67186 , 0.6524 , 0.66252 , 0.57194 , 0.76981 , 0.90651 , 0.81447 , 0.93805 , 0.91462 , 0.80524 , 0.96894 , 0.99462 , 0.83204 , 0.79267 , 0.96838 , 0.58538 , 0.69189 , 0.91463 , 0.68841 
 341 , 0.74869 , 0.70929 , 0.6777 , 0.6963 , 0.59741 , 0.79758 , 0.9547 , 0.84982 , 0.98834 , 0.95769 , 0.83506 , 1.01589 , 1.03612 , 0.86638 , 0.83464 , 1.00977 , 0.61838 , 0.72489 , 0.96883 , 0.71808 
 342 , 0.78475 , 0.75255 , 0.70886 , 0.73375 , 0.62661 , 0.84162 , 1.00255 , 0.89144 , 1.04022 , 1.00349 , 0.86952 , 1.0642 , 1.08381 , 0.9032 , 0.87397 , 1.05845 , 0.65336 , 0.76527 , 1.01985 , 0.75724 
