
Wavelength,MNAT_00073.spu,MNAT_00074.spu,MNAT_00075.spu,MNAT_00076.spu,MNAT_00077.spu,MNAT_00078.spu,MNAT_00079.spu,MNAT_00080.spu,MNAT_00081.spu,MNAT_00082.spu,MNAT_00083.spu,MNAT_00084.spu,MNAT_00085.spu,MNAT_00086.spu,MNAT_00087.spu,MNAT_00088.spu,MNAT_00089.spu,MNAT_00090.spu,MNAT_00091.spu,MNAT_00092.spu,MNAT_00093.spu,MNAT_00094.spu,MNAT_00095.spu,MNAT_00096.spu,MNAT_00097.spu,MNAT_00098.spu,MNAT_00099.spu,MNAT_00100.spu,MNAT_00101.spu,MNAT_00102.spu
  (nm),7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1
  time  ,01:50 AM,02:01 AM,02:11 AM,02:20 AM,02:31 AM,03:06 AM,03:15 AM,03:28 AM,03:37 AM,03:48 AM,04:18 AM,04:31 AM,04:41 AM,04:51 AM,05:03 AM,05:24 AM,05:34 AM,05:44 AM,05:57 AM,06:06 AM,06:46 AM,07:00 AM,07:13 AM,07:23 AM,07:35 AM,08:13 AM,08:23 AM,08:32 AM,08:42 AM,08:51 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.23341 , 0.23694 , 0.21774 , 0.22687 , 0.22484 , 0.27109 , 0.27388 , 0.32833 , 0.25855 , 0.23565 , 0.23609 , 0.25042 , 0.24567 , 0.25771 , 0.25402 , 0.287 , 0.25916 , 0.26099 , 0.26032 , 0.22237 , 0.29873 , 0.24032 , 0.26135 , 0.27839 , 0.29326 , 0.27278 , 0.28245 , 0.26329 , 0.27576 , 0.29413 
 311 , 0.24247 , 0.24138 , 0.2185 , 0.23434 , 0.22556 , 0.2786 , 0.29786 , 0.35448 , 0.26517 , 0.24458 , 0.24294 , 0.25005 , 0.25364 , 0.26483 , 0.25026 , 0.30764 , 0.26992 , 0.27806 , 0.26576 , 0.2394 , 0.31172 , 0.25646 , 0.27442 , 0.28875 , 0.31112 , 0.29165 , 0.28149 , 0.26103 , 0.28487 , 0.3025 
 312 , 0.24387 , 0.24947 , 0.22586 , 0.23876 , 0.23574 , 0.27863 , 0.29592 , 0.36041 , 0.26239 , 0.25161 , 0.24439 , 0.24952 , 0.25709 , 0.26682 , 0.25711 , 0.29994 , 0.26837 , 0.27434 , 0.26662 , 0.23946 , 0.30826 , 0.26342 , 0.27504 , 0.29433 , 0.30939 , 0.28347 , 0.28338 , 0.26098 , 0.2824 , 0.30117 
 313 , 0.24432 , 0.25811 , 0.23416 , 0.24283 , 0.24723 , 0.27769 , 0.29087 , 0.36354 , 0.25837 , 0.25838 , 0.2454 , 0.24955 , 0.25995 , 0.2686 , 0.26549 , 0.289 , 0.26555 , 0.26779 , 0.26715 , 0.23729 , 0.30308 , 0.26893 , 0.27396 , 0.29923 , 0.30569 , 0.27212 , 0.28574 , 0.2617 , 0.27837 , 0.29842 
 314 , 0.24474 , 0.26636 , 0.24222 , 0.24673 , 0.25838 , 0.27679 , 0.28611 , 0.36654 , 0.25448 , 0.26497 , 0.24636 , 0.24958 , 0.2627 , 0.27027 , 0.27352 , 0.27861 , 0.26286 , 0.26157 , 0.26764 , 0.23524 , 0.2982 , 0.2742 , 0.27293 , 0.30401 , 0.30225 , 0.26137 , 0.288 , 0.26239 , 0.27446 , 0.29579 
 315 , 0.25109 , 0.27468 , 0.25018 , 0.25165 , 0.26877 , 0.27679 , 0.28278 , 0.3699 , 0.26104 , 0.26789 , 0.24904 , 0.25445 , 0.26406 , 0.27543 , 0.27817 , 0.28386 , 0.2621 , 0.26219 , 0.26725 , 0.23824 , 0.29862 , 0.2809 , 0.27471 , 0.30398 , 0.3125 , 0.25484 , 0.29243 , 0.26634 , 0.274 , 0.29669 
 316 , 0.26326 , 0.28287 , 0.25806 , 0.25744 , 0.27828 , 0.27783 , 0.28018 , 0.37351 , 0.27835 , 0.26711 , 0.25314 , 0.26394 , 0.26387 , 0.28358 , 0.27907 , 0.30482 , 0.26284 , 0.26943 , 0.26534 , 0.24609 , 0.30369 , 0.28885 , 0.27915 , 0.30011 , 0.33602 , 0.25199 , 0.29901 , 0.27304 , 0.27678 , 0.30083 
 317 , 0.2753 , 0.29088 , 0.26571 , 0.2631 , 0.28762 , 0.27883 , 0.27762 , 0.37701 , 0.29544 , 0.26636 , 0.25717 , 0.27319 , 0.26369 , 0.29162 , 0.27995 , 0.32535 , 0.26357 , 0.27652 , 0.26346 , 0.25377 , 0.30869 , 0.29661 , 0.28349 , 0.29652 , 0.35988 , 0.24921 , 0.30539 , 0.2797 , 0.27953 , 0.30487 
 318 , 0.28581 , 0.299 , 0.27154 , 0.269 , 0.29683 , 0.28065 , 0.27753 , 0.38162 , 0.31 , 0.26557 , 0.2609 , 0.28244 , 0.26418 , 0.29942 , 0.28278 , 0.34475 , 0.26531 , 0.28272 , 0.2626 , 0.26189 , 0.31428 , 0.3044 , 0.28849 , 0.29599 , 0.38248 , 0.24806 , 0.31019 , 0.28658 , 0.2825 , 0.30739 
 319 , 0.28697 , 0.31042 , 0.26391 , 0.27968 , 0.30807 , 0.28999 , 0.29983 , 0.3969 , 0.30791 , 0.26664 , 0.26459 , 0.29506 , 0.27156 , 0.30751 , 0.30394 , 0.35995 , 0.27725 , 0.28263 , 0.2731 , 0.2756 , 0.32827 , 0.31429 , 0.30245 , 0.31414 , 0.39784 , 0.26285 , 0.30386 , 0.29999 , 0.29067 , 0.29978 
 320 , 0.28807 , 0.32148 , 0.25657 , 0.2899 , 0.31887 , 0.29901 , 0.32148 , 0.41173 , 0.30592 , 0.26764 , 0.26813 , 0.30715 , 0.27866 , 0.31534 , 0.32443 , 0.37447 , 0.28879 , 0.28254 , 0.28311 , 0.28893 , 0.34168 , 0.3239 , 0.31572 , 0.33243 , 0.41246 , 0.27692 , 0.2978 , 0.31262 , 0.29849 , 0.29253 
 321 , 0.28913 , 0.3322 , 0.2495 , 0.29969 , 0.32925 , 0.30773 , 0.34251 , 0.42612 , 0.30404 , 0.26859 , 0.27152 , 0.31873 , 0.2855 , 0.32293 , 0.34428 , 0.38835 , 0.29995 , 0.28245 , 0.29267 , 0.30191 , 0.35456 , 0.33325 , 0.32836 , 0.35084 , 0.42639 , 0.29033 , 0.29198 , 0.32456 , 0.30597 , 0.28563 
 322 , 0.30435 , 0.35381 , 0.2651 , 0.31664 , 0.34819 , 0.31842 , 0.35339 , 0.44906 , 0.31554 , 0.27783 , 0.29403 , 0.33866 , 0.30151 , 0.33407 , 0.35647 , 0.38863 , 0.30505 , 0.28884 , 0.3021 , 0.31293 , 0.36851 , 0.34413 , 0.33644 , 0.36664 , 0.45945 , 0.30479 , 0.30203 , 0.34077 , 0.31197 , 0.30157 
 323 , 0.32453 , 0.37921 , 0.28921 , 0.33605 , 0.3701 , 0.32958 , 0.3602 , 0.47491 , 0.33165 , 0.28977 , 0.32361 , 0.36143 , 0.32084 , 0.34632 , 0.36554 , 0.38341 , 0.30759 , 0.29751 , 0.31115 , 0.32305 , 0.38251 , 0.35539 , 0.34241 , 0.38149 , 0.49966 , 0.31935 , 0.31776 , 0.35817 , 0.3171 , 0.32593 
 324 , 0.34441 , 0.40423 , 0.31344 , 0.35558 , 0.39202 , 0.34074 , 0.36692 , 0.50046 , 0.34768 , 0.30179 , 0.3532 , 0.38407 , 0.34028 , 0.35834 , 0.37445 , 0.37825 , 0.31012 , 0.30612 , 0.32014 , 0.33296 , 0.39634 , 0.36649 , 0.34833 , 0.39612 , 0.54042 , 0.33401 , 0.33337 , 0.37557 , 0.32217 , 0.35045 
 325 , 0.36378 , 0.42734 , 0.33445 , 0.37134 , 0.41091 , 0.35131 , 0.37379 , 0.5258 , 0.35951 , 0.31513 , 0.37374 , 0.40179 , 0.35618 , 0.36692 , 0.38492 , 0.39037 , 0.3144 , 0.31371 , 0.32964 , 0.33912 , 0.41167 , 0.37824 , 0.35303 , 0.40899 , 0.57426 , 0.34178 , 0.34272 , 0.38706 , 0.32823 , 0.36788 
 326 , 0.38267 , 0.44752 , 0.34976 , 0.38077 , 0.42496 , 0.36167 , 0.38174 , 0.5516 , 0.3644 , 0.33136 , 0.37776 , 0.41096 , 0.36634 , 0.36956 , 0.39888 , 0.43545 , 0.32273 , 0.31996 , 0.34085 , 0.33927 , 0.43016 , 0.39174 , 0.35651 , 0.41943 , 0.59582 , 0.33752 , 0.34165 , 0.38879 , 0.33689 , 0.37257 
 327 , 0.40101 , 0.46701 , 0.36439 , 0.38978 , 0.43834 , 0.37153 , 0.38935 , 0.57641 , 0.36906 , 0.34722 , 0.38162 , 0.41976 , 0.37592 , 0.37212 , 0.41234 , 0.47868 , 0.3307 , 0.32599 , 0.35157 , 0.33941 , 0.4483 , 0.4048 , 0.35982 , 0.4294 , 0.61626 , 0.33346 , 0.34066 , 0.39041 , 0.34516 , 0.37705 
 328 , 0.41885 , 0.4859 , 0.3784 , 0.39843 , 0.45119 , 0.381 , 0.3967 , 0.60035 , 0.37356 , 0.36272 , 0.38537 , 0.42828 , 0.38506 , 0.37462 , 0.42537 , 0.52027 , 0.33839 , 0.33183 , 0.36187 , 0.33962 , 0.46607 , 0.41746 , 0.36305 , 0.43898 , 0.6358 , 0.32962 , 0.33983 , 0.392 , 0.35315 , 0.3814 
 329 , 0.44167 , 0.52118 , 0.39926 , 0.43378 , 0.48461 , 0.41638 , 0.42415 , 0.63591 , 0.39987 , 0.38107 , 0.40654 , 0.45827 , 0.41683 , 0.40403 , 0.45535 , 0.55409 , 0.3557 , 0.34925 , 0.38269 , 0.36986 , 0.49245 , 0.44013 , 0.39191 , 0.46887 , 0.68096 , 0.3623 , 0.36919 , 0.42046 , 0.38247 , 0.41083 
