
Wavelength,HST_00006.spu,HST_00007.spu,HST_00008.spu,HST_00009.spu,HST_00010.spu,HST_00011.spu,HST_00012.spu,HST_00013.spu,HST_00014.spu,HST_00015.spu,HST_00016.spu,HST_00017.spu,HST_00018.spu,HST_00019.spu,HST_00020.spu,HST_00021.spu,HST_00022.spu,HST_00023.spu,HST_00024.spu,HST_00025.spu,HST_00026.spu,HST_00027.spu,HST_00028.spu,HST_00029.spu,HST_00030.spu,HST_00031.spu,HST_00032.spu,HST_00033.spu,HST_00034.spu,HST_00035.spu,HST_00036.spu,HST_00037.spu,HST_00038.spu,HST_00039.spu,HST_00040.spu,HST_00041.spu,HST_00042.spu,HST_00043.spu,HST_00044.spu,HST_00045.spu
  (nm),7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 
  time  ,27:02 PM,27:17 PM,27:27 PM,27:46 PM,28:00 PM,28:46 PM,29:15 PM,29:26 PM,29:37 PM,29:49 PM,30:53 PM,31:06 PM,31:19 PM,31:33 PM,31:48 PM,32:14 PM,32:26 PM,32:37 PM,32:53 PM,33:05 PM,33:58 PM,34:09 PM,34:20 PM,34:29 PM,34:41 PM,35:13 PM,35:23 PM,35:51 PM,36:03 PM,36:13 PM,37:14 PM,37:25 PM,37:35 PM,37:45 PM,37:54 PM,38:14 PM,38:22 PM,38:33 PM,38:41 PM,38:51 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.01796 , 0.03325 , 0.0945 , 0 , 0 , 0 , 0.10158 , 0.07999 , 0.08579 , 0.09388 , 0.13917 , 0.09341 , 0.05563 , 0.09443 , 0.03707 , 0.05598 , 0.09275 , 0.05631 , 0.08272 , 0.04351 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.05243 , 0.07899 , 0.11208 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0.02527 , 0.04737 , 0.09403 , 0 , 0 , 0 , 0.10347 , 0.09636 , 0.09233 , 0.10385 , 0.14979 , 0.1214 , 0.06565 , 0.10912 , 0.04008 , 0.0549 , 0.10507 , 0.04358 , 0.08774 , 0.06114 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.04032 , 0.10613 , 0.14145 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0.03325 , 0.05366 , 0.09768 , 0 , 0 , 0.00394 , 0.1105 , 0.1069 , 0.09368 , 0.09583 , 0.13849 , 0.11809 , 0.07787 , 0.12249 , 0.06105 , 0.0716 , 0.10892 , 0.06183 , 0.09898 , 0.068 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0757 , 0.10211 , 0.13766 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0.04142 , 0.05872 , 0.10194 , 0 , 0 , 0.00871 , 0.11819 , 0.11651 , 0.09405 , 0.08479 , 0.12332 , 0.10975 , 0.09044 , 0.13561 , 0.08507 , 0.09102 , 0.11151 , 0.08502 , 0.11121 , 0.07312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.11839 , 0.09275 , 0.12824 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0.04971 , 0.06395 , 0.10613 , 0 , 0 , 0.01372 , 0.12587 , 0.12643 , 0.09442 , 0.07374 , 0.10803 , 0.10147 , 0.10312 , 0.14883 , 0.10928 , 0.11029 , 0.11401 , 0.10821 , 0.12373 , 0.07836 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.16076 , 0.08324 , 0.11874 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.06468 , 0.06741 , 0.11542 , 0 , 0 , 0.03416 , 0.1372 , 0.1307 , 0.09697 , 0.07628 , 0.10987 , 0.10226 , 0.11237 , 0.16362 , 0.12913 , 0.1282 , 0.12431 , 0.12219 , 0.13659 , 0.09521 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.18057 , 0.09631 , 0.11574 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
