
Wavelength,MNAT_00000.spu,MNAT_00001.spu,MNAT_00002.spu,MNAT_00003.spu,MNAT_00004.spu,MNAT_00005.spu,MNAT_00006.spu,MNAT_00007.spu,MNAT_00008.spu,MNAT_00009.spu,MNAT_00010.spu,MNAT_00011.spu,MNAT_00012.spu,MNAT_00013.spu,MNAT_00014.spu,MNAT_00015.spu,MNAT_00016.spu,MNAT_00017.spu,MNAT_00018.spu,MNAT_00019.spu,MNAT_00020.spu,MNAT_00021.spu,MNAT_00022.spu,MNAT_00023.spu,MNAT_00024.spu,MNAT_00025.spu,MNAT_00026.spu,MNAT_00027.spu,MNAT_00028.spu,MNAT_00029.spu,MNAT_00030.spu,MNAT_00031.spu,MNAT_00032.spu,MNAT_00033.spu,MNAT_00034.spu,MNAT_00035.spu,MNAT_00036.spu,MNAT_00037.spu,MNAT_00038.spu,MNAT_00039.spu,MNAT_00040.spu,MNAT_00041.spu,MNAT_00042.spu,MNAT_00043.spu,MNAT_00044.spu,MNAT_00045.spu,MNAT_00046.spu,MNAT_00047.spu,MNAT_00048.spu,MNAT_00049.spu,MNAT_00050.spu,MNAT_00051.spu,MNAT_00052.spu,MNAT_00053.spu,MNAT_00054.spu,MNAT_00055.spu,MNAT_00056.spu,MNAT_00057.spu,MNAT_00058.spu,MNAT_00059.spu
  (nm),7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 
  time  ,:33:12 A,:33:29 A,:33:38 A,:33:56 A,:34:17 A,:35:10 A,:35:20 A,:35:37 A,:35:51 A,:36:04 A,:37:05 A,:37:20 A,:37:33 A,:37:49 A,:37:58 A,:39:15 A,:39:25 A,:39:37 A,:39:51 A,:40:27 A,:40:48 A,:41:24 A,:41:50 A,:42:47 A,:43:17 A,:44:26 A,:44:54 A,:45:12 A,:45:58 A,:47:10 A,:48:34 A,:48:45 A,:49:04 A,:49:17 A,:49:30 A,:50:30 A,:50:45 A,:51:00 A,:51:19 A,:51:33 A,:52:14 A,:52:33 A,:52:49 A,:53:07 A,:53:21 A,:54:00 A,:54:24 A,:54:45 A,:55:03 A,:55:16 A,:56:08 A,:56:20 A,:56:36 A,:56:54 A,:57:17 A,:59:23 A,:59:43 A,:00:08 P,:00:25 P,:00:37 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00565 , 0.00558 , 0.01099 , 0.01619 , 0.033 , 0.02107 , 0.00556 , 0.03316 , 0.01047 , 0 , 0.0157 , 0.02787 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00069 , 0.00067 , 0.00134 , 0.00194 , 0.00549 , 0.00253 , 0.00068 , 0.00549 , 0.00126 , 0 , 0.00194 , 0.00482 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.02136 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01447 , 0 , 0.00953 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00508 , 0 , 0.01025 , 0.00487 , 0.0236 , 0.01486 , 0.00491 , 0.0104 , 0.00508 , 0.01946 , 0 , 0.01506 , 0.01481 , 0.01007 , 0.00518 , 0.01481 , 0.02466 , 0.0241 , 0.0298 , 0.01481 , 0.01001 , 0.02084 , 0.01627 , 0.03278 , 0.02832 , 0.05954 , 0.0358 , 0.03635 , 0.01537 , 0.01999 , 0.03635 , 0.03032 , 0.03508 , 0.0358 , 0.03683 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.04506 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.03129 , 0 , 0.02007 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01073 , 0 , 0.02141 , 0.01047 , 0.05021 , 0.03104 , 0.01044 , 0.02159 , 0.01073 , 0.04208 , 0 , 0.03257 , 0.03147 , 0.02152 , 0.01095 , 0.03147 , 0.05273 , 0.05243 , 0.06262 , 0.03147 , 0.02128 , 0.04442 , 0.03518 , 0.07021 , 0.06124 , 0.12698 , 0.0767 , 0.07472 , 0.03295 , 0.04223 , 0.07472 , 0.06618 , 0.07484 , 0.0767 , 0.07672 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.06761 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.04811 , 0 , 0.03005 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01613 , 0 , 0.03182 , 0.01601 , 0.07595 , 0.04614 , 0.01579 , 0.0319 , 0.01613 , 0.06471 , 0 , 0.05008 , 0.04756 , 0.03272 , 0.01644 , 0.04756 , 0.08015 , 0.08108 , 0.09363 , 0.04756 , 0.03218 , 0.06732 , 0.0541 , 0.10692 , 0.09417 , 0.19257 , 0.11684 , 0.11106 , 0.05021 , 0.06347 , 0.11106 , 0.10269 , 0.11352 , 0.11684 , 0.11552 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.07033 , 0 , 0 , 0 , 0 , 0.00251 , 0 , 0 , 0.05955 , 0 , 0.0301 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01614 , 0 , 0.03168 , 0.01619 , 0.08652 , 0.05429 , 0.01846 , 0.03168 , 0.01614 , 0.07052 , 0 , 0.04996 , 0.0477 , 0.033 , 0.0165 , 0.04815 , 0.08904 , 0.08496 , 0.09956 , 0.048 , 0.03774 , 0.07411 , 0.06334 , 0.12594 , 0.10461 , 0.21226 , 0.13118 , 0.11862 , 0.06539 , 0.07446 , 0.13014 , 0.11759 , 0.12783 , 0.12865 , 0.13113 
