
Wavelength,SHB2_00006.spu,SHB2_00007.spu,SHB2_00008.spu,SHB2_00009.spu,SHB2_00010.spu,SHB2_00011.spu,SHB2_00012.spu,SHB2_00013.spu,SHB2_00014.spu,SHB2_00015.spu,SHB2_00016.spu,SHB2_00017.spu,SHB2_00018.spu,SHB2_00019.spu,SHB2_00020.spu,SHB2_00021.spu,SHB2_00022.spu,SHB2_00023.spu,SHB2_00024.spu,SHB2_00025.spu
  (nm),7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 
  time  ,08:24 PM,09:03 PM,09:43 PM,10:06 PM,10:35 PM,20:52 PM,21:28 PM,21:56 PM,22:21 PM,22:49 PM,24:17 PM,24:49 PM,25:29 PM,25:59 PM,26:26 PM,28:06 PM,28:27 PM,28:53 PM,29:12 PM,29:32 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.00692 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00805 , 0 , 0 , 0.00439 , 0 
 316 , 0.02135 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.02491 , 0 , 0 , 0.0133 , 0 
 317 , 0.03577 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.04193 , 0 , 0 , 0.0219 , 0 
 318 , 0.05138 , 0 , 0 , 0 , 0.00083 , 0 , 0 , 0 , 0 , 0.00041 , 0.00031 , 0.00114 , 0.001 , 0 , 0.00038 , 0.05955 , 0.00043 , 0.00259 , 0.03055 , 0.00303 
 319 , 0.07764 , 0 , 0 , 0 , 0.00875 , 0 , 0 , 0 , 0 , 0.00443 , 0.00334 , 0.01215 , 0.01068 , 0 , 0.00403 , 0.08195 , 0.00458 , 0.02753 , 0.04208 , 0.03204 
 320 , 0.10195 , 0 , 0 , 0 , 0.01606 , 0 , 0 , 0 , 0 , 0.00823 , 0.00619 , 0.02257 , 0.01975 , 0 , 0.0074 , 0.10256 , 0.00843 , 0.05084 , 0.05286 , 0.05894 
 321 , 0.12451 , 0 , 0 , 0 , 0.02284 , 0 , 0 , 0 , 0 , 0.01183 , 0.00888 , 0.03242 , 0.02827 , 0 , 0.01051 , 0.12161 , 0.01201 , 0.07268 , 0.06297 , 0.08394 
 322 , 0.16089 , 0.01872 , 0.01494 , 0 , 0.03747 , 0.0108 , 0.01056 , 0.00831 , 0 , 0.02071 , 0.02151 , 0.04627 , 0.03679 , 0.00213 , 0.01128 , 0.13936 , 0.03208 , 0.11078 , 0.08715 , 0.09859 
 323 , 0.20154 , 0.04413 , 0.03507 , 0 , 0.05512 , 0.02541 , 0.02494 , 0.01955 , 0 , 0.03134 , 0.03772 , 0.06148 , 0.04522 , 0.00503 , 0.01116 , 0.15639 , 0.05859 , 0.15403 , 0.11628 , 0.10929 
 324 , 0.24068 , 0.06889 , 0.05451 , 0 , 0.07264 , 0.03959 , 0.03901 , 0.03045 , 0 , 0.04159 , 0.05358 , 0.07638 , 0.05346 , 0.00787 , 0.01105 , 0.17305 , 0.0851 , 0.19566 , 0.14476 , 0.11974 
 325 , 0.2795 , 0.09291 , 0.07361 , 0.00468 , 0.09221 , 0.05964 , 0.05767 , 0.04479 , 0.00721 , 0.05745 , 0.06874 , 0.09157 , 0.06428 , 0.01737 , 0.01843 , 0.20102 , 0.11429 , 0.2301 , 0.16627 , 0.1338 
 326 , 0.31914 , 0.11597 , 0.09278 , 0.018 , 0.11567 , 0.09101 , 0.08514 , 0.06606 , 0.0281 , 0.08426 , 0.08276 , 0.10753 , 0.08014 , 0.03964 , 0.03962 , 0.25052 , 0.14777 , 0.25249 , 0.1752 , 0.15476 
 327 , 0.35807 , 0.1382 , 0.11156 , 0.0307 , 0.13847 , 0.12128 , 0.11165 , 0.08702 , 0.04856 , 0.11033 , 0.09606 , 0.12294 , 0.09556 , 0.06154 , 0.05977 , 0.29828 , 0.17933 , 0.27425 , 0.18387 , 0.17455 
 328 , 0.39627 , 0.15963 , 0.12995 , 0.04281 , 0.16063 , 0.15049 , 0.13725 , 0.10766 , 0.06858 , 0.13567 , 0.10872 , 0.13782 , 0.11054 , 0.08306 , 0.07896 , 0.34438 , 0.20917 , 0.29541 , 0.19228 , 0.19328 
 329 , 0.42728 , 0.18988 , 0.1508 , 0.06724 , 0.1836 , 0.17603 , 0.14933 , 0.12273 , 0.08522 , 0.14616 , 0.1289 , 0.16327 , 0.13288 , 0.08477 , 0.1072 , 0.35475 , 0.22415 , 0.33127 , 0.21442 , 0.2295 
 330 , 0.45712 , 0.21977 , 0.17063 , 0.09127 , 0.20565 , 0.20074 , 0.16049 , 0.13696 , 0.1014 , 0.15562 , 0.14939 , 0.18824 , 0.15484 , 0.08567 , 0.13513 , 0.36336 , 0.23806 , 0.36718 , 0.23616 , 0.2652 
 331 , 0.48596 , 0.24898 , 0.18929 , 0.1144 , 0.22671 , 0.22479 , 0.17128 , 0.15053 , 0.11725 , 0.16461 , 0.16997 , 0.2123 , 0.17611 , 0.08653 , 0.16243 , 0.37159 , 0.25159 , 0.4026 , 0.25689 , 0.29975 
 332 , 0.5151 , 0.26688 , 0.20426 , 0.12883 , 0.24179 , 0.24099 , 0.18249 , 0.16142 , 0.13307 , 0.17779 , 0.17754 , 0.22387 , 0.18663 , 0.09573 , 0.17346 , 0.40352 , 0.26965 , 0.42826 , 0.28814 , 0.32516 
 333 , 0.54407 , 0.2768 , 0.21658 , 0.13708 , 0.25262 , 0.25161 , 0.19385 , 0.17037 , 0.14846 , 0.19358 , 0.1762 , 0.22677 , 0.18973 , 0.1104 , 0.17314 , 0.45129 , 0.29049 , 0.44689 , 0.32611 , 0.34403 
 334 , 0.57154 , 0.28624 , 0.22835 , 0.14486 , 0.26282 , 0.26176 , 0.20472 , 0.17888 , 0.16299 , 0.20855 , 0.17495 , 0.22956 , 0.19268 , 0.12437 , 0.17283 , 0.49732 , 0.31018 , 0.46435 , 0.36244 , 0.3622 
 335 , 0.60419 , 0.29912 , 0.2439 , 0.1553 , 0.27512 , 0.27352 , 0.22066 , 0.19167 , 0.17686 , 0.22384 , 0.17863 , 0.23548 , 0.20006 , 0.139 , 0.17888 , 0.54439 , 0.32785 , 0.48576 , 0.39478 , 0.38251 
 336 , 0.66038 , 0.32652 , 0.27545 , 0.17716 , 0.29698 , 0.29275 , 0.25761 , 0.22222 , 0.19049 , 0.24245 , 0.20076 , 0.25393 , 0.22488 , 0.15805 , 0.20959 , 0.60048 , 0.34074 , 0.52513 , 0.4159 , 0.41347 
 337 , 0.71492 , 0.35282 , 0.30617 , 0.19832 , 0.31789 , 0.3113 , 0.2939 , 0.25204 , 0.20349 , 0.26045 , 0.22195 , 0.2717 , 0.24889 , 0.17659 , 0.2392 , 0.65434 , 0.35304 , 0.56265 , 0.43639 , 0.44284 
 338 , 0.76786 , 0.37808 , 0.33609 , 0.2188 , 0.33791 , 0.3292 , 0.32956 , 0.28116 , 0.21589 , 0.27787 , 0.24225 , 0.28883 , 0.27214 , 0.19461 , 0.26775 , 0.70608 , 0.36479 , 0.59847 , 0.45628 , 0.47074 
