Date,Site,Block,Treatment ,Replicate,Greenseeker,Rapidscan,spu_filenames,Unispec_NDVI,Notes
2019-06-02,LMAT,B1,F2,1,0.63,0.647,,,"GREENSEEKER METHOD: one circular motion rotation at same height/area as unispec; 
RAPIDSCAN METHOD: held in same location as unispec downfacing foreoptic, scan for approx. 3 seconds 
UNISPEC METHOD: unispec measurements taken in normal direction (downslope to upslope) at normal 5 points + 4 extra measurements between (25 measurements total, except when mistakes made, see Notes column). ""Unispec_NDVI"" column is from the scan taken at the normal point, same place as Greenseeker/Rapidscan measurement. ""SWIPE"" Replicate is calculated from the average NDVI all files in the transect. "
2019-06-02,LMAT,B1,F2,2,0.54,0.6017,,,
2019-06-02,LMAT,B1,F2,3,0.6,0.6655,,,
2019-06-02,LMAT,B1,F2,4,0.6,0.4443,,,
2019-06-02,LMAT,B1,F2,5,0.59,0.5413,,,
2019-06-02,LMAT,B1,F2,SWIPE,0.51,0.579,,,"Operator person (Nicole) walked 5m transect (in same direciton as unispec measurements, upslope) holding down the buttom (greenseeker) or with scan on (rapidscan). Instrument held approx. 0.5 m into plot (same as point measurements) facing upslope (whereas for point measurements faced into plot). "
2019-06-02,LMAT,B1,GH,1,0.31,0.3884,,,
2019-06-02,LMAT,B1,GH,2,0.47,0.528,,,
2019-06-02,LMAT,B1,GH,3,0.57,0.3808,,,
2019-06-02,LMAT,B1,GH,4,0.54,0.3878,,,
2019-06-02,LMAT,B1,GH,5,0.64,0.6397,,,
2019-06-02,LMAT,B1,GH,SWIPE,,,,,Couldn't swipe due to struts of greenhouse
2019-06-02,LMAT,B1,GH-CT,1,0.47,0.464,,,
2019-06-02,LMAT,B1,GH-CT,2,0.51,0.667,,,
2019-06-02,LMAT,B1,GH-CT,3,0.22,0.2382,,,
2019-06-02,LMAT,B1,GH-CT,4,0.33,0.3052,,,
2019-06-02,LMAT,B1,GH-CT,5,0.48,0.4931,,,
2019-06-02,LMAT,B1,GH,SWIPE,0.42,0.449,,,
2019-06-02,LMAT,B1,F5,1,0.47,0.4746,,,
2019-06-02,LMAT,B1,F5,2,0.35,0.3615,,,
2019-06-02,LMAT,B1,F5,3,0.35,0.3583,,,
2019-06-02,LMAT,B1,F5,4,0.32,0.3084,,,
2019-06-02,LMAT,B1,F5,5,0.29,0.2605,,,
2019-06-02,LMAT,B1,F5,SWIPE,0.38,0.3769,,,
2019-06-02,LMAT,B1,F10,1,0.32,0.3457,,,
2019-06-02,LMAT,B1,F10,2,0.53,0.5849,,,
2019-06-02,LMAT,B1,F10,3,0.28,0.3068,,,
2019-06-02,LMAT,B1,F10,4,0.34,0.3563,,,
2019-06-02,LMAT,B1,F10,5,0.36,0.3457,,,
2019-06-02,LMAT,B1,F10,SWIPE,0.4,0.3916,,,
2019-06-02,LMAT,B1,CT,1,0.48,0.4365,,,
2019-06-02,LMAT,B1,CT,2,0.54,0.5259,,,
2019-06-02,LMAT,B1,CT,3,0.54,0.5513,,,
2019-06-02,LMAT,B1,CT,4,0.51,0.6158,,,
2019-06-02,LMAT,B1,CT,5,0.32,0.2832,,,
2019-06-02,LMAT,B1,CT,SWIPE,0.48,0.487,,,
2019-06-02,LMAT,B1,F0.5,1,0.55,0.5872,,,
2019-06-02,LMAT,B1,F0.5,2,0.55,0.5692,,,
2019-06-02,LMAT,B1,F0.5,3,0.67,0.6572,,,
2019-06-02,LMAT,B1,F0.5,4,0.45,0.449,,,
2019-06-02,LMAT,B1,F0.5,5,0.35,0.3037,,,
2019-06-02,LMAT,B1,F0.5,SWIPE,0.52,0.5034,,,
