spu_filename,Date,Site,Block,Treatment ,Replicate,Location ,FileNum,Notes,Weather
2019-06-02_LMAT_00001.spu,2019-06-02,LMAT,"B1, B2, B3, B4",REF,1,NA,1,NA,"sunny & clear; some high, thin clouds"
2019-06-02_LMAT_00002.spu,2019-06-02,LMAT,"B1, B2, B3, B4",REF,2,NA,2,NA,"sunny & clear; some high, thin clouds"
2019-06-02_LMAT_00003.spu,2019-06-02,LMAT,"B1, B2, B3, B4",REF,3,NA,3,NA,"sunny & clear; some high, thin clouds"
2019-06-02_LMAT_00004.spu,2019-06-02,LMAT,"B1, B2, B3, B4",REF,4,NA,4,NA,"sunny & clear; some high, thin clouds"
2019-06-02_LMAT_00005.spu,2019-06-02,LMAT,"B1, B2, B3, B4",REF,5,NA,5,NA,"sunny & clear; some high, thin clouds"
2019-06-02_LMAT_00006.spu,2019-06-02,LMAT,B1,F2,1,normal 1S,6,"""normal 1S"" in location indicates measurement taken at \silver tag on the boardwalk (tagged 2018); likewise for 2S, 3S, 4S, 5S following direction indicates in LTER plot maps (2018 copy, blue arrow)",NA
2019-06-02_LMAT_00007.spu,2019-06-02,LMAT,B1,F2,1.25,NA,7,NA,NA
2019-06-02_LMAT_00008.spu,2019-06-02,LMAT,B1,F2,1.5,NA,8,NA,NA
2019-06-02_LMAT_00009.spu,2019-06-02,LMAT,B1,F2,1.75,NA,9,NA,NA
2019-06-02_LMAT_00010.spu,2019-06-02,LMAT,B1,F2,2,normal 2S,10,NA,NA
2019-06-02_LMAT_00011.spu,2019-06-02,LMAT,B1,F2,2.2,NA,11,NA,NA
2019-06-02_LMAT_00012.spu,2019-06-02,LMAT,B1,F2,2.4,NA,12,NA,NA
2019-06-02_LMAT_00013.spu,2019-06-02,LMAT,B1,F2,2.6,NA,13,NA,NA
2019-06-02_LMAT_00014.spu,2019-06-02,LMAT,B1,F2,2.8,NA,14,NA,NA
2019-06-02_LMAT_00015.spu,2019-06-02,LMAT,B1,F2,3,normal 3S,15,NA,NA
2019-06-02_LMAT_00016.spu,2019-06-02,LMAT,B1,F2,3.2,NA,16,NA,NA
2019-06-02_LMAT_00017.spu,2019-06-02,LMAT,B1,F2,3.4,NA,17,NA,NA
2019-06-02_LMAT_00018.spu,2019-06-02,LMAT,B1,F2,3.6,NA,18,NA,NA
2019-06-02_LMAT_00019.spu,2019-06-02,LMAT,B1,F2,3.8,NA,19,NA,NA
2019-06-02_LMAT_00020.spu,2019-06-02,LMAT,B1,F2,4,normal 4S,20,NA,NA
2019-06-02_LMAT_00021.spu,2019-06-02,LMAT,B1,F2,4.2,NA,21,NA,NA
2019-06-02_LMAT_00022.spu,2019-06-02,LMAT,B1,F2,4.4,NA,22,NA,NA
2019-06-02_LMAT_00023.spu,2019-06-02,LMAT,B1,F2,4.6,NA,23,NA,NA
2019-06-02_LMAT_00024.spu,2019-06-02,LMAT,B1,F2,4.8,NA,24,NA,NA
2019-06-02_LMAT_00025.spu,2019-06-02,LMAT,B1,F2,5,normal 5S,25,NA,NA
2019-06-02_LMAT_00026.spu,2019-06-02,LMAT,B1,GH,1,NA,26,NA,NA
2019-06-02_LMAT_00027.spu,2019-06-02,LMAT,B1,GH,2,NA,27,NA,NA
2019-06-02_LMAT_00028.spu,2019-06-02,LMAT,B1,GH,3,NA,28,NA,NA
2019-06-02_LMAT_00029.spu,2019-06-02,LMAT,B1,GH,4,NA,29,NA,NA
