spu_filename,Date,Site,Block,Treatment,Replicate,definition,NDVI
2019-06-02_LMAT_00006.spu,2019-06-02,LMAT,B1,F2,1,Greenseeker,0.648347157695728
2019-06-02_LMAT_00006.spu,2019-06-02,LMAT,B1,F2,1,MODIS,0.6810239756409161
2019-06-02_LMAT_00006.spu,2019-06-02,LMAT,B1,F2,1,RapidSCAN,0.6620123609297764
2019-06-02_LMAT_00007.spu,2019-06-02,LMAT,B1,F2,1.25,Greenseeker,0.6642399861958693
2019-06-02_LMAT_00007.spu,2019-06-02,LMAT,B1,F2,1.25,MODIS,0.6888211077238309
2019-06-02_LMAT_00007.spu,2019-06-02,LMAT,B1,F2,1.25,RapidSCAN,0.6832573867847817
2019-06-02_LMAT_00008.spu,2019-06-02,LMAT,B1,F2,1.5,Greenseeker,0.6781173391489618
2019-06-02_LMAT_00008.spu,2019-06-02,LMAT,B1,F2,1.5,MODIS,0.6994499431333991
2019-06-02_LMAT_00008.spu,2019-06-02,LMAT,B1,F2,1.5,RapidSCAN,0.6973127136187334
2019-06-02_LMAT_00009.spu,2019-06-02,LMAT,B1,F2,1.75,Greenseeker,0.6530180334167142
2019-06-02_LMAT_00009.spu,2019-06-02,LMAT,B1,F2,1.75,MODIS,0.6796149348123751
2019-06-02_LMAT_00009.spu,2019-06-02,LMAT,B1,F2,1.75,RapidSCAN,0.6684852059885485
2019-06-02_LMAT_00010.spu,2019-06-02,LMAT,B1,F2,2,Greenseeker,0.6133347589323768
2019-06-02_LMAT_00010.spu,2019-06-02,LMAT,B1,F2,2,MODIS,0.6449440537860764
2019-06-02_LMAT_00010.spu,2019-06-02,LMAT,B1,F2,2,RapidSCAN,0.6259622239423633
2019-06-02_LMAT_00011.spu,2019-06-02,LMAT,B1,F2,2.2,Greenseeker,0.5851435120653671
2019-06-02_LMAT_00011.spu,2019-06-02,LMAT,B1,F2,2.2,MODIS,0.6192113356844143
2019-06-02_LMAT_00011.spu,2019-06-02,LMAT,B1,F2,2.2,RapidSCAN,0.5968721552646374
2019-06-02_LMAT_00012.spu,2019-06-02,LMAT,B1,F2,2.4,Greenseeker,0.53953743289554
2019-06-02_LMAT_00012.spu,2019-06-02,LMAT,B1,F2,2.4,MODIS,0.5761153442775054
2019-06-02_LMAT_00012.spu,2019-06-02,LMAT,B1,F2,2.4,RapidSCAN,0.5490784358090789
2019-06-02_LMAT_00013.spu,2019-06-02,LMAT,B1,F2,2.6,Greenseeker,0.620744630952554
2019-06-02_LMAT_00013.spu,2019-06-02,LMAT,B1,F2,2.6,MODIS,0.646561425254817
2019-06-02_LMAT_00013.spu,2019-06-02,LMAT,B1,F2,2.6,RapidSCAN,0.6377913414952042
2019-06-02_LMAT_00014.spu,2019-06-02,LMAT,B1,F2,2.8,Greenseeker,0.6436700538972667
2019-06-02_LMAT_00014.spu,2019-06-02,LMAT,B1,F2,2.8,MODIS,0.6708786708865144
2019-06-02_LMAT_00014.spu,2019-06-02,LMAT,B1,F2,2.8,RapidSCAN,0.6599248446638982
2019-06-02_LMAT_00015.spu,2019-06-02,LMAT,B1,F2,3,Greenseeker,0.6341321935229592
2019-06-02_LMAT_00015.spu,2019-06-02,LMAT,B1,F2,3,MODIS,0.6627616806619405
2019-06-02_LMAT_00015.spu,2019-06-02,LMAT,B1,F2,3,RapidSCAN,0.649887084643413
2019-06-02_LMAT_00016.spu,2019-06-02,LMAT,B1,F2,3.2,Greenseeker,0.5051299193816523
2019-06-02_LMAT_00016.spu,2019-06-02,LMAT,B1,F2,3.2,MODIS,0.5556670345692813
2019-06-02_LMAT_00016.spu,2019-06-02,LMAT,B1,F2,3.2,RapidSCAN,0.5111561152067566
2019-06-02_LMAT_00017.spu,2019-06-02,LMAT,B1,F2,3.4,Greenseeker,0.560213683201775
2019-06-02_LMAT_00017.spu,2019-06-02,LMAT,B1,F2,3.4,MODIS,0.6008367859790598
2019-06-02_LMAT_00017.spu,2019-06-02,LMAT,B1,F2,3.4,RapidSCAN,0.5732612582703478
2019-06-02_LMAT_00018.spu,2019-06-02,LMAT,B1,F2,3.6,Greenseeker,0.5803497866327616
2019-06-02_LMAT_00018.spu,2019-06-02,LMAT,B1,F2,3.6,MODIS,0.6155921719496117
2019-06-02_LMAT_00018.spu,2019-06-02,LMAT,B1,F2,3.6,RapidSCAN,0.5959251854659438
2019-06-02_LMAT_00019.spu,2019-06-02,LMAT,B1,F2,3.8,Greenseeker,0.6014172243126118
2019-06-02_LMAT_00019.spu,2019-06-02,LMAT,B1,F2,3.8,MODIS,0.6387045054384839
2019-06-02_LMAT_00019.spu,2019-06-02,LMAT,B1,F2,3.8,RapidSCAN,0.6181976166976021
2019-06-02_LMAT_00020.spu,2019-06-02,LMAT,B1,F2,4,Greenseeker,0.5327847168908014
2019-06-02_LMAT_00020.spu,2019-06-02,LMAT,B1,F2,4,MODIS,0.5714744724379835
2019-06-02_LMAT_00020.spu,2019-06-02,LMAT,B1,F2,4,RapidSCAN,0.5412575436730954
2019-06-02_LMAT_00021.spu,2019-06-02,LMAT,B1,F2,4.2,Greenseeker,0.5339118172417822
2019-06-02_LMAT_00021.spu,2019-06-02,LMAT,B1,F2,4.2,MODIS,0.5794625904494679
2019-06-02_LMAT_00021.spu,2019-06-02,LMAT,B1,F2,4.2,RapidSCAN,0.5430513162541594
2019-06-02_LMAT_00022.spu,2019-06-02,LMAT,B1,F2,4.4,Greenseeker,0.5827009035385268
2019-06-02_LMAT_00022.spu,2019-06-02,LMAT,B1,F2,4.4,MODIS,0.616720519345182
2019-06-02_LMAT_00022.spu,2019-06-02,LMAT,B1,F2,4.4,RapidSCAN,0.5969459348045394
2019-06-02_LMAT_00023.spu,2019-06-02,LMAT,B1,F2,4.6,Greenseeker,0.5526191624188181
2019-06-02_LMAT_00023.spu,2019-06-02,LMAT,B1,F2,4.6,MODIS,0.5946982200206721
2019-06-02_LMAT_00023.spu,2019-06-02,LMAT,B1,F2,4.6,RapidSCAN,0.5648047931945924
2019-06-02_LMAT_00024.spu,2019-06-02,LMAT,B1,F2,4.8,Greenseeker,0.5114523449855687
2019-06-02_LMAT_00024.spu,2019-06-02,LMAT,B1,F2,4.8,MODIS,0.5714829899990668
2019-06-02_LMAT_00024.spu,2019-06-02,LMAT,B1,F2,4.8,RapidSCAN,0.5178995677781306
2019-06-02_LMAT_00025.spu,2019-06-02,LMAT,B1,F2,5,Greenseeker,0.4973239863685203
2019-06-02_LMAT_00025.spu,2019-06-02,LMAT,B1,F2,5,MODIS,0.5533791590693836
2019-06-02_LMAT_00025.spu,2019-06-02,LMAT,B1,F2,5,RapidSCAN,0.503188242030947
2019-06-02_LMAT_00026.spu,2019-06-02,LMAT,B1,GH,1,Greenseeker,0.3719709237872529
2019-06-02_LMAT_00026.spu,2019-06-02,LMAT,B1,GH,1,MODIS,0.4174030327667922
2019-06-02_LMAT_00026.spu,2019-06-02,LMAT,B1,GH,1,RapidSCAN,0.37087937322908765
2019-06-02_LMAT_00027.spu,2019-06-02,LMAT,B1,GH,2,Greenseeker,0.5368102697193986
2019-06-02_LMAT_00027.spu,2019-06-02,LMAT,B1,GH,2,MODIS,0.5691713525661645
2019-06-02_LMAT_00027.spu,2019-06-02,LMAT,B1,GH,2,RapidSCAN,0.5489970305918866
2019-06-02_LMAT_00028.spu,2019-06-02,LMAT,B1,GH,3,Greenseeker,0.5847583232454864
2019-06-02_LMAT_00028.spu,2019-06-02,LMAT,B1,GH,3,MODIS,0.6070146519263085
2019-06-02_LMAT_00028.spu,2019-06-02,LMAT,B1,GH,3,RapidSCAN,0.59961842333228
2019-06-02_LMAT_00029.spu,2019-06-02,LMAT,B1,GH,4,Greenseeker,0.5769964571157362
2019-06-02_LMAT_00029.spu,2019-06-02,LMAT,B1,GH,4,MODIS,0.5884467946393315
2019-06-02_LMAT_00029.spu,2019-06-02,LMAT,B1,GH,4,RapidSCAN,0.5889710075919841
2019-06-02_LMAT_00030.spu,2019-06-02,LMAT,B1,GH,5,Greenseeker,0.6228289652462515
2019-06-02_LMAT_00030.spu,2019-06-02,LMAT,B1,GH,5,MODIS,0.6344508002805878
2019-06-02_LMAT_00030.spu,2019-06-02,LMAT,B1,GH,5,RapidSCAN,0.6402135322549352
2019-06-02_LMAT_00031.spu,2019-06-02,LMAT,B1,GH-CT,1,Greenseeker,0.43870198882335354
2019-06-02_LMAT_00031.spu,2019-06-02,LMAT,B1,GH-CT,1,MODIS,0.475989515689417
2019-06-02_LMAT_00031.spu,2019-06-02,LMAT,B1,GH-CT,1,RapidSCAN,0.44343092833441505
2019-06-02_LMAT_00032.spu,2019-06-02,LMAT,B1,GH-CT,1.2,Greenseeker,0.5604945715920995
