INSTRUMENT,DATE,VEGETATION,LOCATION,REPLICATE,Instrument Height (m),FILEPREFIX,FILENUM,FILENAME,Time,NOTES
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,1,1,area match1,1,area match100002.spu,  17:04:22,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,2,1,area match1,2,area match100003.spu,  17:04:26,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,3,1,area match1,3,area match100004.spu,  17:04:28,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,4,1,area match1,4,area match100005.spu,  17:04:31,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,5,1,area match1,5,area match100006.spu,  17:04:33,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,6,1,area match1,6,area match100007.spu,  17:04:36,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,7,1,area match1,7,area match100008.spu,  17:04:39,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,8,1,area match1,8,area match100009.spu,  17:04:41,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,9,1,area match1,9,area match100010.spu,  17:04:43,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,1,1.5,area match2,1,area match200001.spu,  17:05:37,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,2,1.5,area match2,2,area match200002.spu,  17:05:40,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,3,1.5,area match2,3,area match200003.spu,  17:05:43,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,4,1.5,area match2,4,area match200004.spu,  17:05:45,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,5,1.5,area match2,5,area match200005.spu,  17:05:47,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,6,1.5,area match2,6,area match200006.spu,  17:05:49,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,7,1.5,area match2,7,area match200007.spu,  17:05:51,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,8,1.5,area match2,8,area match200008.spu,  17:05:52,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,9,1.5,area match2,9,area match200009.spu,  17:05:55,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-1,10,1.5,area match2,10,area match200010.spu,  17:05:56,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,1,1,area match3,1,area match300001.spu,  17:13:39,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,2,1,area match3,2,area match300002.spu,  17:13:44,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,3,1,area match3,3,area match300003.spu,  17:13:47,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,4,1,area match3,4,area match300004.spu,  17:13:53,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,5,1,area match3,5,area match300005.spu,  17:13:55,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,6,1,area match3,6,area match300006.spu,  17:13:57,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,7,1,area match3,7,area match300007.spu,  17:13:59,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,8,1,area match3,8,area match300008.spu,  17:14:00,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,9,1,area match3,9,area match300009.spu,  17:14:03,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,10,1,area match3,10,area match300010.spu,  17:14:07,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,1,1.5,area match4,1,area match400001.spu,  17:15:56,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,2,1.5,area match4,2,area match400002.spu,  17:15:59,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,3,1.5,area match4,3,area match400003.spu,  17:16:01,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,4,1.5,area match4,4,area match400004.spu,  17:16:04,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,5,1.5,area match4,5,area match400005.spu,  17:16:07,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,6,1.5,area match4,6,area match400006.spu,  17:16:08,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,7,1.5,area match4,7,area match400007.spu,  17:16:10,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,8,1.5,area match4,8,area match400008.spu,  17:16:11,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,9,1.5,area match4,9,area match400009.spu,  17:16:13,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-2,10,1.5,area match4,10,area match400010.spu,  17:16:15,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,1,1,area match5,1,area match500001.spu,  17:17:00,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,2,1,area match5,2,area match500002.spu,  17:17:02,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,3,1,area match5,3,area match500003.spu,  17:17:05,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,4,1,area match5,4,area match500004.spu,  17:17:07,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,5,1,area match5,5,area match500005.spu,  17:17:09,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,6,1,area match5,6,area match500006.spu,  17:17:11,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,7,1,area match5,7,area match500007.spu,  17:17:14,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,8,1,area match5,8,area match500008.spu,  17:17:16,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,9,1,area match5,9,area match500009.spu,  17:17:18,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,10,1,area match5,10,area match500010.spu,  17:17:20,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,1,1.5,area match6,1,area match600001.spu,  17:17:57,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,2,1.5,area match6,2,area match600002.spu,  17:17:58,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,3,1.5,area match6,3,area match600003.spu,  17:18:00,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,4,1.5,area match6,4,area match600004.spu,  17:18:02,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,5,1.5,area match6,5,area match600005.spu,  17:18:04,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,6,1.5,area match6,6,area match600006.spu,  17:18:05,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,7,1.5,area match6,7,area match600007.spu,  17:18:10,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,8,1.5,area match6,8,area match600008.spu,  17:18:11,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,9,1.5,area match6,9,area match600009.spu,  17:18:14,
Unispec-SC,2019-06-26,Tussock,LMAT_B2_CT_EDC_2-3,10,1.5,area match6,10,area match600010.spu,  17:18:15,
